"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0009266","response to temperature stimulus","GO:BP",5.07152617417912e-13,138,6699,245,0.0206000895656068,0.563265306122449
"GO:0009408","response to heat","GO:BP",2.10204054419801e-12,86,6699,133,0.012837736975668,0.646616541353383
"GO:0015979","photosynthesis","GO:BP",3.55977069754398e-11,165,6699,323,0.0246305418719212,0.510835913312694
"GO:0009628","response to abiotic stimulus","GO:BP",5.29339295826278e-09,307,6699,716,0.0458277354829079,0.42877094972067
"GO:0019684","photosynthesis, light reaction","GO:BP",5.29339295826278e-09,78,6699,130,0.0116435288849082,0.6
"GO:0009765","photosynthesis, light harvesting","GO:BP",1.33381805863728e-07,32,6699,40,0.00477683236303926,0.8
"GO:0042542","response to hydrogen peroxide","GO:BP",2.97171423741e-07,31,6699,39,0.00462755635169428,0.794871794871795
"GO:0009768","photosynthesis, light harvesting in photosystem I","GO:BP",4.36903676722339e-07,20,6699,21,0.00298552022689954,0.952380952380952
"GO:0051259","protein complex oligomerization","GO:BP",1.81663705800815e-06,30,6699,39,0.00447828034034931,0.769230769230769
"GO:1901700","response to oxygen-containing compound","GO:BP",3.27547444775771e-06,249,6699,595,0.0371697268248992,0.418487394957983
"GO:0015994","chlorophyll metabolic process","GO:BP",6.14937608034195e-05,31,6699,45,0.00462755635169428,0.688888888888889
"GO:0009651","response to salt stress","GO:BP",0.000154578730713882,52,6699,93,0.0077623525899388,0.559139784946237
"GO:0008610","lipid biosynthetic process","GO:BP",0.000154578730713882,288,6699,731,0.0429914912673533,0.393980848153215
"GO:0044283","small molecule biosynthetic process","GO:BP",0.000228309841087935,291,6699,743,0.0434393193013883,0.391655450874832
"GO:0044281","small molecule metabolic process","GO:BP",0.000256599012755635,692,6699,1932,0.103298999850724,0.358178053830228
"GO:0000302","response to reactive oxygen species","GO:BP",0.000379653022951791,50,6699,91,0.00746380056724884,0.54945054945055
