"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"KEGG:00195","Photosynthesis","KEGG",2.8369115138694e-08,34,1474,38,0.0230664857530529,0.894736842105263
"KEGG:01100","Metabolic pathways","KEGG",4.88084532814313e-08,756,1474,1675,0.512890094979647,0.45134328358209
"KEGG:01110","Biosynthesis of secondary metabolites","KEGG",3.37031438615258e-07,453,1474,952,0.307327001356852,0.475840336134454
"KEGG:00196","Photosynthesis - antenna proteins","KEGG",1.28054511929206e-05,16,1474,16,0.0108548168249661,1
"KEGG:00860","Porphyrin metabolism","KEGG",8.22297000918336e-05,31,1474,41,0.0210312075983718,0.75609756097561
"KEGG:00500","Starch and sucrose metabolism","KEGG",0.0020510805453695,61,1474,105,0.0413839891451832,0.580952380952381
"KEGG:00630","Glyoxylate and dicarboxylate metabolism","KEGG",0.00513236973131263,34,1474,53,0.0230664857530529,0.641509433962264
"KEGG:00260","Glycine, serine and threonine metabolism","KEGG",0.00615364347587981,28,1474,42,0.0189959294436906,0.666666666666667
"KEGG:01200","Carbon metabolism","KEGG",0.0104452677066727,104,1474,205,0.0705563093622795,0.507317073170732
"KEGG:00710","Carbon fixation in photosynthetic organisms","KEGG",0.0251191358404497,30,1474,49,0.0203527815468114,0.612244897959184
