"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"KEGG:01100","Metabolic pathways","KEGG",3.54511192378173e-10,664,1250,1675,0.5312,0.396417910447761
"KEGG:00195","Photosynthesis","KEGG",1.11292214816324e-08,32,1250,38,0.0256,0.842105263157895
"KEGG:00196","Photosynthesis - antenna proteins","KEGG",1.21244666869834e-06,16,1250,16,0.0128,1
"KEGG:01110","Biosynthesis of secondary metabolites","KEGG",3.97614678092162e-06,387,1250,952,0.3096,0.406512605042017
"KEGG:00860","Porphyrin metabolism","KEGG",0.000550192505959397,27,1250,41,0.0216,0.658536585365854
"KEGG:01200","Carbon metabolism","KEGG",0.000550192505959397,97,1250,205,0.0776,0.473170731707317
"KEGG:00260","Glycine, serine and threonine metabolism","KEGG",0.00314815680221213,26,1250,42,0.0208,0.619047619047619
"KEGG:01230","Biosynthesis of amino acids","KEGG",0.0127358477114693,82,1250,182,0.0656,0.450549450549451
"KEGG:00030","Pentose phosphate pathway","KEGG",0.0141028420125946,24,1250,41,0.0192,0.585365853658537
"KEGG:00710","Carbon fixation in photosynthetic organisms","KEGG",0.0219877334617878,27,1250,49,0.0216,0.551020408163265
"KEGG:00564","Glycerophospholipid metabolism","KEGG",0.0232754232727455,44,1250,90,0.0352,0.488888888888889
"KEGG:01210","2-Oxocarboxylic acid metabolism","KEGG",0.0278594260688365,35,1250,69,0.028,0.507246376811594
