"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.40536130524074e-11,1675,1407,744,0.528784648187633,0.444179104477612,"KEGG:01100","KEGG","Metabolic pathways",3709,181,"KEGG:00000"
"query_1",TRUE,3.20476117925499e-09,38,1407,34,0.0241648898365316,0.894736842105263,"KEGG:00195","KEGG","Photosynthesis",3709,19,"KEGG:00000"
"query_1",TRUE,3.79741682784794e-07,952,1407,435,0.309168443496802,0.456932773109244,"KEGG:01110","KEGG","Biosynthesis of secondary metabolites",3709,182,"KEGG:00000"
"query_1",TRUE,6.05961298019365e-06,16,1407,16,0.0113717128642502,1,"KEGG:00196","KEGG","Photosynthesis - antenna proteins",3709,20,"KEGG:00000"
"query_1",TRUE,6.17194806833847e-05,42,1407,31,0.0220326936744847,0.738095238095238,"KEGG:00260","KEGG","Glycine, serine and threonine metabolism",3709,28,"KEGG:00000"
"query_1",TRUE,0.00109429450953565,205,1407,105,0.0746268656716418,0.51219512195122,"KEGG:01200","KEGG","Carbon metabolism",3709,184,"KEGG:00000"
"query_1",TRUE,0.00287145049896293,182,1407,93,0.0660980810234542,0.510989010989011,"KEGG:01230","KEGG","Biosynthesis of amino acids",3709,188,"KEGG:00000"
"query_1",TRUE,0.00706740461720062,105,1407,57,0.0405117270788913,0.542857142857143,"KEGG:00500","KEGG","Starch and sucrose metabolism",3709,62,"KEGG:00000"
"query_1",TRUE,0.0299053864815976,49,1407,29,0.0206112295664534,0.591836734693878,"KEGG:00710","KEGG","Carbon fixation in photosynthetic organisms",3709,116,"KEGG:00000"
"query_1",TRUE,0.0307479750992172,41,1407,25,0.0177683013503909,0.609756097560976,"KEGG:00030","KEGG","Pentose phosphate pathway",3709,4,"KEGG:00000"
"query_1",TRUE,0.0463802063740048,90,1407,47,0.0334044065387349,0.522222222222222,"KEGG:00564","KEGG","Glycerophospholipid metabolism",3709,88,"KEGG:00000"
