"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,6.86549157127488e-05,3390,6940,1227,0.176801152737752,0.361946902654867,"GO:0043412","GO:BP","macromolecule modification",21625,10582,"GO:0043170"
"query_1",TRUE,0.00010097326315289,1148,6940,452,0.0651296829971182,0.393728222996516,"GO:0006396","GO:BP","RNA processing",21625,2149,"GO:0010467,GO:0032774,GO:0044238"
"query_1",TRUE,0.000568030296991148,120,6940,65,0.00936599423631124,0.541666666666667,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,0.00138120973502636,93,6940,52,0.00749279538904899,0.559139784946237,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,0.00138120973502636,31,6940,23,0.00331412103746398,0.741935483870968,"GO:0000373","GO:BP","Group II intron splicing",21625,105,"GO:0000377"
"query_1",TRUE,0.00197074171533401,147,6940,74,0.0106628242074928,0.503401360544218,"GO:0006470","GO:BP","protein dephosphorylation",21625,2201,"GO:0016311,GO:0036211"
"query_1",TRUE,0.00324354435612095,53,6940,33,0.00475504322766571,0.622641509433962,"GO:0035966","GO:BP","response to topologically incorrect protein",21625,9287,"GO:0006950"
"query_1",TRUE,0.00357506284216528,718,6940,285,0.0410662824207493,0.396935933147632,"GO:0016071","GO:BP","mRNA metabolic process",21625,5073,"GO:0016070"
"query_1",TRUE,0.00362621838357157,229,6940,105,0.0151296829971182,0.458515283842795,"GO:0016311","GO:BP","dephosphorylation",21625,5174,"GO:0006796"
"query_1",TRUE,0.00467087168935939,469,6940,194,0.0279538904899135,0.4136460554371,"GO:0009451","GO:BP","RNA modification",21625,3484,"GO:0016070,GO:0043412"
"query_1",TRUE,0.00711538571634666,2877,6940,1020,0.146974063400576,0.354535974973931,"GO:0036211","GO:BP","protein modification process",21625,9413,"GO:0019538,GO:0043412"
"query_1",TRUE,0.00801060913720805,49,6940,30,0.00432276657060519,0.612244897959184,"GO:0035967","GO:BP","cellular response to topologically incorrect protein",21625,9288,"GO:0033554,GO:0035966"
"query_1",TRUE,0.0116281639183827,138,6940,67,0.00965417867435158,0.485507246376812,"GO:0009658","GO:BP","chloroplast organization",21625,3559,"GO:0009657"
"query_1",TRUE,0.0125650127520451,539,6940,216,0.0311239193083573,0.400742115027829,"GO:0006397","GO:BP","mRNA processing",21625,2150,"GO:0006396,GO:0016071"
"query_1",TRUE,0.0129514103388359,57,6940,33,0.00475504322766571,0.578947368421053,"GO:0048511","GO:BP","rhythmic process",21625,12629,"GO:0008150"
"query_1",TRUE,0.0173908007412663,40,6940,25,0.00360230547550432,0.625,"GO:0090351","GO:BP","seedling development",21625,17992,"GO:0009791"
"query_1",TRUE,0.0194020045755787,36,6940,23,0.00331412103746398,0.638888888888889,"GO:0009845","GO:BP","seed germination",21625,3702,"GO:0032501,GO:0090351"
"query_1",TRUE,0.027098032705155,117,6940,57,0.00821325648414986,0.487179487179487,"GO:0009832","GO:BP","plant-type cell wall biogenesis",21625,3695,"GO:0042546,GO:0071669"
