"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.23821549945304e-08,5424,3717,1096,0.29486144740382,0.202064896755162,"GO:0050789","GO:BP","regulation of biological process",21625,13086,"GO:0008150,GO:0065007"
"query_1",TRUE,7.53515740358716e-08,1505,3717,354,0.0952380952380952,0.235215946843854,"GO:0007165","GO:BP","signal transduction",21625,2716,"GO:0007154,GO:0009987,GO:0023052,GO:0050794,GO:0051716"
"query_1",TRUE,9.3257680079344e-08,5181,3717,1044,0.280871670702179,0.201505500868558,"GO:0050794","GO:BP","regulation of cellular process",21625,13090,"GO:0009987,GO:0050789"
"query_1",TRUE,1.14442573032976e-07,1518,3717,354,0.0952380952380952,0.233201581027668,"GO:0023052","GO:BP","signaling",21625,6607,"GO:0050789"
"query_1",TRUE,2.06251177967946e-07,2877,3717,614,0.165186978746301,0.213416753562739,"GO:0036211","GO:BP","protein modification process",21625,9413,"GO:0019538,GO:0043412"
"query_1",TRUE,2.06251177967946e-07,1530,3717,354,0.0952380952380952,0.231372549019608,"GO:0007154","GO:BP","cell communication",21625,2705,"GO:0009987"
"query_1",TRUE,2.64560096285192e-07,5742,3717,1138,0.306160882432069,0.198188784395681,"GO:0065007","GO:BP","biological regulation",21625,15666,"GO:0008150"
"query_1",TRUE,3.95702105270255e-07,147,3717,56,0.0150659133709981,0.380952380952381,"GO:0006470","GO:BP","protein dephosphorylation",21625,2201,"GO:0016311,GO:0036211"
"query_1",TRUE,3.95702105270255e-07,229,3717,77,0.0207156308851224,0.336244541484716,"GO:0016311","GO:BP","dephosphorylation",21625,5174,"GO:0006796"
"query_1",TRUE,5.32600971719837e-06,1579,3717,354,0.0952380952380952,0.224192526915769,"GO:0006468","GO:BP","protein phosphorylation",21625,2199,"GO:0016310,GO:0036211"
"query_1",TRUE,9.97372053952873e-06,3359,3717,688,0.185095507129405,0.204822863947603,"GO:0006793","GO:BP","phosphorus metabolic process",21625,2471,"GO:0008152"
"query_1",TRUE,1.13533946816142e-05,3358,3717,687,0.184826472962066,0.204586063132817,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",21625,2474,"GO:0006793"
"query_1",TRUE,2.55512628863105e-05,2944,3717,607,0.163303739574926,0.206182065217391,"GO:0051252","GO:BP","regulation of RNA metabolic process",21625,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,4.1492541963395e-05,2993,3717,614,0.165186978746301,0.205145339124624,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21625,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,6.18891306196307e-05,2811,3717,578,0.155501748722088,0.205620775524724,"GO:0006355","GO:BP","regulation of DNA-templated transcription",21625,2124,"GO:0006351,GO:0010468,GO:2001141"
"query_1",TRUE,6.18891306196307e-05,46,3717,23,0.0061877858488028,0.5,"GO:0046854","GO:BP","phosphatidylinositol phosphate biosynthetic process",21625,12238,"GO:0006661"
"query_1",TRUE,6.18891306196307e-05,2811,3717,578,0.155501748722088,0.205620775524724,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",21625,25908,"GO:0010556,GO:0032774,GO:0051252"
"query_1",TRUE,9.13957377632933e-05,2396,3717,499,0.134248049502287,0.208263772954925,"GO:0016310","GO:BP","phosphorylation",21625,5173,"GO:0006796"
"query_1",TRUE,9.89066241956318e-05,93,3717,36,0.00968523002421308,0.387096774193548,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,9.89066241956318e-05,3492,3717,701,0.188592951304816,0.200744558991982,"GO:0009889","GO:BP","regulation of biosynthetic process",21625,3734,"GO:0009058,GO:0019222"
"query_1",TRUE,9.92459458798018e-05,120,3717,43,0.0115684691955878,0.358333333333333,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,0.000181045075996606,3766,3717,748,0.201237557169761,0.198619224641529,"GO:0019222","GO:BP","regulation of metabolic process",21625,5569,"GO:0008152,GO:0050794"
"query_1",TRUE,0.000200826404877085,3468,3717,693,0.186440677966102,0.199826989619377,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",21625,4192,"GO:0009059,GO:0009889,GO:0060255"
"query_1",TRUE,0.000218108395038536,3674,3717,730,0.196394942157654,0.198693522046815,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",21625,14264,"GO:0019222,GO:0043170"
"query_1",TRUE,0.000218108395038536,3456,3717,690,0.185633575464084,0.199652777777778,"GO:0010468","GO:BP","regulation of gene expression",21625,4145,"GO:0010467,GO:0010556"
"query_1",TRUE,0.000218108395038536,3358,3717,672,0.180790960451977,0.20011911852293,"GO:0080090","GO:BP","regulation of primary metabolic process",21625,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,0.000267902687337247,117,3717,41,0.0110304008609093,0.35042735042735,"GO:0009832","GO:BP","plant-type cell wall biogenesis",21625,3695,"GO:0042546,GO:0071669"
"query_1",TRUE,0.00041746896795961,29,3717,16,0.00430454667742803,0.551724137931034,"GO:0120254","GO:BP","olefinic compound metabolic process",21625,19320,"GO:0008152"
"query_1",TRUE,0.000616077146017301,56,3717,24,0.00645682001614205,0.428571428571429,"GO:0000165","GO:BP","MAPK cascade",21625,55,"GO:0141124"
"query_1",TRUE,0.00122724661923563,1652,3717,348,0.0936238902340597,0.210653753026634,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,0.00122724661923563,28,3717,15,0.00403551251008878,0.535714285714286,"GO:0120255","GO:BP","olefinic compound biosynthetic process",21625,19321,"GO:0009058,GO:0120254"
"query_1",TRUE,0.00237391977207812,595,3717,141,0.0379338175948345,0.236974789915966,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,0.00420511172093724,3098,3717,610,0.164110842076944,0.196901226597805,"GO:0006351","GO:BP","DNA-templated transcription",21625,2120,"GO:0010467,GO:0032774"
"query_1",TRUE,0.00524916166308997,3281,3717,642,0.1727199354318,0.195672051203901,"GO:0006810","GO:BP","transport",21625,2482,"GO:0051234"
"query_1",TRUE,0.0052651886654815,4589,3717,877,0.235942964756524,0.191109174112007,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,0.0052651886654815,3509,3717,683,0.183750336292709,0.194642348247364,"GO:0051179","GO:BP","localization",21625,13378,"GO:0008150"
"query_1",TRUE,0.00790710782039295,3411,3717,663,0.178369652945924,0.194371152154793,"GO:0051234","GO:BP","establishment of localization",21625,13403,"GO:0051179"
"query_1",TRUE,0.00814823559435807,637,3717,146,0.0392789884315308,0.229199372056515,"GO:0006511","GO:BP","ubiquitin-dependent protein catabolic process",21625,2227,"GO:0019941"
"query_1",TRUE,0.00858984756947801,633,3717,145,0.0390099542641916,0.229067930489731,"GO:0032870","GO:BP","cellular response to hormone stimulus",21625,7810,"GO:0009725,GO:0070887,GO:0071495"
"query_1",TRUE,0.00858984756947801,26,3717,13,0.00349744417541028,0.5,"GO:0010417","GO:BP","glucuronoxylan biosynthetic process",21625,4109,"GO:0010413,GO:0045492"
"query_1",TRUE,0.00858984756947801,26,3717,13,0.00349744417541028,0.5,"GO:0010413","GO:BP","glucuronoxylan metabolic process",21625,4105,"GO:0045491"
"query_1",TRUE,0.00858984756947801,634,3717,145,0.0390099542641916,0.228706624605678,"GO:0071495","GO:BP","cellular response to endogenous stimulus",21625,16497,"GO:0009719"
"query_1",TRUE,0.00858984756947801,624,3717,143,0.038471885929513,0.229166666666667,"GO:0009755","GO:BP","hormone-mediated signaling pathway",21625,3637,"GO:0007165,GO:0032870"
"query_1",TRUE,0.00993413938370133,586,3717,135,0.036319612590799,0.23037542662116,"GO:0035556","GO:BP","intracellular signal transduction",21625,9022,"GO:0007165"
"query_1",TRUE,0.0116482795817152,649,3717,147,0.0395480225988701,0.226502311248074,"GO:0019941","GO:BP","modification-dependent protein catabolic process",21625,6040,"GO:0043632,GO:0051603"
"query_1",TRUE,0.0116482795817152,75,3717,26,0.00699488835082055,0.346666666666667,"GO:0030244","GO:BP","cellulose biosynthetic process",21625,6704,"GO:0030243,GO:0051274"
"query_1",TRUE,0.0116482795817152,79,3717,27,0.00726392251815981,0.341772151898734,"GO:0031667","GO:BP","response to nutrient levels",21625,7231,"GO:0050896"
"query_1",TRUE,0.0116482795817152,650,3717,147,0.0395480225988701,0.226153846153846,"GO:0043632","GO:BP","modification-dependent macromolecule catabolic process",21625,10715,"GO:0009057"
"query_1",TRUE,0.0116482795817152,294,3717,75,0.0201775625504439,0.255102040816327,"GO:0000271","GO:BP","polysaccharide biosynthetic process",21625,74,"GO:0005976,GO:0009059,GO:0016051"
"query_1",TRUE,0.0116482795817152,67,3717,24,0.00645682001614205,0.358208955223881,"GO:0009414","GO:BP","response to water deprivation",21625,3464,"GO:0006950,GO:0009415"
"query_1",TRUE,0.0142202617237641,885,3717,192,0.0516545601291364,0.216949152542373,"GO:0009725","GO:BP","response to hormone",21625,3608,"GO:0009719,GO:0042221"
"query_1",TRUE,0.0143122070767737,105,3717,33,0.00887812752219532,0.314285714285714,"GO:0030243","GO:BP","cellulose metabolic process",21625,6703,"GO:0051273"
"query_1",TRUE,0.0145543841749845,886,3717,192,0.0516545601291364,0.216704288939052,"GO:0009719","GO:BP","response to endogenous stimulus",21625,3602,"GO:0050896"
"query_1",TRUE,0.0167628991464973,57,3717,21,0.00564971751412429,0.368421052631579,"GO:0048511","GO:BP","rhythmic process",21625,12629,"GO:0008150"
"query_1",TRUE,0.017279068877318,73,3717,25,0.0067258541834813,0.342465753424658,"GO:0001101","GO:BP","response to acid chemical",21625,285,"GO:0042221"
"query_1",TRUE,0.0176155003266904,35,3717,15,0.00403551251008878,0.428571428571429,"GO:0009833","GO:BP","plant-type primary cell wall biogenesis",21625,3696,"GO:0000281,GO:0009832,GO:1903047"
"query_1",TRUE,0.0187771305731318,1775,3717,358,0.0963142319074523,0.20169014084507,"GO:0055085","GO:BP","transmembrane transport",21625,14029,"GO:0006810,GO:0009987"
"query_1",TRUE,0.0209958099993367,70,3717,24,0.00645682001614205,0.342857142857143,"GO:0009415","GO:BP","response to water",21625,3465,"GO:0001101,GO:0009628,GO:1901700"
"query_1",TRUE,0.0261578254170145,71,3717,24,0.00645682001614205,0.338028169014085,"GO:0000910","GO:BP","cytokinesis",21625,241,"GO:0022402,GO:0051301"
"query_1",TRUE,0.0262468296510823,716,3717,157,0.0422383642722626,0.21927374301676,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,0.0288366261374406,44,3717,17,0.00457358084476729,0.386363636363636,"GO:0061640","GO:BP","cytoskeleton-dependent cytokinesis",21625,15382,"GO:0000910"
"query_1",TRUE,0.0320829533092466,56,3717,20,0.00538068334678504,0.357142857142857,"GO:0031669","GO:BP","cellular response to nutrient levels",21625,7232,"GO:0031667,GO:0051716"
"query_1",TRUE,0.0352872920855574,174,3717,47,0.0126446058649448,0.270114942528736,"GO:0009734","GO:BP","auxin-activated signaling pathway",21625,3616,"GO:0009755,GO:0071365"
"query_1",TRUE,0.0352872920855574,11,3717,7,0.00188323917137476,0.636363636363636,"GO:0071472","GO:BP","cellular response to salt stress",21625,16474,"GO:0009651,GO:0071470"
"query_1",TRUE,0.0369745214989436,107,3717,32,0.00860909335485607,0.299065420560748,"GO:0006897","GO:BP","endocytosis",21625,2540,"GO:0016192,GO:0098657"
"query_1",TRUE,0.0369745214989436,170,3717,46,0.0123755716976056,0.270588235294118,"GO:0071669","GO:BP","plant-type cell wall organization or biogenesis",21625,16611,"GO:0071554"
"query_1",TRUE,0.0378685317633787,57,3717,20,0.00538068334678504,0.350877192982456,"GO:0042594","GO:BP","response to starvation",21625,10161,"GO:0006950,GO:0031667"
"query_1",TRUE,0.0378685317633787,175,3717,47,0.0126446058649448,0.268571428571429,"GO:0071365","GO:BP","cellular response to auxin stimulus",21625,16387,"GO:0009733,GO:0032870"
"query_1",TRUE,0.0438550512960114,42,3717,16,0.00430454667742803,0.380952380952381,"GO:0000281","GO:BP","mitotic cytokinesis",21625,79,"GO:0061640,GO:1903047"
"query_1",TRUE,8.34340112982811e-05,6329,3654,1254,0.343185550082102,0.198135566440196,"GO:0005634","GO:CC","nucleus",20598,238,"GO:0043231"
"query_1",TRUE,0.00795704862560383,1606,3654,346,0.0946907498631637,0.215442092154421,"GO:0005886","GO:CC","plasma membrane",20598,409,"GO:0016020,GO:0071944"
"query_1",TRUE,0.0226119840488738,46,3654,19,0.00519978106185003,0.41304347826087,"GO:0022624","GO:CC","proteasome accessory complex",20598,831,"GO:0000502,GO:0005622,GO:0032991"
"query_1",TRUE,0.0226119840488738,46,3654,19,0.00519978106185003,0.41304347826087,"GO:0005838","GO:CC","proteasome regulatory particle",20598,374,"GO:0022624,GO:0032991"
"query_1",TRUE,8.23966996144367e-07,374,4310,114,0.0264501160092807,0.304812834224599,"GO:0004721","GO:MF","phosphoprotein phosphatase activity",24540,979,"GO:0016791,GO:0140096"
"query_1",TRUE,9.30729112162324e-07,582,4310,160,0.037122969837587,0.274914089347079,"GO:0016791","GO:MF","phosphatase activity",24540,2921,"GO:0042578"
"query_1",TRUE,2.80327142916877e-06,658,4310,174,0.0403712296983759,0.264437689969605,"GO:0042578","GO:MF","phosphoric ester hydrolase activity",24540,5125,"GO:0016788"
"query_1",TRUE,8.96531234811386e-05,1184,4310,275,0.0638051044083527,0.232263513513514,"GO:0004674","GO:MF","protein serine/threonine kinase activity",24540,949,"GO:0004672"
"query_1",TRUE,0.000434815796976221,228,4310,69,0.0160092807424594,0.302631578947368,"GO:0017018","GO:MF","myosin phosphatase activity",24540,3047,"GO:0004722"
"query_1",TRUE,0.000434815796976221,211,4310,65,0.0150812064965197,0.308056872037915,"GO:0005516","GO:MF","calmodulin binding",24540,1463,"GO:0005515"
"query_1",TRUE,0.000823006652001455,2144,4310,454,0.105336426914153,0.211753731343284,"GO:0016773","GO:MF","phosphotransferase activity, alcohol group as acceptor",24540,2906,"GO:0016772"
"query_1",TRUE,0.000828614884316604,5352,4310,1051,0.24385150812065,0.196375186846039,"GO:0005515","GO:MF","protein binding",24540,1462,"GO:0005488"
"query_1",TRUE,0.00162840686610857,243,4310,70,0.0162412993039443,0.288065843621399,"GO:0004722","GO:MF","protein serine/threonine phosphatase activity",24540,980,"GO:0004721"
"query_1",TRUE,0.00162840686610857,1623,4310,350,0.0812064965197216,0.215650030807147,"GO:0003700","GO:MF","DNA-binding transcription factor activity",24540,326,"GO:0140110"
"query_1",TRUE,0.00186430668857673,8536,4310,1619,0.375638051044084,0.189667291471415,"GO:0043167","GO:MF","ion binding",24540,5224,"GO:0036094"
"query_1",TRUE,0.00186430668857673,476,4310,120,0.0278422273781903,0.252100840336134,"GO:0008194","GO:MF","UDP-glycosyltransferase activity",24540,1574,"GO:0016757"
"query_1",TRUE,0.00233365905101041,1806,4310,383,0.0888631090487239,0.212070874861573,"GO:0140110","GO:MF","transcription regulator activity",24540,9303,"GO:0003674"
"query_1",TRUE,0.00462242771015757,61,4310,24,0.00556844547563805,0.39344262295082,"GO:0106310","GO:MF","protein serine kinase activity",24540,9081,"GO:0004672"
"query_1",TRUE,0.00462242771015757,8756,4310,1650,0.382830626450116,0.188442211055276,"GO:0036094","GO:MF","small molecule binding",24540,4911,"GO:0005488"
"query_1",TRUE,0.00462242771015757,18,4310,11,0.00255220417633411,0.611111111111111,"GO:0003951","GO:MF","NAD+ kinase activity",24540,452,"GO:0016301,GO:0016773"
"query_1",TRUE,0.00653853860173391,392,4310,99,0.022969837587007,0.252551020408163,"GO:0008289","GO:MF","lipid binding",24540,1613,"GO:0005488"
