"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0050789","regulation of biological process","GO:BP",3.23821549945304e-08,1096,3717,5424,0.29486144740382,0.202064896755162
"GO:0007165","signal transduction","GO:BP",7.53515740358716e-08,354,3717,1505,0.0952380952380952,0.235215946843854
"GO:0050794","regulation of cellular process","GO:BP",9.3257680079344e-08,1044,3717,5181,0.280871670702179,0.201505500868558
"GO:0023052","signaling","GO:BP",1.14442573032976e-07,354,3717,1518,0.0952380952380952,0.233201581027668
"GO:0036211","protein modification process","GO:BP",2.06251177967946e-07,614,3717,2877,0.165186978746301,0.213416753562739
"GO:0007154","cell communication","GO:BP",2.06251177967946e-07,354,3717,1530,0.0952380952380952,0.231372549019608
"GO:0065007","biological regulation","GO:BP",2.64560096285192e-07,1138,3717,5742,0.306160882432069,0.198188784395681
"GO:0006470","protein dephosphorylation","GO:BP",3.95702105270255e-07,56,3717,147,0.0150659133709981,0.380952380952381
"GO:0016311","dephosphorylation","GO:BP",3.95702105270255e-07,77,3717,229,0.0207156308851224,0.336244541484716
"GO:0006468","protein phosphorylation","GO:BP",5.32600971719837e-06,354,3717,1579,0.0952380952380952,0.224192526915769
"GO:0006793","phosphorus metabolic process","GO:BP",9.97372053952873e-06,688,3717,3359,0.185095507129405,0.204822863947603
"GO:0006796","phosphate-containing compound metabolic process","GO:BP",1.13533946816142e-05,687,3717,3358,0.184826472962066,0.204586063132817
"GO:0051252","regulation of RNA metabolic process","GO:BP",2.55512628863105e-05,607,3717,2944,0.163303739574926,0.206182065217391
"GO:0019219","regulation of nucleobase-containing compound metabolic process","GO:BP",4.1492541963395e-05,614,3717,2993,0.165186978746301,0.205145339124624
"GO:0006355","regulation of DNA-templated transcription","GO:BP",6.18891306196307e-05,578,3717,2811,0.155501748722088,0.205620775524724
"GO:0046854","phosphatidylinositol phosphate biosynthetic process","GO:BP",6.18891306196307e-05,23,3717,46,0.0061877858488028,0.5
"GO:2001141","regulation of RNA biosynthetic process","GO:BP",6.18891306196307e-05,578,3717,2811,0.155501748722088,0.205620775524724
"GO:0016310","phosphorylation","GO:BP",9.13957377632933e-05,499,3717,2396,0.134248049502287,0.208263772954925
"GO:0009651","response to salt stress","GO:BP",9.89066241956318e-05,36,3717,93,0.00968523002421308,0.387096774193548
"GO:0009889","regulation of biosynthetic process","GO:BP",9.89066241956318e-05,701,3717,3492,0.188592951304816,0.200744558991982
"GO:0006970","response to osmotic stress","GO:BP",9.92459458798018e-05,43,3717,120,0.0115684691955878,0.358333333333333
"GO:0019222","regulation of metabolic process","GO:BP",0.000181045075996606,748,3717,3766,0.201237557169761,0.198619224641529
"GO:0010556","regulation of macromolecule biosynthetic process","GO:BP",0.000200826404877085,693,3717,3468,0.186440677966102,0.199826989619377
"GO:0060255","regulation of macromolecule metabolic process","GO:BP",0.000218108395038536,730,3717,3674,0.196394942157654,0.198693522046815
"GO:0010468","regulation of gene expression","GO:BP",0.000218108395038536,690,3717,3456,0.185633575464084,0.199652777777778
"GO:0080090","regulation of primary metabolic process","GO:BP",0.000218108395038536,672,3717,3358,0.180790960451977,0.20011911852293
"GO:0009832","plant-type cell wall biogenesis","GO:BP",0.000267902687337247,41,3717,117,0.0110304008609093,0.35042735042735
"GO:0120254","olefinic compound metabolic process","GO:BP",0.00041746896795961,16,3717,29,0.00430454667742803,0.551724137931034
"GO:0000165","MAPK cascade","GO:BP",0.000616077146017301,24,3717,56,0.00645682001614205,0.428571428571429
"GO:0042221","response to chemical","GO:BP",0.00122724661923563,348,3717,1652,0.0936238902340597,0.210653753026634
