"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.31191612504481e-08,885,1316,106,0.0805471124620061,0.119774011299435,"GO:0009725","GO:BP","response to hormone",21625,3608,"GO:0009719,GO:0042221"
"query_1",TRUE,1.31191612504481e-08,886,1316,106,0.0805471124620061,0.119638826185102,"GO:0009719","GO:BP","response to endogenous stimulus",21625,3602,"GO:0050896"
"query_1",TRUE,2.71115386022405e-08,40,1316,17,0.0129179331306991,0.425,"GO:2000022","GO:BP","regulation of jasmonic acid mediated signaling pathway",21625,24948,"GO:0009867,GO:0009966"
"query_1",TRUE,1.43230739507849e-07,1652,1316,163,0.123860182370821,0.0986682808716707,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,6.44451282301043e-07,624,1316,77,0.0585106382978723,0.123397435897436,"GO:0009755","GO:BP","hormone-mediated signaling pathway",21625,3637,"GO:0007165,GO:0032870"
"query_1",TRUE,6.44451282301043e-07,633,1316,78,0.0592705167173252,0.123222748815166,"GO:0032870","GO:BP","cellular response to hormone stimulus",21625,7810,"GO:0009725,GO:0070887,GO:0071495"
"query_1",TRUE,6.44451282301043e-07,634,1316,78,0.0592705167173252,0.123028391167192,"GO:0071495","GO:BP","cellular response to endogenous stimulus",21625,16497,"GO:0009719"
"query_1",TRUE,4.98471316530025e-06,1579,1316,150,0.113981762917933,0.0949968334388854,"GO:0006468","GO:BP","protein phosphorylation",21625,2199,"GO:0016310,GO:0036211"
"query_1",TRUE,5.7649744444204e-06,86,1316,21,0.0159574468085106,0.244186046511628,"GO:0070542","GO:BP","response to fatty acid",21625,15943,"GO:0033993,GO:1901700"
"query_1",TRUE,5.7649744444204e-06,86,1316,21,0.0159574468085106,0.244186046511628,"GO:0009753","GO:BP","response to jasmonic acid",21625,3635,"GO:0009725,GO:0070542"
"query_1",TRUE,7.77710013392909e-06,73,1316,19,0.0144376899696049,0.26027397260274,"GO:0009867","GO:BP","jasmonic acid mediated signaling pathway",21625,3722,"GO:0009755,GO:0071395"
"query_1",TRUE,8.01853775633016e-06,1001,1316,104,0.0790273556231003,0.103896103896104,"GO:0070887","GO:BP","cellular response to chemical stimulus",21625,16130,"GO:0042221,GO:0051716"
"query_1",TRUE,9.5861931184112e-06,82,1316,20,0.0151975683890578,0.24390243902439,"GO:0009611","GO:BP","response to wounding",21625,3525,"GO:0006950"
"query_1",TRUE,1.15046257640703e-05,76,1316,19,0.0144376899696049,0.25,"GO:0071398","GO:BP","cellular response to fatty acid",21625,16420,"GO:0070542,GO:0071396,GO:1901701"
"query_1",TRUE,1.15046257640703e-05,76,1316,19,0.0144376899696049,0.25,"GO:0071395","GO:BP","cellular response to jasmonic acid stimulus",21625,16417,"GO:0009753,GO:0032870,GO:0071398"
"query_1",TRUE,1.5831100234977e-05,1505,1316,141,0.107142857142857,0.093687707641196,"GO:0007165","GO:BP","signal transduction",21625,2716,"GO:0007154,GO:0009987,GO:0023052,GO:0050794,GO:0051716"
"query_1",TRUE,2.46755326797307e-05,1518,1316,141,0.107142857142857,0.0928853754940712,"GO:0023052","GO:BP","signaling",21625,6607,"GO:0050789"
"query_1",TRUE,3.67418913366074e-05,1530,1316,141,0.107142857142857,0.092156862745098,"GO:0007154","GO:BP","cell communication",21625,2705,"GO:0009987"
"query_1",TRUE,8.83620069903537e-05,4589,1316,350,0.265957446808511,0.0762693397254304,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,9.56333603090072e-05,113,1316,22,0.0167173252279635,0.194690265486726,"GO:0031347","GO:BP","regulation of defense response",21625,7099,"GO:0006952,GO:0080134"
"query_1",TRUE,0.00013265451909597,2396,1316,200,0.151975683890578,0.0834724540901502,"GO:0016310","GO:BP","phosphorylation",21625,5173,"GO:0006796"
"query_1",TRUE,0.000162107335141129,75,1316,17,0.0129179331306991,0.226666666666667,"GO:0046777","GO:BP","protein autophosphorylation",21625,12198,"GO:0006468"
"query_1",TRUE,0.000270200494301741,595,1316,65,0.0493920972644377,0.109243697478992,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,0.000276087695156768,360,1316,45,0.0341945288753799,0.125,"GO:0033993","GO:BP","response to lipid",21625,8310,"GO:0042221"
"query_1",TRUE,0.000300427137046609,685,1316,72,0.0547112462006079,0.105109489051095,"GO:0006952","GO:BP","defense response",21625,2572,"GO:0006950"
"query_1",TRUE,0.000324205312440655,3358,1316,263,0.199848024316109,0.0783204288266826,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",21625,2474,"GO:0006793"
"query_1",TRUE,0.000324205312440655,3359,1316,263,0.199848024316109,0.0782971122357845,"GO:0006793","GO:BP","phosphorus metabolic process",21625,2471,"GO:0008152"
"query_1",TRUE,0.000597211223412196,5424,1316,397,0.301671732522796,0.073193215339233,"GO:0050789","GO:BP","regulation of biological process",21625,13086,"GO:0008150,GO:0065007"
"query_1",TRUE,0.000827934009981643,5181,1316,380,0.288753799392097,0.0733449141092453,"GO:0050794","GO:BP","regulation of cellular process",21625,13090,"GO:0009987,GO:0050789"
"query_1",TRUE,0.00104831323588521,47,1316,12,0.00911854103343465,0.25531914893617,"GO:0005991","GO:BP","trehalose metabolic process",21625,1864,"GO:0005984"
"query_1",TRUE,0.0016074857988631,147,1316,23,0.0174772036474164,0.156462585034014,"GO:0006470","GO:BP","protein dephosphorylation",21625,2201,"GO:0016311,GO:0036211"
"query_1",TRUE,0.00177639296542038,5742,1316,413,0.313829787234043,0.0719261581330547,"GO:0065007","GO:BP","biological regulation",21625,15666,"GO:0008150"
"query_1",TRUE,0.00190928673739577,2811,1316,220,0.167173252279635,0.0782639630024902,"GO:0006355","GO:BP","regulation of DNA-templated transcription",21625,2124,"GO:0006351,GO:0010468,GO:2001141"
"query_1",TRUE,0.00190928673739577,2811,1316,220,0.167173252279635,0.0782639630024902,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",21625,25908,"GO:0010556,GO:0032774,GO:0051252"
"query_1",TRUE,0.00216292945220785,2877,1316,224,0.170212765957447,0.0778588807785888,"GO:0036211","GO:BP","protein modification process",21625,9413,"GO:0019538,GO:0043412"
"query_1",TRUE,0.00261133252097538,249,1316,32,0.0243161094224924,0.1285140562249,"GO:0071396","GO:BP","cellular response to lipid",21625,16418,"GO:0033993,GO:0070887"
"query_1",TRUE,0.00293654553592669,45,1316,11,0.00835866261398176,0.244444444444444,"GO:0005992","GO:BP","trehalose biosynthetic process",21625,1865,"GO:0005991,GO:0046351"
"query_1",TRUE,0.00421163193514683,63,1316,13,0.00987841945288754,0.206349206349206,"GO:0009312","GO:BP","oligosaccharide biosynthetic process",21625,3444,"GO:0009311,GO:0016051"
"query_1",TRUE,0.00728080619691434,113,1316,18,0.013677811550152,0.15929203539823,"GO:0009311","GO:BP","oligosaccharide metabolic process",21625,3443,"GO:0005975"
"query_1",TRUE,0.00860245652396882,177,1316,24,0.0182370820668693,0.135593220338983,"GO:0009966","GO:BP","regulation of signal transduction",21625,3789,"GO:0007165,GO:0010646,GO:0023051,GO:0048583"
"query_1",TRUE,0.00893428041887596,178,1316,24,0.0182370820668693,0.134831460674157,"GO:0023051","GO:BP","regulation of signaling",21625,6606,"GO:0023052,GO:0050789"
"query_1",TRUE,0.00893428041887596,178,1316,24,0.0182370820668693,0.134831460674157,"GO:0010646","GO:BP","regulation of cell communication",21625,4275,"GO:0007154,GO:0050794"
"query_1",TRUE,0.00971071528429192,2944,1316,223,0.169452887537994,0.0757472826086956,"GO:0051252","GO:BP","regulation of RNA metabolic process",21625,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,0.0108191276946178,61,1316,12,0.00911854103343465,0.19672131147541,"GO:0046351","GO:BP","disaccharide biosynthetic process",21625,11919,"GO:0005984,GO:0009312"
"query_1",TRUE,0.012098440357365,172,1316,23,0.0174772036474164,0.133720930232558,"GO:0080134","GO:BP","regulation of response to stress",21625,17581,"GO:0006950,GO:0048583"
"query_1",TRUE,0.012098440357365,62,1316,12,0.00911854103343465,0.193548387096774,"GO:0018209","GO:BP","peptidyl-serine modification",21625,5343,"GO:0018193"
"query_1",TRUE,0.012098440357365,62,1316,12,0.00911854103343465,0.193548387096774,"GO:0018105","GO:BP","peptidyl-serine phosphorylation",21625,5299,"GO:0006468,GO:0018209"
"query_1",TRUE,0.0128821531023741,110,1316,17,0.0129179331306991,0.154545454545455,"GO:0005984","GO:BP","disaccharide metabolic process",21625,1857,"GO:0009311"
"query_1",TRUE,0.0135952001757169,230,1316,28,0.0212765957446809,0.121739130434783,"GO:0006720","GO:BP","isoprenoid metabolic process",21625,2418,"GO:0006629"
"query_1",TRUE,0.0159849174905286,2993,1316,224,0.170212765957447,0.0748412963581691,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21625,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,0.0187813332768347,146,1316,20,0.0151975683890578,0.136986301369863,"GO:0006721","GO:BP","terpenoid metabolic process",21625,2419,"GO:0006720"
