"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0009408","response to heat","GO:BP",2.18951137224815e-12,60,3389,133,0.0177043375627029,0.451127819548872
"GO:0009628","response to abiotic stimulus","GO:BP",1.63783896636136e-11,191,3389,716,0.0563588079079374,0.266759776536313
"GO:0042221","response to chemical","GO:BP",1.63783896636136e-11,372,3389,1652,0.109766892888758,0.225181598062954
"GO:0009266","response to temperature stimulus","GO:BP",3.43564676162137e-11,86,3389,245,0.0253762171732074,0.351020408163265
"GO:0050896","response to stimulus","GO:BP",3.43564676162137e-11,885,3389,4589,0.261138979049867,0.192852473305731
"GO:1901700","response to oxygen-containing compound","GO:BP",4.8041922107144e-11,163,3389,595,0.0480967837120094,0.273949579831933
"GO:0042542","response to hydrogen peroxide","GO:BP",4.26185663656765e-10,26,3389,39,0.00767187961050457,0.666666666666667
"GO:0009651","response to salt stress","GO:BP",1.17204352622749e-09,43,3389,93,0.0126881085866037,0.462365591397849
"GO:0006457","protein folding","GO:BP",2.87827624657872e-09,116,3389,401,0.0342283859545589,0.28927680798005
"GO:0000302","response to reactive oxygen species","GO:BP",7.59870752734475e-09,41,3389,91,0.0120979640011803,0.450549450549451
"GO:0006970","response to osmotic stress","GO:BP",7.59870752734475e-09,49,3389,120,0.014458542342874,0.408333333333333
"GO:0051259","protein complex oligomerization","GO:BP",1.76601767375717e-07,23,3389,39,0.00678666273236943,0.58974358974359
"GO:0006355","regulation of DNA-templated transcription","GO:BP",1.76601767375717e-07,552,3389,2811,0.162879905576866,0.196371398078975
"GO:2001141","regulation of RNA biosynthetic process","GO:BP",1.76601767375717e-07,552,3389,2811,0.162879905576866,0.196371398078975
"GO:0009725","response to hormone","GO:BP",9.06021810962478e-07,203,3389,885,0.059899675420478,0.229378531073446
"GO:0009719","response to endogenous stimulus","GO:BP",9.34687125817994e-07,203,3389,886,0.059899675420478,0.229119638826185
"GO:0055085","transmembrane transport","GO:BP",1.49185081498633e-06,364,3389,1775,0.107406314547064,0.205070422535211
"GO:0070887","cellular response to chemical stimulus","GO:BP",1.80198554335511e-06,223,3389,1001,0.0658011212747123,0.222777222777223
"GO:0051252","regulation of RNA metabolic process","GO:BP",2.07157498577988e-05,558,3389,2944,0.164650339333137,0.189538043478261
"GO:0019219","regulation of nucleobase-containing compound metabolic process","GO:BP",2.15099215226367e-05,566,3389,2993,0.16701091767483,0.189107918476445
"GO:0006979","response to oxidative stress","GO:BP",5.63612724671534e-05,88,3389,336,0.0259663617586309,0.261904761904762
"GO:0051604","protein maturation","GO:BP",6.11471698155154e-05,130,3389,549,0.0383593980525229,0.236794171220401
"GO:0048511","rhythmic process","GO:BP",0.000199666454050302,24,3389,57,0.00708173502508115,0.421052631578947
"GO:0009755","hormone-mediated signaling pathway","GO:BP",0.000305311715068373,141,3389,624,0.0416051932723517,0.225961538461538
"GO:0032870","cellular response to hormone stimulus","GO:BP",0.000408319846158797,142,3389,633,0.0419002655650634,0.22432859399684
"GO:0071495","cellular response to endogenous stimulus","GO:BP",0.00042908894875993,142,3389,634,0.0419002655650634,0.22397476340694
"GO:0051084","'de novo' post-translational protein folding","GO:BP",0.00048808977275527,25,3389,64,0.00737680731779286,0.390625
"GO:0051085","chaperone cofactor-dependent protein refolding","GO:BP",0.00048808977275527,25,3389,64,0.00737680731779286,0.390625
"GO:0033993","response to lipid","GO:BP",0.00048808977275527,89,3389,360,0.0262614340513426,0.247222222222222
"GO:0061077","chaperone-mediated protein folding","GO:BP",0.00048808977275527,31,3389,88,0.00914724107406314,0.352272727272727
"GO:0008300","isoprenoid catabolic process","GO:BP",0.000550658650766303,16,3389,32,0.00472115668338743,0.5
"GO:0065007","biological regulation","GO:BP",0.000587897184066461,1004,3389,5742,0.296252581882561,0.174851967955416
"GO:0050789","regulation of biological process","GO:BP",0.000607826366890873,952,3389,5424,0.280908822661552,0.175516224188791
"GO:0042752","regulation of circadian rhythm","GO:BP",0.000641287210059807,12,3389,20,0.00354086751254057,0.6
"GO:0006950","response to stress","GO:BP",0.000845267327156084,434,3389,2309,0.128061375036884,0.18796015591165
"GO:0170035","L-amino acid catabolic process","GO:BP",0.000922013228508119,29,3389,83,0.00855709648863972,0.349397590361446
"GO:0034605","cellular response to heat","GO:BP",0.000922013228508119,22,3389,55,0.00649159043965772,0.4
"GO:0048580","regulation of post-embryonic development","GO:BP",0.000922013228508119,39,3389,126,0.0115078194157569,0.30952380952381
"GO:0051239","regulation of multicellular organismal process","GO:BP",0.000974532178546917,49,3389,172,0.014458542342874,0.284883720930233
"GO:0006986","response to unfolded protein","GO:BP",0.000982711360728704,20,3389,48,0.00590144585423429,0.416666666666667
"GO:0007623","circadian rhythm","GO:BP",0.000982711360728704,20,3389,48,0.00590144585423429,0.416666666666667
"GO:0016054","organic acid catabolic process","GO:BP",0.00136172277784878,51,3389,184,0.0150486869282974,0.277173913043478
"GO:0046395","carboxylic acid catabolic process","GO:BP",0.00136172277784878,51,3389,184,0.0150486869282974,0.277173913043478
"GO:2000026","regulation of multicellular organismal development","GO:BP",0.00145683274071495,39,3389,129,0.0115078194157569,0.302325581395349
"GO:0043436","oxoacid metabolic process","GO:BP",0.00151498334081871,218,3389,1077,0.0643257598111537,0.202414113277623
"GO:0006351","DNA-templated transcription","GO:BP",0.00154196033895039,563,3389,3098,0.166125700796695,0.181730148482892
"GO:0006082","organic acid metabolic process","GO:BP",0.00154196033895039,218,3389,1078,0.0643257598111537,0.202226345083488
"GO:0044282","small molecule catabolic process","GO:BP",0.00215450413371258,66,3389,261,0.0194747713189731,0.252873563218391
"GO:0006560","proline metabolic process","GO:BP",0.00215614811326971,8,3389,11,0.00236057834169371,0.727272727272727
"GO:0023052","signaling","GO:BP",0.00352886916261658,292,3389,1518,0.0861611094718206,0.19235836627141
"GO:0009737","response to abscisic acid","GO:BP",0.00352886916261658,48,3389,177,0.0141634700501623,0.271186440677966
"GO:0007154","cell communication","GO:BP",0.00352886916261658,294,3389,1530,0.086751254057244,0.192156862745098
"GO:0035966","response to topologically incorrect protein","GO:BP",0.0040863546543922,20,3389,53,0.00590144585423429,0.377358490566038
