"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,6.02514766606998e-14,39,1325,22,0.0166037735849057,0.564102564102564,"GO:0042542","GO:BP","response to hydrogen peroxide",21625,10141,"GO:0000302"
"query_1",TRUE,6.63265269275421e-12,595,1325,88,0.0664150943396226,0.147899159663866,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,6.63265269275421e-12,39,1325,20,0.0150943396226415,0.512820512820513,"GO:0051259","GO:BP","protein complex oligomerization",21625,13424,"GO:0065003"
"query_1",TRUE,8.02049817187888e-12,133,1325,36,0.0271698113207547,0.270676691729323,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,1.32410316433712e-11,245,1325,50,0.0377358490566038,0.204081632653061,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,2.09893010905972e-10,120,1325,32,0.0241509433962264,0.266666666666667,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,2.09893010905972e-10,93,1325,28,0.0211320754716981,0.301075268817204,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,2.44323597861802e-10,1652,1325,173,0.130566037735849,0.104721549636804,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,6.15087713707432e-10,91,1325,27,0.020377358490566,0.296703296703297,"GO:0000302","GO:BP","response to reactive oxygen species",21625,88,"GO:0006979,GO:1901700"
"query_1",TRUE,1.0758797202602e-08,2811,1325,253,0.190943396226415,0.0900035574528637,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",21625,25908,"GO:0010556,GO:0032774,GO:0051252"
"query_1",TRUE,1.0758797202602e-08,2811,1325,253,0.190943396226415,0.0900035574528637,"GO:0006355","GO:BP","regulation of DNA-templated transcription",21625,2124,"GO:0006351,GO:0010468,GO:2001141"
"query_1",TRUE,2.28908539400988e-07,2944,1325,256,0.193207547169811,0.0869565217391304,"GO:0051252","GO:BP","regulation of RNA metabolic process",21625,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,4.3980810189096e-07,4589,1325,368,0.277735849056604,0.0801917629113097,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,6.01435910658505e-07,2993,1325,257,0.193962264150943,0.0858670230537922,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21625,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,3.90922904655367e-06,716,1325,82,0.0618867924528302,0.114525139664804,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,1.24323430519369e-05,177,1325,31,0.0233962264150943,0.175141242937853,"GO:0009737","GO:BP","response to abscisic acid",21625,3619,"GO:0009725,GO:0033993,GO:0097305"
