"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.42967922172333e-11,952,668,248,0.37125748502994,0.260504201680672,"KEGG:01110","KEGG","Biosynthesis of secondary metabolites",3709,182,"KEGG:00000"
"query_1",TRUE,1.24125012709158e-07,1675,668,371,0.555389221556886,0.221492537313433,"KEGG:01100","KEGG","Metabolic pathways",3709,181,"KEGG:00000"
"query_1",TRUE,0.0213405009510679,16,668,9,0.0134730538922156,0.5625,"KEGG:00196","KEGG","Photosynthesis - antenna proteins",3709,20,"KEGG:00000"
"query_1",TRUE,0.0213405009510679,33,668,14,0.0209580838323353,0.424242424242424,"KEGG:00592","KEGG","alpha-Linolenic acid metabolism",3709,94,"KEGG:00000"
"query_1",TRUE,0.0213405009510679,6,668,5,0.00748502994011976,0.833333333333333,"KEGG:00902","KEGG","Monoterpenoid biosynthesis",3709,131,"KEGG:00000"
"query_1",TRUE,0.0213405009510679,110,668,34,0.0508982035928144,0.309090909090909,"KEGG:00940","KEGG","Phenylpropanoid biosynthesis",3709,142,"KEGG:00000"
"query_1",TRUE,0.0310049818598625,42,668,16,0.0239520958083832,0.380952380952381,"KEGG:00999","KEGG","Biosynthesis of various plant secondary metabolites",3709,162,"KEGG:00000"
"query_1",TRUE,0.0321902954293698,198,668,52,0.0778443113772455,0.262626262626263,"KEGG:04075","KEGG","Plant hormone signal transduction",3709,262,"KEGG:00000"
"query_1",TRUE,0.0340946936579596,48,668,17,0.0254491017964072,0.354166666666667,"KEGG:00051","KEGG","Fructose and mannose metabolism",3709,6,"KEGG:00000"
"query_1",TRUE,0.0340946936579596,85,668,26,0.0389221556886228,0.305882352941176,"KEGG:00270","KEGG","Cysteine and methionine metabolism",3709,30,"KEGG:00000"
"query_1",TRUE,0.0340946936579596,22,668,10,0.0149700598802395,0.454545454545455,"KEGG:00904","KEGG","Diterpenoid biosynthesis",3709,133,"KEGG:00000"
"query_1",TRUE,0.0340946936579596,188,668,49,0.0733532934131736,0.26063829787234,"KEGG:04141","KEGG","Protein processing in endoplasmic reticulum",3709,278,"KEGG:00000"
"query_1",TRUE,0.0413841343524707,23,668,10,0.0149700598802395,0.434782608695652,"KEGG:00906","KEGG","Carotenoid biosynthesis",3709,135,"KEGG:00000"
"query_1",TRUE,0.0428403636770274,38,668,14,0.0209580838323353,0.368421052631579,"KEGG:00195","KEGG","Photosynthesis",3709,19,"KEGG:00000"
