"term_id","term_name","p_value","intersection_size","query_size","term_size"
"GO:0042221","response to chemical",0.000222029220977866,151,1301,1652
"GO:2001141","regulation of RNA biosynthetic process",0.000303568921755661,229,1301,2811
"GO:1901700","response to oxygen-containing compound",0.000303568921755661,67,1301,595
"GO:0006355","regulation of DNA-templated transcription",0.000303568921755661,229,1301,2811
"GO:0050896","response to stimulus",0.00060504048679719,345,1301,4589
"GO:0051252","regulation of RNA metabolic process",0.000715539884625032,234,1301,2944
"GO:0050789","regulation of biological process",0.000715539884625032,397,1301,5424
"GO:0009889","regulation of biosynthetic process",0.000715539884625032,271,1301,3492
"GO:0065007","biological regulation",0.000785224552073707,416,1301,5742
"GO:0009408","response to heat",0.000785224552073707,23,1301,133
"GO:0009266","response to temperature stimulus",0.000785224552073707,34,1301,245
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.000785224552073707,236,1301,2993
"GO:0009628","response to abiotic stimulus",0.00102026261271097,73,1301,716
"GO:0009719","response to endogenous stimulus",0.00102026261271097,86,1301,886
"GO:0009725","response to hormone",0.00102026261271097,86,1301,885
"GO:0010556","regulation of macromolecule biosynthetic process",0.00106032209862409,266,1301,3468
"GO:0010468","regulation of gene expression",0.00148257041057253,264,1301,3456
"GO:0080090","regulation of primary metabolic process",0.00164857702292316,257,1301,3358
"GO:0019222","regulation of metabolic process",0.00210098991580678,283,1301,3766
"GO:0050794","regulation of cellular process",0.0024053493714479,374,1301,5181
"GO:0060255","regulation of macromolecule metabolic process",0.00468241911822469,274,1301,3674
"GO:0006565","L-serine catabolic process",0.00549371770374664,4,1301,5
"GO:0048580","regulation of post-embryonic development",0.00549371770374664,20,1301,126
"GO:2000026","regulation of multicellular organismal development",0.00738230237420728,20,1301,129
"GO:0051239","regulation of multicellular organismal process",0.00828357053727225,24,1301,172
"GO:0010029","regulation of seed germination",0.0113291043446405,6,1301,15
"GO:0006351","DNA-templated transcription",0.0124874378394991,232,1301,3098
"GO:0006470","protein dephosphorylation",0.0140291846046642,21,1301,147
"GO:0120254","olefinic compound metabolic process",0.0140891545769696,8,1301,29
"GO:0009845","seed germination",0.0140891545769696,9,1301,36
"GO:1904482","cellular response to tetrahydrofolate",0.0140891545769696,3,1301,3
"GO:1904481","response to tetrahydrofolate",0.0140891545769696,3,1301,3
"GO:0009755","hormone-mediated signaling pathway",0.0140891545769696,60,1301,624
"GO:0033993","response to lipid",0.0166566995406339,39,1301,360
"GO:0070887","cellular response to chemical stimulus",0.0179226468970981,87,1301,1001
"GO:0071495","cellular response to endogenous stimulus",0.0179226468970981,60,1301,634
"GO:1900140","regulation of seedling development",0.0179226468970981,6,1301,17
"GO:2000031","regulation of salicylic acid mediated signaling pathway",0.0179226468970981,6,1301,17
"GO:0032870","cellular response to hormone stimulus",0.0179226468970981,60,1301,633
"GO:0000165","MAPK cascade",0.0218961120559327,11,1301,56
"GO:0090351","seedling development",0.0246908577155022,9,1301,40
"GO:0009414","response to water deprivation",0.0281928271874736,12,1301,67
"GO:0006730","one-carbon metabolic process",0.0285720244388932,9,1301,41
"GO:0006457","protein folding",0.0292484360708175,41,1301,401
"GO:0016311","dephosphorylation",0.0292484360708175,27,1301,229
"GO:0034309","primary alcohol biosynthetic process",0.0292972746405141,5,1301,13
"GO:0046655","folic acid metabolic process",0.0321267573507717,4,1301,8
"GO:0010030","positive regulation of seed germination",0.0342149063242331,3,1301,4
"GO:0006970","response to osmotic stress",0.0342149063242331,17,1301,120
"GO:0009863","salicylic acid mediated signaling pathway",0.0342149063242331,6,1301,20
"GO:0009415","response to water",0.0342149063242331,12,1301,70
"GO:0007165","signal transduction",0.0342149063242331,120,1301,1505
"GO:0048583","regulation of response to stimulus",0.0357622906245092,36,1301,345
"GO:0120255","olefinic compound biosynthetic process",0.0404677050073125,7,1301,28
"GO:0034050","symbiont-induced defense-related programmed cell death",0.0413635305206484,6,1301,21
"GO:0023052","signaling",0.0413635305206484,120,1301,1518
"GO:0009626","plant-type hypersensitive response",0.0413635305206484,6,1301,21
"GO:0009228","thiamine biosynthetic process",0.0434427998482967,4,1301,9
"GO:0001101","response to acid chemical",0.0434427998482967,12,1301,73
"GO:0009651","response to salt stress",0.0434427998482967,14,1301,93
"GO:0009657","plastid organization",0.0453417522305957,21,1301,170
