"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,5.07152617417912e-13,245,6699,138,0.0206000895656068,0.563265306122449,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,2.10204054419801e-12,133,6699,86,0.012837736975668,0.646616541353383,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,3.55977069754398e-11,323,6699,165,0.0246305418719212,0.510835913312694,"GO:0015979","GO:BP","photosynthesis",21625,5035,"GO:0008152"
"query_1",TRUE,5.29339295826278e-09,716,6699,307,0.0458277354829079,0.42877094972067,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,5.29339295826278e-09,130,6699,78,0.0116435288849082,0.6,"GO:0019684","GO:BP","photosynthesis, light reaction",21625,5970,"GO:0006091,GO:0015979"
"query_1",TRUE,1.33381805863728e-07,40,6699,32,0.00477683236303926,0.8,"GO:0009765","GO:BP","photosynthesis, light harvesting",21625,3647,"GO:0006091,GO:0019684"
"query_1",TRUE,2.97171423741e-07,39,6699,31,0.00462755635169428,0.794871794871795,"GO:0042542","GO:BP","response to hydrogen peroxide",21625,10141,"GO:0000302"
"query_1",TRUE,4.36903676722339e-07,21,6699,20,0.00298552022689954,0.952380952380952,"GO:0009768","GO:BP","photosynthesis, light harvesting in photosystem I",21625,3649,"GO:0009765"
"query_1",TRUE,1.81663705800815e-06,39,6699,30,0.00447828034034931,0.769230769230769,"GO:0051259","GO:BP","protein complex oligomerization",21625,13424,"GO:0065003"
"query_1",TRUE,3.27547444775771e-06,595,6699,249,0.0371697268248992,0.418487394957983,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,6.14937608034195e-05,45,6699,31,0.00462755635169428,0.688888888888889,"GO:0015994","GO:BP","chlorophyll metabolic process",21625,5042,"GO:0006778"
"query_1",TRUE,0.000154578730713882,93,6699,52,0.0077623525899388,0.559139784946237,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,0.000154578730713882,731,6699,288,0.0429914912673533,0.393980848153215,"GO:0008610","GO:BP","lipid biosynthetic process",21625,3192,"GO:0006629,GO:0009058"
"query_1",TRUE,0.000228309841087935,743,6699,291,0.0434393193013883,0.391655450874832,"GO:0044283","GO:BP","small molecule biosynthetic process",21625,10852,"GO:0009058,GO:0044281"
"query_1",TRUE,0.000256599012755635,1932,6699,692,0.103298999850724,0.358178053830228,"GO:0044281","GO:BP","small molecule metabolic process",21625,10850,"GO:0008152"
"query_1",TRUE,0.000379653022951791,91,6699,50,0.00746380056724884,0.54945054945055,"GO:0000302","GO:BP","response to reactive oxygen species",21625,88,"GO:0006979,GO:1901700"
"query_1",TRUE,0.000379653022951791,84,6699,47,0.00701597253321391,0.55952380952381,"GO:0046148","GO:BP","pigment biosynthetic process",21625,11756,"GO:0042440"
"query_1",TRUE,0.000410697362057851,57,6699,35,0.00522466039707419,0.614035087719298,"GO:0006779","GO:BP","porphyrin-containing compound biosynthetic process",21625,2457,"GO:0006778,GO:0033014"
"query_1",TRUE,0.000438810108030639,14,6699,13,0.0019405881474847,0.928571428571429,"GO:0010207","GO:BP","photosystem II assembly",21625,3976,"GO:0019684,GO:0065003"
"query_1",TRUE,0.000438810108030639,111,6699,58,0.00865800865800866,0.522522522522523,"GO:0042440","GO:BP","pigment metabolic process",21625,10087,"GO:0008152"
"query_1",TRUE,0.000587039652890211,180,6699,85,0.012688460964323,0.472222222222222,"GO:0097305","GO:BP","response to alcohol",21625,18345,"GO:1901700"
"query_1",TRUE,0.000651952776633708,86,6699,47,0.00701597253321391,0.546511627906977,"GO:0033013","GO:BP","tetrapyrrole metabolic process",21625,7921,"GO:0008152"
"query_1",TRUE,0.000651952776633708,25,6699,19,0.00283624421555456,0.76,"GO:0031407","GO:BP","oxylipin metabolic process",21625,7119,"GO:0019752"
"query_1",TRUE,0.000651952776633708,1078,6699,401,0.0598596805493357,0.371985157699443,"GO:0006082","GO:BP","organic acid metabolic process",21625,1943,"GO:0044281"
"query_1",TRUE,0.000651952776633708,1077,6699,401,0.0598596805493357,0.372330547818013,"GO:0043436","GO:BP","oxoacid metabolic process",21625,10596,"GO:0006082"
"query_1",TRUE,0.000651952776633708,25,6699,19,0.00283624421555456,0.76,"GO:0031408","GO:BP","oxylipin biosynthetic process",21625,7120,"GO:0031407,GO:0046394"
"query_1",TRUE,0.000678024159123972,84,6699,46,0.00686669652186894,0.547619047619048,"GO:0006778","GO:BP","porphyrin-containing compound metabolic process",21625,2456,"GO:0033013"
"query_1",TRUE,0.000688806456508337,29,6699,21,0.00313479623824451,0.724137931034483,"GO:0015995","GO:BP","chlorophyll biosynthetic process",21625,5043,"GO:0006779,GO:0015994,GO:0046148"
"query_1",TRUE,0.000753906117332414,59,6699,35,0.00522466039707419,0.593220338983051,"GO:0033014","GO:BP","tetrapyrrole biosynthetic process",21625,7922,"GO:0009058,GO:0033013"
"query_1",TRUE,0.000753906117332414,177,6699,83,0.0123899089416331,0.468926553672316,"GO:0009737","GO:BP","response to abscisic acid",21625,3619,"GO:0009725,GO:0033993,GO:0097305"
"query_1",TRUE,0.000879476177662677,1059,6699,393,0.0586654724585759,0.371104815864023,"GO:0019752","GO:BP","carboxylic acid metabolic process",21625,6004,"GO:0043436"
"query_1",TRUE,0.00092079934159859,55,6699,33,0.00492610837438424,0.6,"GO:0034605","GO:BP","cellular response to heat",21625,8621,"GO:0009408,GO:0033554"
"query_1",TRUE,0.000977423841529652,401,6699,165,0.0246305418719212,0.411471321695761,"GO:0006457","GO:BP","protein folding",21625,2195,"GO:0009987,GO:0051604"
"query_1",TRUE,0.00108788477298764,120,6699,60,0.00895656068069861,0.5,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,0.00114928278762632,67,6699,38,0.00567248843110912,0.567164179104478,"GO:0009414","GO:BP","response to water deprivation",21625,3464,"GO:0006950,GO:0009415"
"query_1",TRUE,0.00120296218620713,1263,6699,460,0.0686669652186894,0.364212193190815,"GO:0006629","GO:BP","lipid metabolic process",21625,2334,"GO:0044238"
"query_1",TRUE,0.00148231120057929,70,6699,39,0.0058217644424541,0.557142857142857,"GO:0009415","GO:BP","response to water",21625,3465,"GO:0001101,GO:0009628,GO:1901700"
"query_1",TRUE,0.00181148071254412,519,6699,205,0.0306015823257203,0.394990366088632,"GO:0032787","GO:BP","monocarboxylic acid metabolic process",21625,7765,"GO:0019752"
"query_1",TRUE,0.0023635910168806,88,6699,46,0.00686669652186894,0.522727272727273,"GO:0061077","GO:BP","chaperone-mediated protein folding",21625,14977,"GO:0006457"
"query_1",TRUE,0.00347116123449124,660,6699,252,0.0376175548589342,0.381818181818182,"GO:0006091","GO:BP","generation of precursor metabolites and energy",21625,1950,"GO:0008152"
"query_1",TRUE,0.00481904730276249,73,6699,39,0.0058217644424541,0.534246575342466,"GO:0001101","GO:BP","response to acid chemical",21625,285,"GO:0042221"
"query_1",TRUE,0.00611239031998781,57,6699,32,0.00477683236303926,0.56140350877193,"GO:0048511","GO:BP","rhythmic process",21625,12629,"GO:0008150"
"query_1",TRUE,0.0084751191927671,549,6699,211,0.0314972383937901,0.384335154826958,"GO:0051604","GO:BP","protein maturation",21625,13631,"GO:0010467,GO:0019538"
"query_1",TRUE,0.0084751191927671,360,6699,145,0.0216450216450216,0.402777777777778,"GO:0033993","GO:BP","response to lipid",21625,8310,"GO:0042221"
"query_1",TRUE,0.0111973591144543,40,6699,24,0.00358262427227944,0.6,"GO:0090351","GO:BP","seedling development",21625,17992,"GO:0009791"
"query_1",TRUE,0.0133284793384118,4589,6699,1522,0.227198089267055,0.331662671606014,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,0.0133284793384118,352,6699,141,0.0210479175996417,0.400568181818182,"GO:0170039","GO:BP","proteinogenic amino acid metabolic process",21625,20026,"GO:0006520,GO:0019752"
"query_1",TRUE,0.01363184547589,36,6699,22,0.00328407224958949,0.611111111111111,"GO:0009845","GO:BP","seed germination",21625,3702,"GO:0032501,GO:0090351"
"query_1",TRUE,0.0151181490782911,34,6699,21,0.00313479623824451,0.61764705882353,"GO:0042181","GO:BP","ketone biosynthetic process",21625,9917,"GO:0042180,GO:0044283"
"query_1",TRUE,0.0171505673002223,340,6699,136,0.0203015375429169,0.4,"GO:0170033","GO:BP","L-amino acid metabolic process",21625,20020,"GO:1901605"
"query_1",TRUE,0.017812150128601,548,6699,208,0.0310494103597552,0.37956204379562,"GO:0016053","GO:BP","organic acid biosynthetic process",21625,5061,"GO:0006082,GO:0044283"
"query_1",TRUE,0.017812150128601,548,6699,208,0.0310494103597552,0.37956204379562,"GO:0046394","GO:BP","carboxylic acid biosynthetic process",21625,11956,"GO:0016053,GO:0019752"
"query_1",TRUE,0.0185963750979175,12,6699,10,0.00149276011344977,0.833333333333333,"GO:0046341","GO:BP","CDP-diacylglycerol metabolic process",21625,11910,"GO:0006650"
"query_1",TRUE,0.0185963750979175,12,6699,10,0.00149276011344977,0.833333333333333,"GO:0016024","GO:BP","CDP-diacylglycerol biosynthetic process",21625,5045,"GO:0046341,GO:0046474"
"query_1",TRUE,0.0206752901105438,379,6699,149,0.0222421256904016,0.393139841688654,"GO:1901605","GO:BP","alpha-amino acid metabolic process",21625,21311,"GO:0006520,GO:0019752"
"query_1",TRUE,0.0207729388858012,111,6699,52,0.0077623525899388,0.468468468468468,"GO:0009409","GO:BP","response to cold",21625,3460,"GO:0006950,GO:0009266"
"query_1",TRUE,0.023567703407779,16,6699,12,0.00179131213613972,0.75,"GO:0005986","GO:BP","sucrose biosynthetic process",21625,1859,"GO:0005985,GO:0046351"
"query_1",TRUE,0.0237744232276027,329,6699,131,0.019555157486192,0.398176291793313,"GO:0006790","GO:BP","sulfur compound metabolic process",21625,2468,"GO:0008152"
"query_1",TRUE,0.0280349790470122,64,6699,33,0.00492610837438424,0.515625,"GO:0051084","GO:BP","'de novo' post-translational protein folding",21625,13308,"GO:0006458"
"query_1",TRUE,0.0280349790470122,64,6699,33,0.00492610837438424,0.515625,"GO:0051085","GO:BP","chaperone cofactor-dependent protein refolding",21625,13309,"GO:0051084,GO:0061077"
"query_1",TRUE,0.0280349790470122,163,6699,71,0.0105985968054934,0.43558282208589,"GO:0006633","GO:BP","fatty acid biosynthetic process",21625,2336,"GO:0006631,GO:0008610,GO:0072330"
"query_1",TRUE,0.0290739979087927,221,6699,92,0.0137333930437379,0.416289592760181,"GO:0072330","GO:BP","monocarboxylic acid biosynthetic process",21625,17119,"GO:0032787,GO:0046394"
"query_1",TRUE,0.0315247402808293,9,6699,8,0.00119420809075981,0.888888888888889,"GO:0010206","GO:BP","photosystem II repair",21625,3975,"GO:0009765,GO:0030091"
"query_1",TRUE,0.0315247402808293,258,6699,105,0.0156739811912226,0.406976744186047,"GO:0006631","GO:BP","fatty acid metabolic process",21625,2335,"GO:0006629,GO:0032787"
"query_1",TRUE,0.0315247402808293,77,6699,38,0.00567248843110912,0.493506493506494,"GO:0042026","GO:BP","protein refolding",21625,9841,"GO:0006457"
"query_1",TRUE,0.0379237539607315,48,6699,26,0.0038811762949694,0.541666666666667,"GO:0007623","GO:BP","circadian rhythm",21625,3066,"GO:0048511"
"query_1",TRUE,0.0379237539607315,48,6699,26,0.0038811762949694,0.541666666666667,"GO:0006986","GO:BP","response to unfolded protein",21625,2595,"GO:0035966"
"query_1",TRUE,0.0457825024764027,6,6699,6,0.000895656068069861,1,"GO:1903530","GO:BP","regulation of secretion by cell",21625,22749,"GO:0032940,GO:0050794,GO:0051046"
"query_1",TRUE,0.0457825024764027,6,6699,6,0.000895656068069861,1,"GO:0017157","GO:BP","regulation of exocytosis",21625,5262,"GO:0006887,GO:0060627,GO:1903530"
"query_1",TRUE,0.0457825024764027,6,6699,6,0.000895656068069861,1,"GO:0051046","GO:BP","regulation of secretion",21625,13283,"GO:0046903,GO:0051049"
"query_1",TRUE,0.0461420998886818,17,6699,12,0.00179131213613972,0.705882352941177,"GO:0009773","GO:BP","photosynthetic electron transport in photosystem I",21625,3652,"GO:0009767"
"query_1",TRUE,0.0484398267691791,89,6699,42,0.00626959247648903,0.471910112359551,"GO:0009110","GO:BP","vitamin biosynthetic process",21625,3265,"GO:0006766,GO:0044283"
"query_1",TRUE,1.07993315482808e-31,1377,6590,651,0.0987860394537177,0.47276688453159,"GO:0009507","GO:CC","chloroplast",20598,569,"GO:0009536"
"query_1",TRUE,1.0733697410679e-29,1564,6590,715,0.108497723823976,0.457161125319693,"GO:0009536","GO:CC","plastid",20598,597,"GO:0005737,GO:0043231"
"query_1",TRUE,4.68864242102526e-15,485,6590,244,0.0370257966616085,0.503092783505155,"GO:0009579","GO:CC","thylakoid",20598,621,"GO:0043232"
"query_1",TRUE,6.69254871273656e-15,282,6590,158,0.0239757207890744,0.560283687943262,"GO:0031976","GO:CC","plastid thylakoid",20598,1194,"GO:0009536,GO:0009579"
"query_1",TRUE,6.69254871273656e-15,282,6590,158,0.0239757207890744,0.560283687943262,"GO:0009534","GO:CC","chloroplast thylakoid",20598,595,"GO:0009507,GO:0031976"
"query_1",TRUE,5.6941468097404e-13,493,6590,240,0.0364188163884674,0.486815415821501,"GO:0009526","GO:CC","plastid envelope",20598,587,"GO:0009536,GO:0031967"
"query_1",TRUE,7.2160200457795e-13,292,6590,157,0.0238239757207891,0.537671232876712,"GO:0042651","GO:CC","thylakoid membrane",20598,1788,"GO:0034357"
"query_1",TRUE,7.2160200457795e-13,259,6590,143,0.0216995447647951,0.552123552123552,"GO:0009532","GO:CC","plastid stroma",20598,593,"GO:0009536,GO:0110165"
"query_1",TRUE,1.4984470604101e-12,318,6590,167,0.0253414264036419,0.525157232704403,"GO:0034357","GO:CC","photosynthetic membrane",20598,1435,"GO:0009579,GO:0016020"
"query_1",TRUE,2.09682901878028e-12,253,6590,139,0.021092564491654,0.549407114624506,"GO:0009570","GO:CC","chloroplast stroma",20598,613,"GO:0009507,GO:0009532"
"query_1",TRUE,9.30589805912093e-11,237,6590,128,0.0194233687405159,0.540084388185654,"GO:0009535","GO:CC","chloroplast thylakoid membrane",20598,596,"GO:0009534,GO:0031968,GO:0055035"
"query_1",TRUE,9.30589805912093e-11,237,6590,128,0.0194233687405159,0.540084388185654,"GO:0055035","GO:CC","plastid thylakoid membrane",20598,2188,"GO:0031976,GO:0042170,GO:0042651"
"query_1",TRUE,4.86472031072293e-10,8776,6590,3031,0.459939301972686,0.345373746581586,"GO:0005737","GO:CC","cytoplasm",20598,304,"GO:0005622,GO:0110165"
"query_1",TRUE,9.60255510011866e-08,386,6590,179,0.0271623672230653,0.463730569948187,"GO:0042170","GO:CC","plastid membrane",20598,1741,"GO:0009526,GO:0031090"
"query_1",TRUE,2.95222942003124e-06,920,6590,369,0.0559939301972686,0.401086956521739,"GO:0031967","GO:CC","organelle envelope",20598,1187,"GO:0043227,GO:0043229,GO:0110165"
"query_1",TRUE,2.95222942003124e-06,349,6590,159,0.0241274658573596,0.455587392550143,"GO:0019867","GO:CC","outer membrane",20598,801,"GO:0016020"
"query_1",TRUE,3.5346316689869e-06,345,6590,157,0.0238239757207891,0.455072463768116,"GO:0031968","GO:CC","organelle outer membrane",20598,1188,"GO:0019867,GO:0031967,GO:0098588"
"query_1",TRUE,1.43260019355039e-05,53,6590,35,0.00531107738998483,0.660377358490566,"GO:0009522","GO:CC","photosystem I",20598,583,"GO:0009521"
"query_1",TRUE,3.77621103492977e-05,132,6590,69,0.0104704097116844,0.522727272727273,"GO:0009521","GO:CC","photosystem",20598,582,"GO:0034357,GO:0098796"
"query_1",TRUE,6.38871693600018e-05,262,6590,120,0.0182094081942337,0.458015267175573,"GO:0009941","GO:CC","chloroplast envelope",20598,640,"GO:0009507,GO:0009526"
"query_1",TRUE,6.94648846203139e-05,22,6590,18,0.00273141122913505,0.818181818181818,"GO:0031977","GO:CC","thylakoid lumen",20598,1195,"GO:0009579,GO:0110165"
"query_1",TRUE,7.66531536660269e-05,101,6590,55,0.00834597875569044,0.544554455445545,"GO:0009523","GO:CC","photosystem II",20598,584,"GO:0009521"
"query_1",TRUE,0.00144273938441152,1606,6590,585,0.0887708649468892,0.36425902864259,"GO:0005886","GO:CC","plasma membrane",20598,409,"GO:0016020,GO:0071944"
"query_1",TRUE,0.00149133406070271,14,6590,12,0.00182094081942337,0.857142857142857,"GO:0005663","GO:CC","DNA replication factor C complex",20598,253,"GO:0005657,GO:0032991"
