"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,2.34702092506799e-26,469,5595,235,0.0420017873100983,0.501066098081023,"GO:0009451","GO:BP","RNA modification",21625,3484,"GO:0016070,GO:0043412"
"query_1",TRUE,2.2744031491339e-13,323,5595,152,0.0271671134941912,0.470588235294118,"GO:0015979","GO:BP","photosynthesis",21625,5035,"GO:0008152"
"query_1",TRUE,1.33522414011463e-10,245,5595,117,0.020911528150134,0.477551020408163,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,2.40950336954976e-10,133,5595,74,0.0132260947274352,0.556390977443609,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,1.95118916914238e-09,130,5595,71,0.0126899016979446,0.546153846153846,"GO:0019684","GO:BP","photosynthesis, light reaction",21625,5970,"GO:0006091,GO:0015979"
"query_1",TRUE,5.11542868956234e-08,40,5595,30,0.00536193029490617,0.75,"GO:0009765","GO:BP","photosynthesis, light harvesting",21625,3647,"GO:0006091,GO:0019684"
"query_1",TRUE,5.11542868956234e-08,59,5595,39,0.00697050938337802,0.661016949152542,"GO:0033014","GO:BP","tetrapyrrole biosynthetic process",21625,7922,"GO:0009058,GO:0033013"
"query_1",TRUE,5.11542868956234e-08,57,5595,38,0.00679177837354781,0.666666666666667,"GO:0006779","GO:BP","porphyrin-containing compound biosynthetic process",21625,2457,"GO:0006778,GO:0033014"
"query_1",TRUE,9.06799961422176e-08,716,5595,260,0.0464700625558534,0.363128491620112,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,2.82181343075204e-07,21,5595,19,0.00339588918677391,0.904761904761905,"GO:0009768","GO:BP","photosynthesis, light harvesting in photosystem I",21625,3649,"GO:0009765"
"query_1",TRUE,2.93298078341114e-07,86,5595,49,0.00875781948168007,0.569767441860465,"GO:0033013","GO:BP","tetrapyrrole metabolic process",21625,7921,"GO:0008152"
"query_1",TRUE,3.47881769512561e-07,84,5595,48,0.00857908847184987,0.571428571428571,"GO:0006778","GO:BP","porphyrin-containing compound metabolic process",21625,2456,"GO:0033013"
"query_1",TRUE,2.39876838370207e-06,3390,5595,1011,0.180697050938338,0.298230088495575,"GO:0043412","GO:BP","macromolecule modification",21625,10582,"GO:0043170"
"query_1",TRUE,3.93939584989983e-06,39,5595,27,0.00482573726541555,0.692307692307692,"GO:0051259","GO:BP","protein complex oligomerization",21625,13424,"GO:0065003"
"query_1",TRUE,3.93939584989983e-06,39,5595,27,0.00482573726541555,0.692307692307692,"GO:0042542","GO:BP","response to hydrogen peroxide",21625,10141,"GO:0000302"
"query_1",TRUE,5.45940583955135e-06,29,5595,22,0.00393208221626452,0.758620689655172,"GO:0015995","GO:BP","chlorophyll biosynthetic process",21625,5043,"GO:0006779,GO:0015994,GO:0046148"
"query_1",TRUE,1.17913601858884e-05,401,5595,152,0.0271671134941912,0.379052369077307,"GO:0006457","GO:BP","protein folding",21625,2195,"GO:0009987,GO:0051604"
"query_1",TRUE,1.17913601858884e-05,45,5595,29,0.00518319928507596,0.644444444444444,"GO:0015994","GO:BP","chlorophyll metabolic process",21625,5042,"GO:0006778"
"query_1",TRUE,1.78198458568381e-05,93,5595,48,0.00857908847184987,0.516129032258065,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,2.23231810476036e-05,91,5595,47,0.00840035746201966,0.516483516483517,"GO:0000302","GO:BP","response to reactive oxygen species",21625,88,"GO:0006979,GO:1901700"
"query_1",TRUE,4.40643473154469e-05,120,5595,57,0.0101876675603217,0.475,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,8.86467044149756e-05,111,5595,53,0.00947274352100089,0.477477477477477,"GO:0042440","GO:BP","pigment metabolic process",21625,10087,"GO:0008152"
"query_1",TRUE,9.03405348008062e-05,84,5595,43,0.00768543342269884,0.511904761904762,"GO:0046148","GO:BP","pigment biosynthetic process",21625,11756,"GO:0042440"
"query_1",TRUE,0.000133450870826627,170,5595,73,0.013047363717605,0.429411764705882,"GO:0009657","GO:BP","plastid organization",21625,3558,"GO:0006996"
"query_1",TRUE,0.000213366863406281,595,5595,205,0.0366398570151921,0.34453781512605,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
