"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.81581701126797e-08,323,6405,153,0.0238875878220141,0.473684210526316,"GO:0015979","GO:BP","photosynthesis",21625,5035,"GO:0008152"
"query_1",TRUE,1.81581701126797e-08,469,6405,208,0.0324746291959407,0.443496801705757,"GO:0009451","GO:BP","RNA modification",21625,3484,"GO:0016070,GO:0043412"
"query_1",TRUE,4.7281540079447e-07,21,6405,20,0.00312256049960968,0.952380952380952,"GO:0009768","GO:BP","photosynthesis, light harvesting in photosystem I",21625,3649,"GO:0009765"
"query_1",TRUE,7.07315756144968e-07,716,6405,287,0.0448087431693989,0.400837988826816,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,1.08988979242664e-06,1932,6405,688,0.107416081186573,0.356107660455487,"GO:0044281","GO:BP","small molecule metabolic process",21625,10850,"GO:0008152"
"query_1",TRUE,2.33963155542305e-06,40,6405,30,0.00468384074941452,0.75,"GO:0009765","GO:BP","photosynthesis, light harvesting",21625,3647,"GO:0006091,GO:0019684"
"query_1",TRUE,3.26725343640812e-06,130,6405,70,0.0109289617486339,0.538461538461538,"GO:0019684","GO:BP","photosynthesis, light reaction",21625,5970,"GO:0006091,GO:0015979"
"query_1",TRUE,9.94194851519794e-06,133,6405,70,0.0109289617486339,0.526315789473684,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,2.0929955110758e-05,39,6405,28,0.00437158469945355,0.717948717948718,"GO:0051259","GO:BP","protein complex oligomerization",21625,13424,"GO:0065003"
"query_1",TRUE,2.0929955110758e-05,39,6405,28,0.00437158469945355,0.717948717948718,"GO:0042542","GO:BP","response to hydrogen peroxide",21625,10141,"GO:0000302"
"query_1",TRUE,2.0929955110758e-05,245,6405,112,0.0174863387978142,0.457142857142857,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,3.52264038825814e-05,120,6405,63,0.00983606557377049,0.525,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,3.52264038825814e-05,743,6405,285,0.0444964871194379,0.383580080753701,"GO:0044283","GO:BP","small molecule biosynthetic process",21625,10852,"GO:0009058,GO:0044281"
"query_1",TRUE,0.000174369532415942,1077,6405,391,0.0610460577673692,0.363045496750232,"GO:0043436","GO:BP","oxoacid metabolic process",21625,10596,"GO:0006082"
"query_1",TRUE,0.000174369532415942,1078,6405,391,0.0610460577673692,0.362708719851577,"GO:0006082","GO:BP","organic acid metabolic process",21625,1943,"GO:0044281"
"query_1",TRUE,0.000174369532415942,1059,6405,385,0.0601092896174863,0.363550519357885,"GO:0019752","GO:BP","carboxylic acid metabolic process",21625,6004,"GO:0043436"
"query_1",TRUE,0.000174369532415942,1476,6405,520,0.0811865729898517,0.35230352303523,"GO:0005975","GO:BP","carbohydrate metabolic process",21625,1848,"GO:0044238"
"query_1",TRUE,0.000188215865711984,93,6405,50,0.0078064012490242,0.53763440860215,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,0.000370134394222208,23,6405,18,0.00281030444964871,0.782608695652174,"GO:0000018","GO:BP","regulation of DNA recombination",21625,6,"GO:0006310,GO:0051052"
"query_1",TRUE,0.00081157921033285,20,6405,16,0.00249804839968774,0.8,"GO:0045910","GO:BP","negative regulation of DNA recombination",21625,11542,"GO:0000018,GO:0006310,GO:0051053"
"query_1",TRUE,0.00127466894403776,3390,6405,1111,0.173458235753318,0.327728613569322,"GO:0043412","GO:BP","macromolecule modification",21625,10582,"GO:0043170"
"query_1",TRUE,0.00137928568388675,91,6405,47,0.00733801717408275,0.516483516483517,"GO:0000302","GO:BP","response to reactive oxygen species",21625,88,"GO:0006979,GO:1901700"
"query_1",TRUE,0.00139471094587129,401,6405,159,0.024824355971897,0.396508728179551,"GO:0006457","GO:BP","protein folding",21625,2195,"GO:0009987,GO:0051604"
"query_1",TRUE,0.00139471094587129,731,6405,270,0.0421545667447307,0.369357045143639,"GO:0008610","GO:BP","lipid biosynthetic process",21625,3192,"GO:0006629,GO:0009058"
"query_1",TRUE,0.00139471094587129,329,6405,134,0.0209211553473849,0.407294832826748,"GO:0006790","GO:BP","sulfur compound metabolic process",21625,2468,"GO:0008152"
"query_1",TRUE,0.00172955770485151,548,6405,208,0.0324746291959407,0.37956204379562,"GO:0016053","GO:BP","organic acid biosynthetic process",21625,5061,"GO:0006082,GO:0044283"
"query_1",TRUE,0.00172955770485151,155,6405,71,0.0110850897736144,0.458064516129032,"GO:0044272","GO:BP","sulfur compound biosynthetic process",21625,10846,"GO:0006790,GO:0009058"
"query_1",TRUE,0.00172955770485151,844,6405,306,0.0477751756440281,0.362559241706161,"GO:1901135","GO:BP","carbohydrate derivative metabolic process",21625,20969,"GO:0008152"
"query_1",TRUE,0.00172955770485151,23,6405,17,0.00265417642466823,0.739130434782609,"GO:0051053","GO:BP","negative regulation of DNA metabolic process",21625,13290,"GO:0006259,GO:0010605,GO:0045934,GO:0051052"
"query_1",TRUE,0.00172955770485151,548,6405,208,0.0324746291959407,0.37956204379562,"GO:0046394","GO:BP","carboxylic acid biosynthetic process",21625,11956,"GO:0016053,GO:0019752"
"query_1",TRUE,0.00304464119395767,595,6405,222,0.0346604215456674,0.373109243697479,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
