"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0015979","photosynthesis","GO:BP",1.81581701126797e-08,153,6405,323,0.0238875878220141,0.473684210526316
"GO:0009451","RNA modification","GO:BP",1.81581701126797e-08,208,6405,469,0.0324746291959407,0.443496801705757
"GO:0009768","photosynthesis, light harvesting in photosystem I","GO:BP",4.7281540079447e-07,20,6405,21,0.00312256049960968,0.952380952380952
"GO:0009628","response to abiotic stimulus","GO:BP",7.07315756144968e-07,287,6405,716,0.0448087431693989,0.400837988826816
"GO:0044281","small molecule metabolic process","GO:BP",1.08988979242664e-06,688,6405,1932,0.107416081186573,0.356107660455487
"GO:0009765","photosynthesis, light harvesting","GO:BP",2.33963155542305e-06,30,6405,40,0.00468384074941452,0.75
"GO:0019684","photosynthesis, light reaction","GO:BP",3.26725343640812e-06,70,6405,130,0.0109289617486339,0.538461538461538
"GO:0009408","response to heat","GO:BP",9.94194851519794e-06,70,6405,133,0.0109289617486339,0.526315789473684
"GO:0051259","protein complex oligomerization","GO:BP",2.0929955110758e-05,28,6405,39,0.00437158469945355,0.717948717948718
"GO:0042542","response to hydrogen peroxide","GO:BP",2.0929955110758e-05,28,6405,39,0.00437158469945355,0.717948717948718
"GO:0009266","response to temperature stimulus","GO:BP",2.0929955110758e-05,112,6405,245,0.0174863387978142,0.457142857142857
"GO:0006970","response to osmotic stress","GO:BP",3.52264038825814e-05,63,6405,120,0.00983606557377049,0.525
"GO:0044283","small molecule biosynthetic process","GO:BP",3.52264038825814e-05,285,6405,743,0.0444964871194379,0.383580080753701
"GO:0043436","oxoacid metabolic process","GO:BP",0.000174369532415942,391,6405,1077,0.0610460577673692,0.363045496750232
"GO:0006082","organic acid metabolic process","GO:BP",0.000174369532415942,391,6405,1078,0.0610460577673692,0.362708719851577
"GO:0019752","carboxylic acid metabolic process","GO:BP",0.000174369532415942,385,6405,1059,0.0601092896174863,0.363550519357885
"GO:0005975","carbohydrate metabolic process","GO:BP",0.000174369532415942,520,6405,1476,0.0811865729898517,0.35230352303523
"GO:0009651","response to salt stress","GO:BP",0.000188215865711984,50,6405,93,0.0078064012490242,0.53763440860215
"GO:0000018","regulation of DNA recombination","GO:BP",0.000370134394222208,18,6405,23,0.00281030444964871,0.782608695652174
"GO:0045910","negative regulation of DNA recombination","GO:BP",0.00081157921033285,16,6405,20,0.00249804839968774,0.8
"GO:0043412","macromolecule modification","GO:BP",0.00127466894403776,1111,6405,3390,0.173458235753318,0.327728613569322
"GO:0000302","response to reactive oxygen species","GO:BP",0.00137928568388675,47,6405,91,0.00733801717408275,0.516483516483517
"GO:0006457","protein folding","GO:BP",0.00139471094587129,159,6405,401,0.024824355971897,0.396508728179551
"GO:0008610","lipid biosynthetic process","GO:BP",0.00139471094587129,270,6405,731,0.0421545667447307,0.369357045143639
"GO:0006790","sulfur compound metabolic process","GO:BP",0.00139471094587129,134,6405,329,0.0209211553473849,0.407294832826748
"GO:0016053","organic acid biosynthetic process","GO:BP",0.00172955770485151,208,6405,548,0.0324746291959407,0.37956204379562
"GO:0044272","sulfur compound biosynthetic process","GO:BP",0.00172955770485151,71,6405,155,0.0110850897736144,0.458064516129032
"GO:1901135","carbohydrate derivative metabolic process","GO:BP",0.00172955770485151,306,6405,844,0.0477751756440281,0.362559241706161
"GO:0051053","negative regulation of DNA metabolic process","GO:BP",0.00172955770485151,17,6405,23,0.00265417642466823,0.739130434782609
"GO:0046394","carboxylic acid biosynthetic process","GO:BP",0.00172955770485151,208,6405,548,0.0324746291959407,0.37956204379562
