"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,2.8369115138694e-08,38,1474,34,0.0230664857530529,0.894736842105263,"KEGG:00195","KEGG","Photosynthesis",3709,19,"KEGG:00000"
"query_1",TRUE,4.88084532814313e-08,1675,1474,756,0.512890094979647,0.45134328358209,"KEGG:01100","KEGG","Metabolic pathways",3709,181,"KEGG:00000"
"query_1",TRUE,3.37031438615258e-07,952,1474,453,0.307327001356852,0.475840336134454,"KEGG:01110","KEGG","Biosynthesis of secondary metabolites",3709,182,"KEGG:00000"
"query_1",TRUE,1.28054511929206e-05,16,1474,16,0.0108548168249661,1,"KEGG:00196","KEGG","Photosynthesis - antenna proteins",3709,20,"KEGG:00000"
"query_1",TRUE,8.22297000918336e-05,41,1474,31,0.0210312075983718,0.75609756097561,"KEGG:00860","KEGG","Porphyrin metabolism",3709,128,"KEGG:00000"
"query_1",TRUE,0.0020510805453695,105,1474,61,0.0413839891451832,0.580952380952381,"KEGG:00500","KEGG","Starch and sucrose metabolism",3709,62,"KEGG:00000"
"query_1",TRUE,0.00513236973131263,53,1474,34,0.0230664857530529,0.641509433962264,"KEGG:00630","KEGG","Glyoxylate and dicarboxylate metabolism",3709,107,"KEGG:00000"
"query_1",TRUE,0.00615364347587981,42,1474,28,0.0189959294436906,0.666666666666667,"KEGG:00260","KEGG","Glycine, serine and threonine metabolism",3709,28,"KEGG:00000"
"query_1",TRUE,0.0104452677066727,205,1474,104,0.0705563093622795,0.507317073170732,"KEGG:01200","KEGG","Carbon metabolism",3709,184,"KEGG:00000"
"query_1",TRUE,0.0251191358404497,49,1474,30,0.0203527815468114,0.612244897959184,"KEGG:00710","KEGG","Carbon fixation in photosynthetic organisms",3709,116,"KEGG:00000"
