"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.54511192378173e-10,1675,1250,664,0.5312,0.396417910447761,"KEGG:01100","KEGG","Metabolic pathways",3709,181,"KEGG:00000"
"query_1",TRUE,1.11292214816324e-08,38,1250,32,0.0256,0.842105263157895,"KEGG:00195","KEGG","Photosynthesis",3709,19,"KEGG:00000"
"query_1",TRUE,1.21244666869834e-06,16,1250,16,0.0128,1,"KEGG:00196","KEGG","Photosynthesis - antenna proteins",3709,20,"KEGG:00000"
"query_1",TRUE,3.97614678092162e-06,952,1250,387,0.3096,0.406512605042017,"KEGG:01110","KEGG","Biosynthesis of secondary metabolites",3709,182,"KEGG:00000"
"query_1",TRUE,0.000550192505959397,41,1250,27,0.0216,0.658536585365854,"KEGG:00860","KEGG","Porphyrin metabolism",3709,128,"KEGG:00000"
"query_1",TRUE,0.000550192505959397,205,1250,97,0.0776,0.473170731707317,"KEGG:01200","KEGG","Carbon metabolism",3709,184,"KEGG:00000"
"query_1",TRUE,0.00314815680221213,42,1250,26,0.0208,0.619047619047619,"KEGG:00260","KEGG","Glycine, serine and threonine metabolism",3709,28,"KEGG:00000"
"query_1",TRUE,0.0127358477114693,182,1250,82,0.0656,0.450549450549451,"KEGG:01230","KEGG","Biosynthesis of amino acids",3709,188,"KEGG:00000"
"query_1",TRUE,0.0141028420125946,41,1250,24,0.0192,0.585365853658537,"KEGG:00030","KEGG","Pentose phosphate pathway",3709,4,"KEGG:00000"
"query_1",TRUE,0.0219877334617878,49,1250,27,0.0216,0.551020408163265,"KEGG:00710","KEGG","Carbon fixation in photosynthetic organisms",3709,116,"KEGG:00000"
"query_1",TRUE,0.0232754232727455,90,1250,44,0.0352,0.488888888888889,"KEGG:00564","KEGG","Glycerophospholipid metabolism",3709,88,"KEGG:00000"
"query_1",TRUE,0.0278594260688365,69,1250,35,0.028,0.507246376811594,"KEGG:01210","KEGG","2-Oxocarboxylic acid metabolism",3709,185,"KEGG:00000"
