"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"KEGG:01100","Metabolic pathways","KEGG",1.40536130524074e-11,744,1407,1675,0.528784648187633,0.444179104477612
"KEGG:00195","Photosynthesis","KEGG",3.20476117925499e-09,34,1407,38,0.0241648898365316,0.894736842105263
"KEGG:01110","Biosynthesis of secondary metabolites","KEGG",3.79741682784794e-07,435,1407,952,0.309168443496802,0.456932773109244
"KEGG:00196","Photosynthesis - antenna proteins","KEGG",6.05961298019365e-06,16,1407,16,0.0113717128642502,1
"KEGG:00260","Glycine, serine and threonine metabolism","KEGG",6.17194806833847e-05,31,1407,42,0.0220326936744847,0.738095238095238
"KEGG:01200","Carbon metabolism","KEGG",0.00109429450953565,105,1407,205,0.0746268656716418,0.51219512195122
"KEGG:01230","Biosynthesis of amino acids","KEGG",0.00287145049896293,93,1407,182,0.0660980810234542,0.510989010989011
"KEGG:00500","Starch and sucrose metabolism","KEGG",0.00706740461720062,57,1407,105,0.0405117270788913,0.542857142857143
"KEGG:00710","Carbon fixation in photosynthetic organisms","KEGG",0.0299053864815976,29,1407,49,0.0206112295664534,0.591836734693878
"KEGG:00030","Pentose phosphate pathway","KEGG",0.0307479750992172,25,1407,41,0.0177683013503909,0.609756097560976
"KEGG:00564","Glycerophospholipid metabolism","KEGG",0.0463802063740048,47,1407,90,0.0334044065387349,0.522222222222222
