"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,7.39289003420916e-16,323,2828,104,0.0367751060820368,0.321981424148607,"GO:0015979","GO:BP","photosynthesis",21625,5035,"GO:0008152"
"query_1",TRUE,1.45349783079096e-08,1932,2828,352,0.124469589816124,0.182194616977226,"GO:0044281","GO:BP","small molecule metabolic process",21625,10850,"GO:0008152"
"query_1",TRUE,1.47652825032697e-08,4589,2828,738,0.260961810466761,0.16081935062105,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,1.50335190396895e-08,716,2828,157,0.0555162659123055,0.21927374301676,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,2.86068842010458e-08,1077,2828,215,0.076025459688826,0.199628597957289,"GO:0043436","GO:BP","oxoacid metabolic process",21625,10596,"GO:0006082"
"query_1",TRUE,2.86068842010458e-08,1078,2828,215,0.076025459688826,0.199443413729128,"GO:0006082","GO:BP","organic acid metabolic process",21625,1943,"GO:0044281"
"query_1",TRUE,1.04341331953855e-07,130,2828,45,0.0159123055162659,0.346153846153846,"GO:0019684","GO:BP","photosynthesis, light reaction",21625,5970,"GO:0006091,GO:0015979"
"query_1",TRUE,1.05253320928378e-07,1059,2828,209,0.0739038189533239,0.197355996222852,"GO:0019752","GO:BP","carboxylic acid metabolic process",21625,6004,"GO:0043436"
"query_1",TRUE,1.70442689690371e-07,1775,2828,319,0.112800565770863,0.179718309859155,"GO:0055085","GO:BP","transmembrane transport",21625,14029,"GO:0006810,GO:0009987"
"query_1",TRUE,3.79819373834815e-07,39,2828,21,0.00742574257425743,0.538461538461538,"GO:0042542","GO:BP","response to hydrogen peroxide",21625,10141,"GO:0000302"
"query_1",TRUE,3.79819373834815e-07,1652,2828,298,0.105374823196605,0.180387409200969,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,6.61932513254174e-07,595,2828,129,0.0456152758132956,0.216806722689076,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,8.76174134247045e-07,25,2828,16,0.00565770862800566,0.64,"GO:0031408","GO:BP","oxylipin biosynthetic process",21625,7120,"GO:0031407,GO:0046394"
"query_1",TRUE,8.76174134247045e-07,25,2828,16,0.00565770862800566,0.64,"GO:0031407","GO:BP","oxylipin metabolic process",21625,7119,"GO:0019752"
"query_1",TRUE,9.32664675419195e-07,146,2828,46,0.0162659123055163,0.315068493150685,"GO:0006721","GO:BP","terpenoid metabolic process",21625,2419,"GO:0006720"
"query_1",TRUE,9.32664675419195e-07,230,2828,63,0.0222772277227723,0.273913043478261,"GO:0006720","GO:BP","isoprenoid metabolic process",21625,2418,"GO:0006629"
"query_1",TRUE,2.13123908026031e-06,743,2828,151,0.0533946251768034,0.203230148048452,"GO:0044283","GO:BP","small molecule biosynthetic process",21625,10852,"GO:0009058,GO:0044281"
"query_1",TRUE,2.13123908026031e-06,731,2828,149,0.0526874115983027,0.203830369357045,"GO:0008610","GO:BP","lipid biosynthetic process",21625,3192,"GO:0006629,GO:0009058"
"query_1",TRUE,2.66397856915849e-06,3359,2828,541,0.191301272984441,0.161059839237868,"GO:0006793","GO:BP","phosphorus metabolic process",21625,2471,"GO:0008152"
"query_1",TRUE,3.27479082661645e-06,3358,2828,540,0.190947666195191,0.160810005955926,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",21625,2474,"GO:0006793"
"query_1",TRUE,6.48602825271611e-06,122,2828,39,0.0137906647807638,0.319672131147541,"GO:0016114","GO:BP","terpenoid biosynthetic process",21625,5107,"GO:0006721,GO:0008299"
"query_1",TRUE,1.19041237210698e-05,660,2828,134,0.0473833097595474,0.203030303030303,"GO:0006091","GO:BP","generation of precursor metabolites and energy",21625,1950,"GO:0008152"
"query_1",TRUE,1.65511471312968e-05,1263,2828,228,0.0806223479490806,0.180522565320665,"GO:0006629","GO:BP","lipid metabolic process",21625,2334,"GO:0044238"
"query_1",TRUE,2.55885983126063e-05,21,2828,13,0.0045968882602546,0.619047619047619,"GO:0010109","GO:BP","regulation of photosynthesis",21625,3901,"GO:0015979,GO:0019222"
"query_1",TRUE,2.55885983126063e-05,91,2828,31,0.010961810466761,0.340659340659341,"GO:0000302","GO:BP","response to reactive oxygen species",21625,88,"GO:0006979,GO:1901700"
"query_1",TRUE,2.81758457382413e-05,195,2828,52,0.0183875530410184,0.266666666666667,"GO:0008299","GO:BP","isoprenoid biosynthetic process",21625,3145,"GO:0006720,GO:0008610"
"query_1",TRUE,2.81758457382413e-05,401,2828,89,0.0314710042432815,0.221945137157107,"GO:0006457","GO:BP","protein folding",21625,2195,"GO:0009987,GO:0051604"
"query_1",TRUE,3.95566836066265e-05,93,2828,31,0.010961810466761,0.333333333333333,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,4.51843269840642e-05,39,2828,18,0.00636492220650637,0.461538461538462,"GO:0051259","GO:BP","protein complex oligomerization",21625,13424,"GO:0065003"
"query_1",TRUE,5.27918875047123e-05,51,2828,21,0.00742574257425743,0.411764705882353,"GO:0009267","GO:BP","cellular response to starvation",21625,3418,"GO:0031669,GO:0033554,GO:0042594"
"query_1",TRUE,7.18508897415138e-05,245,2828,60,0.0212164073550212,0.244897959183673,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,7.18508897415138e-05,56,2828,22,0.00777934936350778,0.392857142857143,"GO:0031669","GO:BP","cellular response to nutrient levels",21625,7232,"GO:0031667,GO:0051716"
"query_1",TRUE,0.000145509199741244,133,2828,38,0.0134370579915134,0.285714285714286,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,0.000161063446941454,31,2828,15,0.0053041018387553,0.483870967741935,"GO:0016108","GO:BP","tetraterpenoid metabolic process",21625,5101,"GO:0006721"
"query_1",TRUE,0.000161063446941454,31,2828,15,0.0053041018387553,0.483870967741935,"GO:0016116","GO:BP","carotenoid metabolic process",21625,5109,"GO:0016108"
