"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0015979","photosynthesis","GO:BP",7.39289003420916e-16,104,2828,323,0.0367751060820368,0.321981424148607
"GO:0044281","small molecule metabolic process","GO:BP",1.45349783079096e-08,352,2828,1932,0.124469589816124,0.182194616977226
"GO:0050896","response to stimulus","GO:BP",1.47652825032697e-08,738,2828,4589,0.260961810466761,0.16081935062105
"GO:0009628","response to abiotic stimulus","GO:BP",1.50335190396895e-08,157,2828,716,0.0555162659123055,0.21927374301676
"GO:0043436","oxoacid metabolic process","GO:BP",2.86068842010458e-08,215,2828,1077,0.076025459688826,0.199628597957289
"GO:0006082","organic acid metabolic process","GO:BP",2.86068842010458e-08,215,2828,1078,0.076025459688826,0.199443413729128
"GO:0019684","photosynthesis, light reaction","GO:BP",1.04341331953855e-07,45,2828,130,0.0159123055162659,0.346153846153846
"GO:0019752","carboxylic acid metabolic process","GO:BP",1.05253320928378e-07,209,2828,1059,0.0739038189533239,0.197355996222852
"GO:0055085","transmembrane transport","GO:BP",1.70442689690371e-07,319,2828,1775,0.112800565770863,0.179718309859155
"GO:0042542","response to hydrogen peroxide","GO:BP",3.79819373834815e-07,21,2828,39,0.00742574257425743,0.538461538461538
"GO:0042221","response to chemical","GO:BP",3.79819373834815e-07,298,2828,1652,0.105374823196605,0.180387409200969
"GO:1901700","response to oxygen-containing compound","GO:BP",6.61932513254174e-07,129,2828,595,0.0456152758132956,0.216806722689076
"GO:0031408","oxylipin biosynthetic process","GO:BP",8.76174134247045e-07,16,2828,25,0.00565770862800566,0.64
"GO:0031407","oxylipin metabolic process","GO:BP",8.76174134247045e-07,16,2828,25,0.00565770862800566,0.64
"GO:0006721","terpenoid metabolic process","GO:BP",9.32664675419195e-07,46,2828,146,0.0162659123055163,0.315068493150685
"GO:0006720","isoprenoid metabolic process","GO:BP",9.32664675419195e-07,63,2828,230,0.0222772277227723,0.273913043478261
"GO:0044283","small molecule biosynthetic process","GO:BP",2.13123908026031e-06,151,2828,743,0.0533946251768034,0.203230148048452
"GO:0008610","lipid biosynthetic process","GO:BP",2.13123908026031e-06,149,2828,731,0.0526874115983027,0.203830369357045
"GO:0006793","phosphorus metabolic process","GO:BP",2.66397856915849e-06,541,2828,3359,0.191301272984441,0.161059839237868
"GO:0006796","phosphate-containing compound metabolic process","GO:BP",3.27479082661645e-06,540,2828,3358,0.190947666195191,0.160810005955926
"GO:0016114","terpenoid biosynthetic process","GO:BP",6.48602825271611e-06,39,2828,122,0.0137906647807638,0.319672131147541
"GO:0006091","generation of precursor metabolites and energy","GO:BP",1.19041237210698e-05,134,2828,660,0.0473833097595474,0.203030303030303
"GO:0006629","lipid metabolic process","GO:BP",1.65511471312968e-05,228,2828,1263,0.0806223479490806,0.180522565320665
"GO:0010109","regulation of photosynthesis","GO:BP",2.55885983126063e-05,13,2828,21,0.0045968882602546,0.619047619047619
"GO:0000302","response to reactive oxygen species","GO:BP",2.55885983126063e-05,31,2828,91,0.010961810466761,0.340659340659341
"GO:0008299","isoprenoid biosynthetic process","GO:BP",2.81758457382413e-05,52,2828,195,0.0183875530410184,0.266666666666667
"GO:0006457","protein folding","GO:BP",2.81758457382413e-05,89,2828,401,0.0314710042432815,0.221945137157107
"GO:0009651","response to salt stress","GO:BP",3.95566836066265e-05,31,2828,93,0.010961810466761,0.333333333333333
"GO:0051259","protein complex oligomerization","GO:BP",4.51843269840642e-05,18,2828,39,0.00636492220650637,0.461538461538462
"GO:0009267","cellular response to starvation","GO:BP",5.27918875047123e-05,21,2828,51,0.00742574257425743,0.411764705882353
"GO:0009266","response to temperature stimulus","GO:BP",7.18508897415138e-05,60,2828,245,0.0212164073550212,0.244897959183673
"GO:0031669","cellular response to nutrient levels","GO:BP",7.18508897415138e-05,22,2828,56,0.00777934936350778,0.392857142857143
"GO:0009408","response to heat","GO:BP",0.000145509199741244,38,2828,133,0.0134370579915134,0.285714285714286
"GO:0016108","tetraterpenoid metabolic process","GO:BP",0.000161063446941454,15,2828,31,0.0053041018387553,0.483870967741935
"GO:0016116","carotenoid metabolic process","GO:BP",0.000161063446941454,15,2828,31,0.0053041018387553,0.483870967741935
"GO:0007165","signal transduction","GO:BP",0.000184101302341491,257,2828,1505,0.0908769448373409,0.170764119601329
"GO:0006970","response to osmotic stress","GO:BP",0.000195414888949109,35,2828,120,0.0123762376237624,0.291666666666667
"GO:0046394","carboxylic acid biosynthetic process","GO:BP",0.000281397167725796,109,2828,548,0.0385431400282885,0.198905109489051
"GO:0016053","organic acid biosynthetic process","GO:BP",0.000281397167725796,109,2828,548,0.0385431400282885,0.198905109489051
"GO:0000096","sulfur amino acid metabolic process","GO:BP",0.000297078916944055,22,2828,61,0.00777934936350778,0.360655737704918
"GO:0031667","response to nutrient levels","GO:BP",0.000297078916944055,26,2828,79,0.00919377652050919,0.329113924050633
"GO:0023052","signaling","GO:BP",0.00030824421310016,257,2828,1518,0.0908769448373409,0.169301712779974
"GO:0042594","response to starvation","GO:BP",0.000312701062827877,21,2828,57,0.00742574257425743,0.368421052631579
"GO:0009657","plastid organization","GO:BP",0.000319601578002568,44,2828,170,0.0155586987270156,0.258823529411765
"GO:0007154","cell communication","GO:BP",0.000373902447474432,258,2828,1530,0.0912305516265912,0.168627450980392
"GO:0009416","response to light stimulus","GO:BP",0.000454845620167527,65,2828,290,0.022984441301273,0.224137931034483
"GO:1901605","alpha-amino acid metabolic process","GO:BP",0.000875379741425215,79,2828,379,0.0279349363507779,0.20844327176781
"GO:0015849","organic acid transport","GO:BP",0.00100566047461378,27,2828,90,0.00954738330975955,0.3
"GO:0170033","L-amino acid metabolic process","GO:BP",0.00100566047461378,72,2828,340,0.0254596888260255,0.211764705882353
"GO:1905039","carboxylic acid transmembrane transport","GO:BP",0.00100566047461378,20,2828,57,0.00707213578500707,0.350877192982456
"GO:1903825","organic acid transmembrane transport","GO:BP",0.00100566047461378,20,2828,57,0.00707213578500707,0.350877192982456
