"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,4.14222004409682e-10,1078,2195,185,0.0842824601366743,0.171614100185529,"GO:0006082","GO:BP","organic acid metabolic process",21625,1943,"GO:0044281"
"query_1",TRUE,4.14222004409682e-10,1059,2195,183,0.083371298405467,0.172804532577904,"GO:0019752","GO:BP","carboxylic acid metabolic process",21625,6004,"GO:0043436"
"query_1",TRUE,4.87247386415647e-10,1077,2195,184,0.0838268792710706,0.170844939647168,"GO:0043436","GO:BP","oxoacid metabolic process",21625,10596,"GO:0006082"
"query_1",TRUE,1.34343705414274e-06,519,2195,97,0.0441913439635535,0.186897880539499,"GO:0032787","GO:BP","monocarboxylic acid metabolic process",21625,7765,"GO:0019752"
"query_1",TRUE,3.40359129595488e-05,52,2195,20,0.00911161731207289,0.384615384615385,"GO:0009081","GO:BP","branched-chain amino acid metabolic process",21625,3240,"GO:0006520,GO:0019752"
"query_1",TRUE,3.49444839515298e-05,258,2195,55,0.0250569476082005,0.213178294573643,"GO:0006631","GO:BP","fatty acid metabolic process",21625,2335,"GO:0006629,GO:0032787"
"query_1",TRUE,5.99987782430672e-05,1932,2195,264,0.120273348519362,0.136645962732919,"GO:0044281","GO:BP","small molecule metabolic process",21625,10850,"GO:0008152"
"query_1",TRUE,5.99999126953979e-05,340,2195,66,0.0300683371298405,0.194117647058824,"GO:0170033","GO:BP","L-amino acid metabolic process",21625,20020,"GO:1901605"
"query_1",TRUE,6.72261393234525e-05,548,2195,94,0.0428246013667426,0.171532846715328,"GO:0046394","GO:BP","carboxylic acid biosynthetic process",21625,11956,"GO:0016053,GO:0019752"
"query_1",TRUE,6.72261393234525e-05,548,2195,94,0.0428246013667426,0.171532846715328,"GO:0016053","GO:BP","organic acid biosynthetic process",21625,5061,"GO:0006082,GO:0044283"
"query_1",TRUE,0.000212312482228691,55,2195,19,0.00865603644646925,0.345454545454545,"GO:0035383","GO:BP","thioester metabolic process",21625,8946,"GO:0006790"
"query_1",TRUE,0.000212312482228691,55,2195,19,0.00865603644646925,0.345454545454545,"GO:0006637","GO:BP","acyl-CoA metabolic process",21625,2340,"GO:0006753,GO:0035383,GO:0043603,GO:0072521"
"query_1",TRUE,0.000234131142779826,379,2195,69,0.0314350797266515,0.182058047493404,"GO:1901605","GO:BP","alpha-amino acid metabolic process",21625,21311,"GO:0006520,GO:0019752"
"query_1",TRUE,0.000266139982193194,352,2195,65,0.0296127562642369,0.184659090909091,"GO:0170039","GO:BP","proteinogenic amino acid metabolic process",21625,20026,"GO:0006520,GO:0019752"
"query_1",TRUE,0.000389370143122765,18,2195,10,0.00455580865603645,0.555555555555556,"GO:0006549","GO:BP","isoleucine metabolic process",21625,2261,"GO:0009081,GO:1901605"
"query_1",TRUE,0.000389370143122765,18,2195,10,0.00455580865603645,0.555555555555556,"GO:0009097","GO:BP","isoleucine biosynthetic process",21625,3255,"GO:0006549,GO:0009082,GO:1901607"
"query_1",TRUE,0.000598193700272342,105,2195,27,0.0123006833712984,0.257142857142857,"GO:0030243","GO:BP","cellulose metabolic process",21625,6703,"GO:0051273"
"query_1",TRUE,0.000598193700272342,194,2195,41,0.0186788154897494,0.211340206185567,"GO:0170034","GO:BP","L-amino acid biosynthetic process",21625,20021,"GO:0170033,GO:1901607"
"query_1",TRUE,0.000598193700272342,40,2195,15,0.00683371298405467,0.375,"GO:0006084","GO:BP","acetyl-CoA metabolic process",21625,1945,"GO:0006637"
"query_1",TRUE,0.000755432148055338,163,2195,36,0.0164009111617312,0.220858895705521,"GO:0006633","GO:BP","fatty acid biosynthetic process",21625,2336,"GO:0006631,GO:0008610,GO:0072330"
"query_1",TRUE,0.00125731444021022,5,2195,5,0.00227790432801822,1,"GO:0055129","GO:BP","L-proline biosynthetic process",21625,14057,"GO:0006561"
"query_1",TRUE,0.00125731444021022,581,2195,92,0.0419134396355353,0.158347676419966,"GO:0005976","GO:BP","polysaccharide metabolic process",21625,1849,"GO:0005975,GO:0043170"
"query_1",TRUE,0.00125731444021022,1476,2195,200,0.0911161731207289,0.13550135501355,"GO:0005975","GO:BP","carbohydrate metabolic process",21625,1848,"GO:0044238"
"query_1",TRUE,0.00129594661074401,29,2195,12,0.00546697038724374,0.413793103448276,"GO:0015995","GO:BP","chlorophyll biosynthetic process",21625,5043,"GO:0006779,GO:0015994,GO:0046148"
"query_1",TRUE,0.0015055405031362,34,2195,13,0.00592255125284738,0.382352941176471,"GO:0009082","GO:BP","branched-chain amino acid biosynthetic process",21625,3241,"GO:0009081,GO:0046394"
"query_1",TRUE,0.00221554148536287,40,2195,14,0.00637813211845102,0.35,"GO:0009078","GO:BP","pyruvate family amino acid metabolic process",21625,3237,"GO:0170033,GO:0170039"
"query_1",TRUE,0.00237339244911534,649,2195,99,0.0451025056947608,0.152542372881356,"GO:0022613","GO:BP","ribonucleoprotein complex biogenesis",21625,6587,"GO:0044085"
"query_1",TRUE,0.00241447213527731,11,2195,7,0.00318906605922551,0.636363636363636,"GO:0009099","GO:BP","L-valine biosynthetic process",21625,3257,"GO:0006573,GO:0009079,GO:0009082"
"query_1",TRUE,0.00286287034705643,743,2195,110,0.0501138952164009,0.148048452220727,"GO:0044283","GO:BP","small molecule biosynthetic process",21625,10852,"GO:0009058,GO:0044281"
"query_1",TRUE,0.00286287034705643,27,2195,11,0.00501138952164009,0.407407407407407,"GO:1901071","GO:BP","glucosamine-containing compound metabolic process",21625,20911,"GO:0006040"
"query_1",TRUE,0.00286287034705643,1298,2195,176,0.0801822323462415,0.135593220338983,"GO:0033036","GO:BP","macromolecule localization",21625,7939,"GO:0051179"
"query_1",TRUE,0.00303877349671349,184,2195,37,0.0168564920273349,0.201086956521739,"GO:0046395","GO:BP","carboxylic acid catabolic process",21625,11957,"GO:0016054,GO:0019752"
"query_1",TRUE,0.00303877349671349,184,2195,37,0.0168564920273349,0.201086956521739,"GO:0016054","GO:BP","organic acid catabolic process",21625,5062,"GO:0006082,GO:0044282"
"query_1",TRUE,0.00303877349671349,111,2195,26,0.0118451025056948,0.234234234234234,"GO:0009064","GO:BP","glutamine family amino acid metabolic process",21625,3226,"GO:0170033,GO:0170039"
"query_1",TRUE,0.0033631404653718,213,2195,41,0.0186788154897494,0.192488262910798,"GO:0170038","GO:BP","proteinogenic amino acid biosynthetic process",21625,20025,"GO:0046394,GO:0170039"
"query_1",TRUE,0.00460411439032775,154,2195,32,0.0145785876993166,0.207792207792208,"GO:0051169","GO:BP","nuclear transport",21625,13372,"GO:0046907"
"query_1",TRUE,0.00460411439032775,20,2195,9,0.0041002277904328,0.45,"GO:0009079","GO:BP","pyruvate family amino acid biosynthetic process",21625,3238,"GO:0009078,GO:0170034,GO:0170038"
"query_1",TRUE,0.00460411439032775,154,2195,32,0.0145785876993166,0.207792207792208,"GO:0006913","GO:BP","nucleocytoplasmic transport",21625,2551,"GO:0051169"
"query_1",TRUE,0.00460411439032775,20,2195,9,0.0041002277904328,0.45,"GO:0006573","GO:BP","valine metabolic process",21625,2284,"GO:0009081,GO:1901605"
"query_1",TRUE,0.00476086378751625,66,2195,18,0.0082004555808656,0.272727272727273,"GO:0006606","GO:BP","protein import into nucleus",21625,2315,"GO:0006886,GO:0034504,GO:0051170,GO:0072594"
"query_1",TRUE,0.00662525876201167,731,2195,106,0.0482915717539863,0.14500683994528,"GO:0008610","GO:BP","lipid biosynthetic process",21625,3192,"GO:0006629,GO:0009058"
"query_1",TRUE,0.00662525876201167,221,2195,41,0.0186788154897494,0.18552036199095,"GO:0072330","GO:BP","monocarboxylic acid biosynthetic process",21625,17119,"GO:0032787,GO:0046394"
"query_1",TRUE,0.0067613882228385,68,2195,18,0.0082004555808656,0.264705882352941,"GO:0051170","GO:BP","import into nucleus",21625,13373,"GO:0006913"
"query_1",TRUE,0.00691191630228658,138,2195,29,0.0132118451025057,0.210144927536232,"GO:0051273","GO:BP","beta-glucan metabolic process",21625,13428,"GO:0044042"
"query_1",TRUE,0.00793686605347181,261,2195,46,0.0209567198177677,0.176245210727969,"GO:0044282","GO:BP","small molecule catabolic process",21625,10851,"GO:0009056,GO:0044281"
"query_1",TRUE,0.00793686605347181,52,2195,15,0.00683371298405467,0.288461538461538,"GO:0072329","GO:BP","monocarboxylic acid catabolic process",21625,17118,"GO:0032787,GO:0046395"
"query_1",TRUE,0.00793686605347181,31,2195,11,0.00501138952164009,0.354838709677419,"GO:0035384","GO:BP","thioester biosynthetic process",21625,8947,"GO:0035383,GO:0044272"
"query_1",TRUE,0.00793686605347181,31,2195,11,0.00501138952164009,0.354838709677419,"GO:0071616","GO:BP","acyl-CoA biosynthetic process",21625,16569,"GO:0006637,GO:0035384,GO:0043604,GO:0072522,GO:1901293"
"query_1",TRUE,0.00793686605347181,75,2195,19,0.00865603644646925,0.253333333333333,"GO:0030244","GO:BP","cellulose biosynthetic process",21625,6704,"GO:0030243,GO:0051274"
"query_1",TRUE,0.008473580007187,82,2195,20,0.00911161731207289,0.24390243902439,"GO:0051168","GO:BP","nuclear export",21625,13371,"GO:0006913"
"query_1",TRUE,0.00861066537535291,315,2195,53,0.0241457858769932,0.168253968253968,"GO:0044042","GO:BP","glucan metabolic process",21625,10794,"GO:0005976"
"query_1",TRUE,0.00935958497789628,234,2195,42,0.0191343963553531,0.17948717948718,"GO:1901607","GO:BP","alpha-amino acid biosynthetic process",21625,21313,"GO:0008652,GO:0046394,GO:1901605"
"query_1",TRUE,0.00935958497789628,18,2195,8,0.00364464692482916,0.444444444444444,"GO:0080188","GO:BP","gene silencing by siRNA-directed DNA methylation",21625,17624,"GO:0006346,GO:0141194"
"query_1",TRUE,0.00935958497789628,18,2195,8,0.00364464692482916,0.444444444444444,"GO:0141194","GO:BP","siRNA-mediated heterochromatin formation",21625,19819,"GO:0031048"
"query_1",TRUE,0.00935958497789628,7,2195,5,0.00227790432801822,0.714285714285714,"GO:0006561","GO:BP","proline biosynthetic process",21625,2272,"GO:0006560,GO:0009084"
"query_1",TRUE,0.00957037995475498,466,2195,72,0.0328018223234624,0.15450643776824,"GO:0022402","GO:BP","cell cycle process",21625,6561,"GO:0007049,GO:0009987"
