"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0006082","organic acid metabolic process","GO:BP",4.14222004409682e-10,185,2195,1078,0.0842824601366743,0.171614100185529
"GO:0019752","carboxylic acid metabolic process","GO:BP",4.14222004409682e-10,183,2195,1059,0.083371298405467,0.172804532577904
"GO:0043436","oxoacid metabolic process","GO:BP",4.87247386415647e-10,184,2195,1077,0.0838268792710706,0.170844939647168
"GO:0032787","monocarboxylic acid metabolic process","GO:BP",1.34343705414274e-06,97,2195,519,0.0441913439635535,0.186897880539499
"GO:0009081","branched-chain amino acid metabolic process","GO:BP",3.40359129595488e-05,20,2195,52,0.00911161731207289,0.384615384615385
"GO:0006631","fatty acid metabolic process","GO:BP",3.49444839515298e-05,55,2195,258,0.0250569476082005,0.213178294573643
"GO:0044281","small molecule metabolic process","GO:BP",5.99987782430672e-05,264,2195,1932,0.120273348519362,0.136645962732919
"GO:0170033","L-amino acid metabolic process","GO:BP",5.99999126953979e-05,66,2195,340,0.0300683371298405,0.194117647058824
"GO:0046394","carboxylic acid biosynthetic process","GO:BP",6.72261393234525e-05,94,2195,548,0.0428246013667426,0.171532846715328
"GO:0016053","organic acid biosynthetic process","GO:BP",6.72261393234525e-05,94,2195,548,0.0428246013667426,0.171532846715328
"GO:0035383","thioester metabolic process","GO:BP",0.000212312482228691,19,2195,55,0.00865603644646925,0.345454545454545
"GO:0006637","acyl-CoA metabolic process","GO:BP",0.000212312482228691,19,2195,55,0.00865603644646925,0.345454545454545
"GO:1901605","alpha-amino acid metabolic process","GO:BP",0.000234131142779826,69,2195,379,0.0314350797266515,0.182058047493404
"GO:0170039","proteinogenic amino acid metabolic process","GO:BP",0.000266139982193194,65,2195,352,0.0296127562642369,0.184659090909091
"GO:0006549","isoleucine metabolic process","GO:BP",0.000389370143122765,10,2195,18,0.00455580865603645,0.555555555555556
"GO:0009097","isoleucine biosynthetic process","GO:BP",0.000389370143122765,10,2195,18,0.00455580865603645,0.555555555555556
"GO:0030243","cellulose metabolic process","GO:BP",0.000598193700272342,27,2195,105,0.0123006833712984,0.257142857142857
"GO:0170034","L-amino acid biosynthetic process","GO:BP",0.000598193700272342,41,2195,194,0.0186788154897494,0.211340206185567
"GO:0006084","acetyl-CoA metabolic process","GO:BP",0.000598193700272342,15,2195,40,0.00683371298405467,0.375
"GO:0006633","fatty acid biosynthetic process","GO:BP",0.000755432148055338,36,2195,163,0.0164009111617312,0.220858895705521
"GO:0055129","L-proline biosynthetic process","GO:BP",0.00125731444021022,5,2195,5,0.00227790432801822,1
"GO:0005976","polysaccharide metabolic process","GO:BP",0.00125731444021022,92,2195,581,0.0419134396355353,0.158347676419966
"GO:0005975","carbohydrate metabolic process","GO:BP",0.00125731444021022,200,2195,1476,0.0911161731207289,0.13550135501355
"GO:0015995","chlorophyll biosynthetic process","GO:BP",0.00129594661074401,12,2195,29,0.00546697038724374,0.413793103448276
"GO:0009082","branched-chain amino acid biosynthetic process","GO:BP",0.0015055405031362,13,2195,34,0.00592255125284738,0.382352941176471
"GO:0009078","pyruvate family amino acid metabolic process","GO:BP",0.00221554148536287,14,2195,40,0.00637813211845102,0.35
"GO:0022613","ribonucleoprotein complex biogenesis","GO:BP",0.00237339244911534,99,2195,649,0.0451025056947608,0.152542372881356
"GO:0009099","L-valine biosynthetic process","GO:BP",0.00241447213527731,7,2195,11,0.00318906605922551,0.636363636363636
"GO:0044283","small molecule biosynthetic process","GO:BP",0.00286287034705643,110,2195,743,0.0501138952164009,0.148048452220727
"GO:1901071","glucosamine-containing compound metabolic process","GO:BP",0.00286287034705643,11,2195,27,0.00501138952164009,0.407407407407407
"GO:0033036","macromolecule localization","GO:BP",0.00286287034705643,176,2195,1298,0.0801822323462415,0.135593220338983
"GO:0046395","carboxylic acid catabolic process","GO:BP",0.00303877349671349,37,2195,184,0.0168564920273349,0.201086956521739
"GO:0016054","organic acid catabolic process","GO:BP",0.00303877349671349,37,2195,184,0.0168564920273349,0.201086956521739
"GO:0009064","glutamine family amino acid metabolic process","GO:BP",0.00303877349671349,26,2195,111,0.0118451025056948,0.234234234234234
"GO:0170038","proteinogenic amino acid biosynthetic process","GO:BP",0.0033631404653718,41,2195,213,0.0186788154897494,0.192488262910798
"GO:0051169","nuclear transport","GO:BP",0.00460411439032775,32,2195,154,0.0145785876993166,0.207792207792208
"GO:0009079","pyruvate family amino acid biosynthetic process","GO:BP",0.00460411439032775,9,2195,20,0.0041002277904328,0.45
"GO:0006913","nucleocytoplasmic transport","GO:BP",0.00460411439032775,32,2195,154,0.0145785876993166,0.207792207792208
"GO:0006573","valine metabolic process","GO:BP",0.00460411439032775,9,2195,20,0.0041002277904328,0.45
"GO:0006606","protein import into nucleus","GO:BP",0.00476086378751625,18,2195,66,0.0082004555808656,0.272727272727273
"GO:0008610","lipid biosynthetic process","GO:BP",0.00662525876201167,106,2195,731,0.0482915717539863,0.14500683994528
"GO:0072330","monocarboxylic acid biosynthetic process","GO:BP",0.00662525876201167,41,2195,221,0.0186788154897494,0.18552036199095
"GO:0051170","import into nucleus","GO:BP",0.0067613882228385,18,2195,68,0.0082004555808656,0.264705882352941
"GO:0051273","beta-glucan metabolic process","GO:BP",0.00691191630228658,29,2195,138,0.0132118451025057,0.210144927536232
"GO:0044282","small molecule catabolic process","GO:BP",0.00793686605347181,46,2195,261,0.0209567198177677,0.176245210727969
"GO:0072329","monocarboxylic acid catabolic process","GO:BP",0.00793686605347181,15,2195,52,0.00683371298405467,0.288461538461538
"GO:0035384","thioester biosynthetic process","GO:BP",0.00793686605347181,11,2195,31,0.00501138952164009,0.354838709677419
"GO:0071616","acyl-CoA biosynthetic process","GO:BP",0.00793686605347181,11,2195,31,0.00501138952164009,0.354838709677419
"GO:0030244","cellulose biosynthetic process","GO:BP",0.00793686605347181,19,2195,75,0.00865603644646925,0.253333333333333
"GO:0051168","nuclear export","GO:BP",0.008473580007187,20,2195,82,0.00911161731207289,0.24390243902439
"GO:0044042","glucan metabolic process","GO:BP",0.00861066537535291,53,2195,315,0.0241457858769932,0.168253968253968
"GO:1901607","alpha-amino acid biosynthetic process","GO:BP",0.00935958497789628,42,2195,234,0.0191343963553531,0.17948717948718
"GO:0080188","gene silencing by siRNA-directed DNA methylation","GO:BP",0.00935958497789628,8,2195,18,0.00364464692482916,0.444444444444444
"GO:0141194","siRNA-mediated heterochromatin formation","GO:BP",0.00935958497789628,8,2195,18,0.00364464692482916,0.444444444444444
"GO:0006561","proline biosynthetic process","GO:BP",0.00935958497789628,5,2195,7,0.00227790432801822,0.714285714285714
"GO:0022402","cell cycle process","GO:BP",0.00957037995475498,72,2195,466,0.0328018223234624,0.15450643776824
"GO:0031047","regulatory ncRNA-mediated gene silencing","GO:BP",0.0101748900453828,25,2195,116,0.0113895216400911,0.21551724137931
"GO:0034504","protein localization to nucleus","GO:BP",0.0109975978233235,18,2195,72,0.0082004555808656,0.25
"GO:0042254","ribosome biogenesis","GO:BP",0.0122069492297436,79,2195,527,0.0359908883826879,0.149905123339658
"GO:0044085","cellular component biogenesis","GO:BP",0.0128404472952697,197,2195,1537,0.089749430523918,0.128171763175016
"GO:0006346","DNA methylation-dependent constitutive heterochromatin formation","GO:BP",0.013282408712942,8,2195,19,0.00364464692482916,0.421052631578947
"GO:0006560","proline metabolic process","GO:BP",0.0138893411037069,6,2195,11,0.00273348519362187,0.545454545454545
"GO:0006406","mRNA export from nucleus","GO:BP",0.0141862951184031,12,2195,39,0.00546697038724374,0.307692307692308
"GO:0015994","chlorophyll metabolic process","GO:BP",0.015938363807164,13,2195,45,0.00592255125284738,0.288888888888889
"GO:0031048","regulatory ncRNA-mediated heterochromatin formation","GO:BP",0.0189334037692396,8,2195,20,0.00364464692482916,0.4
"GO:0046168","glycerol-3-phosphate catabolic process","GO:BP",0.0192818622809437,4,2195,5,0.00182232346241458,0.8
"GO:2001293","malonyl-CoA metabolic process","GO:BP",0.0192818622809437,4,2195,5,0.00182232346241458,0.8
"GO:0006044","N-acetylglucosamine metabolic process","GO:BP",0.0192818622809437,4,2195,5,0.00182232346241458,0.8
"GO:0071705","nitrogen compound transport","GO:BP",0.0197540822304595,158,2195,1211,0.0719817767653759,0.13047068538398
"GO:0006629","lipid metabolic process","GO:BP",0.0197540822304595,164,2195,1263,0.0747152619589977,0.129849564528899
"GO:0006405","RNA export from nucleus","GO:BP",0.0197540822304595,15,2195,58,0.00683371298405467,0.258620689655172
"GO:0009220","pyrimidine ribonucleotide biosynthetic process","GO:BP",0.0222037694830571,13,2195,47,0.00592255125284738,0.276595744680851
"GO:0009218","pyrimidine ribonucleotide metabolic process","GO:BP",0.0222037694830571,13,2195,47,0.00592255125284738,0.276595744680851
"GO:0009832","plant-type cell wall biogenesis","GO:BP",0.0222839702944457,24,2195,117,0.0109339407744875,0.205128205128205
"GO:0033014","tetrapyrrole biosynthetic process","GO:BP",0.0223623312084616,15,2195,59,0.00683371298405467,0.254237288135593
"GO:1901135","carbohydrate derivative metabolic process","GO:BP",0.0223623312084616,115,2195,844,0.0523917995444191,0.136255924170616
"GO:0000373","Group II intron splicing","GO:BP",0.0235029515827892,10,2195,31,0.00455580865603645,0.32258064516129
"GO:0009615","response to virus","GO:BP",0.0235029515827892,8,2195,21,0.00364464692482916,0.380952380952381
"GO:0140719","constitutive heterochromatin formation","GO:BP",0.0240589398447777,9,2195,26,0.0041002277904328,0.346153846153846
"GO:0050658","RNA transport","GO:BP",0.0278098051823871,19,2195,86,0.00865603644646925,0.22093023255814
"GO:0050657","nucleic acid transport","GO:BP",0.0278098051823871,19,2195,86,0.00865603644646925,0.22093023255814
"GO:0051607","defense response to virus","GO:BP",0.0278098051823871,7,2195,17,0.00318906605922551,0.411764705882353
"GO:0051236","establishment of RNA localization","GO:BP",0.0278098051823871,19,2195,86,0.00865603644646925,0.22093023255814
"GO:1901136","carbohydrate derivative catabolic process","GO:BP",0.0324539705440694,36,2195,208,0.0164009111617312,0.173076923076923
"GO:0019395","fatty acid oxidation","GO:BP",0.0351227935342356,12,2195,44,0.00546697038724374,0.272727272727273
"GO:0006403","RNA localization","GO:BP",0.0353383640684245,19,2195,88,0.00865603644646925,0.215909090909091
"GO:0044036","cell wall macromolecule metabolic process","GO:BP",0.0353383640684245,42,2195,255,0.0191343963553531,0.164705882352941
"GO:0000271","polysaccharide biosynthetic process","GO:BP",0.0353383640684245,47,2195,294,0.0214123006833713,0.159863945578231
"GO:0008652","amino acid biosynthetic process","GO:BP",0.0370899749344303,46,2195,287,0.0209567198177677,0.160278745644599
"GO:0016125","sterol metabolic process","GO:BP",0.0375193638952978,18,2195,82,0.0082004555808656,0.219512195121951
"GO:0009083","branched-chain amino acid catabolic process","GO:BP",0.0377188027149863,7,2195,18,0.00318906605922551,0.388888888888889
"GO:0006635","fatty acid beta-oxidation","GO:BP",0.0383119596433867,11,2195,39,0.00501138952164009,0.282051282051282
"GO:0006779","porphyrin-containing compound biosynthetic process","GO:BP",0.039438091217476,14,2195,57,0.00637813211845102,0.245614035087719
"GO:0048285","organelle fission","GO:BP",0.0395218404931675,35,2195,204,0.0159453302961276,0.17156862745098
"GO:0006694","steroid biosynthetic process","GO:BP",0.0411576256968371,18,2195,83,0.0082004555808656,0.216867469879518
"GO:0015031","protein transport","GO:BP",0.0415616937977278,122,2195,925,0.0555808656036446,0.131891891891892
"GO:0008202","steroid metabolic process","GO:BP",0.0445135595454638,21,2195,104,0.00956719817767654,0.201923076923077
"GO:0010215","cellulose microfibril organization","GO:BP",0.0447651550609448,5,2195,10,0.00227790432801822,0.5
"GO:0009062","fatty acid catabolic process","GO:BP",0.0447651550609448,12,2195,46,0.00546697038724374,0.260869565217391
"GO:0016126","sterol biosynthetic process","GO:BP",0.0447651550609448,12,2195,46,0.00546697038724374,0.260869565217391
"GO:0071668","plant-type cell wall assembly","GO:BP",0.0447651550609448,5,2195,10,0.00227790432801822,0.5
"GO:0045184","establishment of protein localization","GO:BP",0.0447651550609448,133,2195,1024,0.0605922551252847,0.1298828125
