"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,5.14215038126647e-15,1675,1234,677,0.548622366288493,0.404179104477612,"KEGG:01100","KEGG","Metabolic pathways",3709,181,"KEGG:00000"
"query_1",TRUE,8.74340486635156e-13,952,1234,414,0.3354943273906,0.434873949579832,"KEGG:01110","KEGG","Biosynthesis of secondary metabolites",3709,182,"KEGG:00000"
"query_1",TRUE,1.7344126170523e-06,205,1234,105,0.0850891410048622,0.51219512195122,"KEGG:01200","KEGG","Carbon metabolism",3709,184,"KEGG:00000"
"query_1",TRUE,1.26263576007583e-05,38,1234,28,0.0226904376012966,0.736842105263158,"KEGG:00195","KEGG","Photosynthesis",3709,19,"KEGG:00000"
"query_1",TRUE,0.00168232960857547,63,1234,36,0.0291734197730956,0.571428571428571,"KEGG:04146","KEGG","Peroxisome",3709,282,"KEGG:00000"
"query_1",TRUE,0.00168232960857547,182,1234,85,0.0688816855753647,0.467032967032967,"KEGG:01230","KEGG","Biosynthesis of amino acids",3709,188,"KEGG:00000"
"query_1",TRUE,0.00168232960857547,33,1234,22,0.0178282009724473,0.666666666666667,"KEGG:00592","KEGG","alpha-Linolenic acid metabolism",3709,94,"KEGG:00000"
"query_1",TRUE,0.00267866812487861,32,1234,21,0.0170178282009724,0.65625,"KEGG:00071","KEGG","Fatty acid degradation",3709,11,"KEGG:00000"
"query_1",TRUE,0.00267866812487861,36,1234,23,0.0186385737439222,0.638888888888889,"KEGG:00280","KEGG","Valine, leucine and isoleucine degradation",3709,31,"KEGG:00000"
"query_1",TRUE,0.00447548128688676,44,1234,26,0.0210696920583468,0.590909090909091,"KEGG:00250","KEGG","Alanine, aspartate and glutamate metabolism",3709,25,"KEGG:00000"
"query_1",TRUE,0.00447548128688676,105,1234,52,0.0421393841166937,0.495238095238095,"KEGG:00500","KEGG","Starch and sucrose metabolism",3709,62,"KEGG:00000"
"query_1",TRUE,0.00447548128688676,21,1234,15,0.0121555915721232,0.714285714285714,"KEGG:00650","KEGG","Butanoate metabolism",3709,112,"KEGG:00000"
"query_1",TRUE,0.00896641288741027,69,1234,36,0.0291734197730956,0.521739130434783,"KEGG:01210","KEGG","2-Oxocarboxylic acid metabolism",3709,185,"KEGG:00000"
"query_1",TRUE,0.00984532229865455,53,1234,29,0.0235008103727715,0.547169811320755,"KEGG:00630","KEGG","Glyoxylate and dicarboxylate metabolism",3709,107,"KEGG:00000"
"query_1",TRUE,0.010485565114135,58,1234,31,0.0251215559157212,0.53448275862069,"KEGG:01212","KEGG","Fatty acid metabolism",3709,186,"KEGG:00000"
"query_1",TRUE,0.0196225017507059,72,1234,36,0.0291734197730956,0.5,"KEGG:00620","KEGG","Pyruvate metabolism",3709,99,"KEGG:00000"
"query_1",TRUE,0.0208254023992181,188,1234,81,0.0656401944894651,0.430851063829787,"KEGG:04141","KEGG","Protein processing in endoplasmic reticulum",3709,278,"KEGG:00000"
"query_1",TRUE,0.0220300200696214,26,1234,16,0.0129659643435981,0.615384615384615,"KEGG:00460","KEGG","Cyanoamino acid metabolism",3709,59,"KEGG:00000"
"query_1",TRUE,0.0312918730492194,57,1234,29,0.0235008103727715,0.508771929824561,"KEGG:00020","KEGG","Citrate cycle (TCA cycle)",3709,3,"KEGG:00000"
"query_1",TRUE,0.0325417434324988,72,1234,35,0.0283630470016207,0.486111111111111,"KEGG:01250","KEGG","Biosynthesis of nucleotide sugars",3709,191,"KEGG:00000"
