"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0043412","macromolecule modification","GO:BP",6.86549157127488e-05,1227,6940,3390,0.176801152737752,0.361946902654867
"GO:0006396","RNA processing","GO:BP",0.00010097326315289,452,6940,1148,0.0651296829971182,0.393728222996516
"GO:0006970","response to osmotic stress","GO:BP",0.000568030296991148,65,6940,120,0.00936599423631124,0.541666666666667
"GO:0009651","response to salt stress","GO:BP",0.00138120973502636,52,6940,93,0.00749279538904899,0.559139784946237
"GO:0000373","Group II intron splicing","GO:BP",0.00138120973502636,23,6940,31,0.00331412103746398,0.741935483870968
"GO:0006470","protein dephosphorylation","GO:BP",0.00197074171533401,74,6940,147,0.0106628242074928,0.503401360544218
"GO:0035966","response to topologically incorrect protein","GO:BP",0.00324354435612095,33,6940,53,0.00475504322766571,0.622641509433962
"GO:0016071","mRNA metabolic process","GO:BP",0.00357506284216528,285,6940,718,0.0410662824207493,0.396935933147632
"GO:0016311","dephosphorylation","GO:BP",0.00362621838357157,105,6940,229,0.0151296829971182,0.458515283842795
"GO:0009451","RNA modification","GO:BP",0.00467087168935939,194,6940,469,0.0279538904899135,0.4136460554371
"GO:0036211","protein modification process","GO:BP",0.00711538571634666,1020,6940,2877,0.146974063400576,0.354535974973931
"GO:0035967","cellular response to topologically incorrect protein","GO:BP",0.00801060913720805,30,6940,49,0.00432276657060519,0.612244897959184
"GO:0009658","chloroplast organization","GO:BP",0.0116281639183827,67,6940,138,0.00965417867435158,0.485507246376812
"GO:0006397","mRNA processing","GO:BP",0.0125650127520451,216,6940,539,0.0311239193083573,0.400742115027829
"GO:0048511","rhythmic process","GO:BP",0.0129514103388359,33,6940,57,0.00475504322766571,0.578947368421053
"GO:0090351","seedling development","GO:BP",0.0173908007412663,25,6940,40,0.00360230547550432,0.625
"GO:0009845","seed germination","GO:BP",0.0194020045755787,23,6940,36,0.00331412103746398,0.638888888888889
"GO:0009832","plant-type cell wall biogenesis","GO:BP",0.027098032705155,57,6940,117,0.00821325648414986,0.487179487179487
"GO:0034309","primary alcohol biosynthetic process","GO:BP",0.028489867017965,11,6940,13,0.0015850144092219,0.846153846153846
"GO:0006986","response to unfolded protein","GO:BP",0.0296532755631082,28,6940,48,0.00403458213256484,0.583333333333333
"GO:0046854","phosphatidylinositol phosphate biosynthetic process","GO:BP",0.031952320360846,27,6940,46,0.00389048991354467,0.58695652173913
"GO:0009657","plastid organization","GO:BP",0.0355857045899524,77,6940,170,0.0110951008645533,0.452941176470588
"GO:0009628","response to abiotic stimulus","GO:BP",0.0362560796611293,274,6940,716,0.0394812680115274,0.38268156424581
"GO:1900865","chloroplast RNA modification","GO:BP",0.040084125140962,9,6940,10,0.00129682997118156,0.9
"GO:0005737","cytoplasm","GO:CC",3.1973937518088e-16,3253,6936,8776,0.469002306805075,0.37067000911577
"GO:0043227","membrane-bounded organelle","GO:CC",4.22303311042983e-05,3972,6936,11276,0.572664359861592,0.352252571833984
"GO:0043231","intracellular membrane-bounded organelle","GO:CC",4.72691686889038e-05,3960,6936,11250,0.570934256055363,0.352
"GO:0009536","plastid","GO:CC",0.000450732854088548,610,6936,1564,0.0879469434832757,0.39002557544757
"GO:0005622","intracellular anatomical structure","GO:CC",0.000450732854088548,5024,6936,14504,0.724336793540946,0.346387203530061
"GO:0009507","chloroplast","GO:CC",0.000582430405619547,540,6936,1377,0.0778546712802768,0.392156862745098
"GO:0005829","cytosol","GO:CC",0.00202832681802274,572,6936,1481,0.0824682814302191,0.386225523295071
"GO:0009898","cytoplasmic side of plasma membrane","GO:CC",0.00484757354123002,14,6936,17,0.00201845444059977,0.823529411764706
"GO:0098562","cytoplasmic side of membrane","GO:CC",0.0349258449983221,14,6936,19,0.00201845444059977,0.736842105263158
"GO:0003729","mRNA binding","GO:MF",4.6035850293758e-14,324,7962,677,0.0406932931424265,0.478581979320532
"GO:0005515","protein binding","GO:MF",5.11654206512512e-08,1934,7962,5352,0.24290379301683,0.36136023916293
"GO:0003723","RNA binding","GO:MF",8.94169418228535e-05,862,7962,2312,0.108264255212258,0.372837370242215
"GO:0008270","zinc ion binding","GO:MF",0.00122472435513286,303,7962,752,0.0380557648831952,0.402925531914894
"GO:0046872","metal ion binding","GO:MF",0.00122472435513286,1466,7962,4132,0.184124591811103,0.354791868344627
"GO:0043169","cation binding","GO:MF",0.00123053336941779,1477,7962,4168,0.185506154232605,0.35436660268714
"GO:0016791","phosphatase activity","GO:MF",0.00177444013160376,239,7962,582,0.0300175835217282,0.410652920962199
"GO:0106290","trans-cinnamate-CoA ligase activity","GO:MF",0.0113069661323397,30,7962,50,0.00376789751318764,0.6
"GO:0016207","4-coumarate-CoA ligase activity","GO:MF",0.0113069661323397,30,7962,50,0.00376789751318764,0.6
"GO:0042578","phosphoric ester hydrolase activity","GO:MF",0.0113069661323397,261,7962,658,0.0327807083647325,0.396656534954407
"GO:0016405","CoA-ligase activity","GO:MF",0.0220070317001397,32,7962,56,0.00401909068073348,0.571428571428571
"GO:0016878","acid-thiol ligase activity","GO:MF",0.0278827877427802,33,7962,59,0.00414468726450641,0.559322033898305
"GO:0016877","ligase activity, forming carbon-sulfur bonds","GO:MF",0.0434174410182422,43,7962,84,0.00540065310223562,0.511904761904762
