"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,6.29124212398348e-33,469,3223,180,0.0558485882717965,0.383795309168444,"GO:0009451","GO:BP","RNA modification",21625,3484,"GO:0016070,GO:0043412"
"query_1",TRUE,2.78857252432168e-23,1148,3223,306,0.094942600062054,0.266550522648084,"GO:0006396","GO:BP","RNA processing",21625,2149,"GO:0010467,GO:0032774,GO:0044238"
"query_1",TRUE,6.2291564728475e-15,527,3223,155,0.0480918399007136,0.294117647058824,"GO:0042254","GO:BP","ribosome biogenesis",21625,9967,"GO:0022613"
"query_1",TRUE,2.18918766493843e-13,362,3223,115,0.0356810425069811,0.31767955801105,"GO:0016072","GO:BP","rRNA metabolic process",21625,5074,"GO:0016070"
"query_1",TRUE,6.61077401370495e-13,350,3223,111,0.0344399627676078,0.317142857142857,"GO:0006364","GO:BP","rRNA processing",21625,2132,"GO:0006396,GO:0016072,GO:0042254"
"query_1",TRUE,1.11386236018816e-10,649,3223,167,0.0518150791188334,0.257318952234206,"GO:0022613","GO:BP","ribonucleoprotein complex biogenesis",21625,6587,"GO:0044085"
"query_1",TRUE,1.78063549403128e-08,31,3223,21,0.00651566863170959,0.67741935483871,"GO:0000373","GO:BP","Group II intron splicing",21625,105,"GO:0000377"
"query_1",TRUE,6.03841622894609e-08,549,3223,138,0.0428172510083773,0.251366120218579,"GO:0051604","GO:BP","protein maturation",21625,13631,"GO:0010467,GO:0019538"
"query_1",TRUE,5.10103851880265e-06,16037,3223,2516,0.780639156065777,0.156887198353807,"GO:0008152","GO:BP","metabolic process",21625,3111,"GO:0009987"
"query_1",TRUE,5.22801317739107e-06,147,3223,49,0.0152032268073224,0.333333333333333,"GO:0008033","GO:BP","tRNA processing",21625,3084,"GO:0006396,GO:0006399"
"query_1",TRUE,1.04074272463175e-05,31,3223,18,0.00558485882717965,0.580645161290323,"GO:0016556","GO:BP","mRNA modification",21625,5222,"GO:0009451,GO:0016071"
"query_1",TRUE,1.18034906665623e-05,138,3223,46,0.0142724170027924,0.333333333333333,"GO:0009658","GO:BP","chloroplast organization",21625,3559,"GO:0009657"
"query_1",TRUE,1.4661531488472e-05,551,3223,129,0.0400248215947875,0.234119782214156,"GO:0032259","GO:BP","methylation",21625,7392,"GO:0008152"
"query_1",TRUE,1.62119647455562e-05,106,3223,38,0.0117902575240459,0.358490566037736,"GO:0006400","GO:BP","tRNA modification",21625,2153,"GO:0008033,GO:0009451"
"query_1",TRUE,1.62119647455562e-05,401,3223,100,0.0310269934843314,0.249376558603491,"GO:0006457","GO:BP","protein folding",21625,2195,"GO:0009987,GO:0051604"
"query_1",TRUE,2.32891491603873e-05,16,3223,12,0.00372323921811976,0.75,"GO:0016554","GO:BP","cytidine to uridine editing",21625,5220,"GO:0016553"
"query_1",TRUE,2.77334834363764e-05,170,3223,52,0.0161340366118523,0.305882352941176,"GO:0009657","GO:BP","plastid organization",21625,3558,"GO:0006996"
