"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:0009451","RNA modification","GO:BP",6.29124212398348e-33,180,3223,469,0.0558485882717965,0.383795309168444
"GO:0006396","RNA processing","GO:BP",2.78857252432168e-23,306,3223,1148,0.094942600062054,0.266550522648084
"GO:0042254","ribosome biogenesis","GO:BP",6.2291564728475e-15,155,3223,527,0.0480918399007136,0.294117647058824
"GO:0016072","rRNA metabolic process","GO:BP",2.18918766493843e-13,115,3223,362,0.0356810425069811,0.31767955801105
"GO:0006364","rRNA processing","GO:BP",6.61077401370495e-13,111,3223,350,0.0344399627676078,0.317142857142857
"GO:0022613","ribonucleoprotein complex biogenesis","GO:BP",1.11386236018816e-10,167,3223,649,0.0518150791188334,0.257318952234206
"GO:0000373","Group II intron splicing","GO:BP",1.78063549403128e-08,21,3223,31,0.00651566863170959,0.67741935483871
"GO:0051604","protein maturation","GO:BP",6.03841622894609e-08,138,3223,549,0.0428172510083773,0.251366120218579
"GO:0008152","metabolic process","GO:BP",5.10103851880265e-06,2516,3223,16037,0.780639156065777,0.156887198353807
"GO:0008033","tRNA processing","GO:BP",5.22801317739107e-06,49,3223,147,0.0152032268073224,0.333333333333333
"GO:0016556","mRNA modification","GO:BP",1.04074272463175e-05,18,3223,31,0.00558485882717965,0.580645161290323
"GO:0009658","chloroplast organization","GO:BP",1.18034906665623e-05,46,3223,138,0.0142724170027924,0.333333333333333
"GO:0032259","methylation","GO:BP",1.4661531488472e-05,129,3223,551,0.0400248215947875,0.234119782214156
"GO:0006400","tRNA modification","GO:BP",1.62119647455562e-05,38,3223,106,0.0117902575240459,0.358490566037736
"GO:0006457","protein folding","GO:BP",1.62119647455562e-05,100,3223,401,0.0310269934843314,0.249376558603491
"GO:0016554","cytidine to uridine editing","GO:BP",2.32891491603873e-05,12,3223,16,0.00372323921811976,0.75
"GO:0009657","plastid organization","GO:BP",2.77334834363764e-05,52,3223,170,0.0161340366118523,0.305882352941176
"GO:1901259","chloroplast rRNA processing","GO:BP",4.39959699136649e-05,14,3223,22,0.00434377908780639,0.636363636363636
"GO:1900865","chloroplast RNA modification","GO:BP",5.1221268099912e-05,9,3223,10,0.00279242941358982,0.9
"GO:0016553","base conversion or substitution editing","GO:BP",7.93160714560368e-05,14,3223,23,0.00434377908780639,0.608695652173913
"GO:0043414","macromolecule methylation","GO:BP",7.93160714560368e-05,37,3223,109,0.0114799875892026,0.339449541284404
"GO:0000959","mitochondrial RNA metabolic process","GO:BP",7.93160714560368e-05,20,3223,42,0.00620539869686627,0.476190476190476
"GO:1900864","mitochondrial RNA modification","GO:BP",0.000148510660424934,13,3223,21,0.00403350915296308,0.619047619047619
"GO:0044238","primary metabolic process","GO:BP",0.000167784343748231,2183,3223,13856,0.677319267762954,0.157549076212471
"GO:0009124","nucleoside monophosphate biosynthetic process","GO:BP",0.000183561120434092,29,3223,79,0.0089978281104561,0.367088607594937
"GO:0009123","nucleoside monophosphate metabolic process","GO:BP",0.0002049792690837,38,3223,118,0.0117902575240459,0.322033898305085
"GO:0035966","response to topologically incorrect protein","GO:BP",0.000293516567219966,22,3223,53,0.0068259385665529,0.415094339622642
"GO:0006189","'de novo' IMP biosynthetic process","GO:BP",0.000472442356824369,14,3223,26,0.00434377908780639,0.538461538461538
"GO:0006412","translation","GO:BP",0.000609318494667696,237,3223,1219,0.0735339745578653,0.19442165709598
"GO:0031425","chloroplast RNA processing","GO:BP",0.000810809598676622,10,3223,15,0.00310269934843314,0.666666666666667
"GO:0042274","ribosomal small subunit biogenesis","GO:BP",0.000820057131186791,41,3223,139,0.0127210673285759,0.294964028776978
"GO:0043412","macromolecule modification","GO:BP",0.000827976135452144,589,3223,3390,0.182748991622712,0.173746312684366
"GO:0000963","mitochondrial RNA processing","GO:BP",0.000876213686452463,12,3223,21,0.00372323921811976,0.571428571428571
"GO:0035967","cellular response to topologically incorrect protein","GO:BP",0.00089792070639534,20,3223,49,0.00620539869686627,0.408163265306122
"GO:0000154","rRNA modification","GO:BP",0.000907830359798587,22,3223,57,0.0068259385665529,0.385964912280702
"GO:0000470","maturation of LSU-rRNA","GO:BP",0.000907830359798587,21,3223,53,0.00651566863170959,0.39622641509434
"GO:0032781","positive regulation of ATP-dependent activity","GO:BP",0.000922340497204468,6,3223,6,0.00186161960905988,1
"GO:0043953","protein transport by the Tat complex","GO:BP",0.000929928550294888,7,3223,8,0.0021718895439032,0.875
"GO:0010020","chloroplast fission","GO:BP",0.00121153938086898,13,3223,25,0.00403350915296308,0.52
"GO:0043572","plastid fission","GO:BP",0.00121153938086898,13,3223,25,0.00403350915296308,0.52
"GO:0061077","chaperone-mediated protein folding","GO:BP",0.00126025661213565,29,3223,88,0.0089978281104561,0.329545454545455
"GO:0009161","ribonucleoside monophosphate metabolic process","GO:BP",0.00126025661213565,26,3223,75,0.00806701830592616,0.346666666666667
"GO:0044085","cellular component biogenesis","GO:BP",0.00162252728492655,286,3223,1537,0.0887372013651877,0.186076772934288
"GO:0009790","embryo development","GO:BP",0.00169373204549123,31,3223,99,0.00961836798014272,0.313131313131313
"GO:0051084","'de novo' post-translational protein folding","GO:BP",0.00169373204549123,23,3223,64,0.00713620850139622,0.359375
