"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:Zm00001eb090830",5391.82579592181,-6.43446942050154,0.178865697288803,-35.9737474431008,2.15324656950662e-283,6.41236828399071e-279
"gene:Zm00001eb249200",6361.23278102873,-7.81969516386894,0.252819399399606,-30.9299649569578,4.72536128404118e-210,7.03606295193731e-206
"gene:Zm00001eb055330",3710.84088821058,-4.62864517620856,0.165741948554175,-27.9268176619489,1.26089480827376e-171,1.25164824634642e-167
"gene:Zm00001eb331210",5438.19865381359,-8.70315322663063,0.318576994276691,-27.318837778574,2.53401035628318e-164,1.88657071025283e-160
"gene:Zm00001eb077230",10417.073086264,-7.94149064918955,0.291454897711101,-27.2477515785698,1.76699851008964e-163,1.05242431260939e-159
"gene:Zm00001eb333240",3112.08260419935,-4.71658288192825,0.175088943890684,-26.9382108151445,7.84050687040348e-160,3.89150491001026e-156
"gene:Zm00001eb406490",2665.12409104523,7.23870411179274,0.271231438080859,26.6882930791922,6.43627799131343e-157,2.73817655116163e-153
"gene:Zm00001eb197870",6721.65968025146,-5.76251623784246,0.216016444213341,-26.6762850338899,8.87112251109382e-157,3.30227535475468e-153
"gene:Zm00001eb044080",4319.80745324229,4.05931100367125,0.154514234548535,26.2714371626141,4.06743064746083e-152,1.34586760757093e-148
"gene:Zm00001eb294690",3611.62913004325,-6.98815571639843,0.266535372174088,-26.2184927253637,1.63552330818799e-151,4.87058841178382e-148
"gene:Zm00001eb265900",10872.5659907061,-5.62356952652845,0.215255682943345,-26.1250688001978,1.8927059283709e-150,5.12407114062594e-147
"gene:Zm00001eb221970",5905.01664612678,-7.16789388970022,0.276253546791958,-25.9467940699355,1.97627391379841e-148,4.90445309607638e-145
"gene:Zm00001eb157310",2870.64579880303,-4.57006327174262,0.177879511948595,-25.6919035906918,1.43965986603228e-145,3.2979285238801e-142
