"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:Zm00001eb019930",1075.37172523615,5.6751990320415,0.280903098186703,20.2034049060914,9.13744652658632e-91,2.34741001268003e-86
"gene:Zm00001eb288890",885.743153172919,5.98465579233256,0.323177381249017,18.5181765171901,1.47343593140852e-76,1.89262845389425e-72
"gene:Zm00001eb251960",3049.40843830443,4.9131298208039,0.267743933240014,18.3501069897245,3.29463013855388e-75,2.82130160864831e-71
"gene:Zm00001eb232400",1372.21691806994,3.73012807241132,0.207577683794804,17.9697933044607,3.35964144069386e-72,2.15772971528563e-68
"gene:Zm00001eb058860",2355.83155049231,3.4814578482349,0.201969217437132,17.2375666570011,1.38755598647524e-66,7.12926265850981e-63
"gene:Zm00001eb255420",2311.10041486084,3.31264549492078,0.203399999212778,16.2863594284256,1.23357234274587e-59,5.2817455808569e-56
"gene:Zm00001eb071650",1653.91177607258,4.11762987980621,0.253008474045634,16.2746718082792,1.49317893183893e-59,5.47996667984888e-56
"gene:Zm00001eb197890",4846.55053845556,2.38346959552501,0.15552349614037,15.3254630629816,5.16848985862203e-53,1.65973130585e-49
"gene:Zm00001eb415520",12392.0343550955,5.39404253275005,0.3679892276402,14.65815335775,1.19478379597992e-48,3.41044396874713e-45
"gene:Zm00001eb187190",407.984214677284,6.53576636060077,0.453764500961727,14.4034325002256,4.92362031298812e-47,1.26487805840665e-43
"gene:Zm00001eb402150",1022.22423995838,3.08321628209137,0.222567315766421,13.8529607165103,1.22074781764189e-43,2.85100103956546e-40
"gene:Zm00001eb379070",4379.86954663902,2.58480711177778,0.189532557952137,13.6377999627406,2.38652199518857e-42,5.10914583803287e-39
"gene:Zm00001eb056760",1314.79076329396,4.53051716377487,0.33503227059101,13.5226291956379,1.14991377678952e-41,2.27240653274791e-38
"gene:Zm00001eb269420",1053.62066042568,4.32194414227865,0.319763341453755,13.5160713627447,1.25712140070197e-41,2.30681777028811e-38
"gene:Zm00001eb038070",2173.97552454075,5.19676106742263,0.386894174446439,13.4319961649928,3.92681808972911e-41,6.72533044834272e-38
"gene:Zm00001eb123630",1055.67283848272,2.77394204155776,0.207839351256897,13.3465680333513,1.24032916100445e-40,1.99150350913777e-37
"gene:Zm00001eb390330",3167.20229023659,4.08257600742088,0.30791128787067,13.2589358306853,4.00539165041852e-40,6.05285361760304e-37
"gene:Zm00001eb341630",1988.96770343535,2.57461614941969,0.194464393968316,13.2395247113421,5.18760743657907e-40,7.40386861365091e-37
"gene:Zm00001eb062880",7357.28491981727,1.94185124288776,0.147501260934524,13.1649806285368,1.39573428189049e-39,1.88717966851403e-36
"gene:Zm00001eb021350",1164.35753820174,3.44226347298585,0.265155866606577,12.9820377615604,1.5470892586838e-38,1.98723615277934e-35
"gene:Zm00001eb311620",1908.66788248164,2.36449318461106,0.182466204237233,12.958526728253,2.10246770925925e-38,2.57201883099381e-35
"gene:Zm00001eb006690",3031.83115624567,2.33711909329046,0.180417449692782,12.9539526097401,2.23161176204903e-38,2.60591391668362e-35
"gene:Zm00001eb250540",1115.17892745824,5.08687906069722,0.393173780684586,12.937991571666,2.74717701758601e-38,3.06847728616455e-35
"gene:Zm00001eb153280",2307.39540109096,2.36892737935583,0.186068600138887,12.7314731103883,3.95309637583126e-37,4.22819183636905e-34
"gene:Zm00001eb360950",730.768509648264,3.7758557944498,0.296649365554267,12.7283460977404,4.11462810078732e-37,4.22819183636905e-34
"gene:Zm00001eb340550",297.433623476864,5.63273107658793,0.443391753183572,12.7037344202834,5.63740462684484e-37,5.57018941783246e-34
