"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.55779818878857e-07,1077,8887,544,0.0612130077641499,0.505106778087279,"GO:0043436","GO:BP","oxoacid metabolic process",21625,10596,"GO:0006082"
"query_1",TRUE,1.55779818878857e-07,1078,8887,544,0.0612130077641499,0.504638218923933,"GO:0006082","GO:BP","organic acid metabolic process",21625,1943,"GO:0044281"
"query_1",TRUE,1.55779818878857e-07,1059,8887,537,0.0604253403848318,0.507082152974504,"GO:0019752","GO:BP","carboxylic acid metabolic process",21625,6004,"GO:0043436"
"query_1",TRUE,2.90393914582388e-07,519,8887,283,0.0318442669067177,0.545279383429672,"GO:0032787","GO:BP","monocarboxylic acid metabolic process",21625,7765,"GO:0019752"
"query_1",TRUE,6.26937023341334e-07,466,8887,256,0.0288061213007764,0.549356223175966,"GO:0022402","GO:BP","cell cycle process",21625,6561,"GO:0007049,GO:0009987"
"query_1",TRUE,1.0925681610561e-05,1932,8887,909,0.102284235400023,0.470496894409938,"GO:0044281","GO:BP","small molecule metabolic process",21625,10850,"GO:0008152"
"query_1",TRUE,1.85075291065216e-05,156,8887,98,0.0110273433104535,0.628205128205128,"GO:0140694","GO:BP","membraneless organelle assembly",21625,19604,"GO:0070925"
"query_1",TRUE,5.05284956621129e-05,218,8887,128,0.0144030606503882,0.587155963302752,"GO:0070925","GO:BP","organelle assembly",21625,16146,"GO:0006996,GO:0022607"
"query_1",TRUE,0.000236683758065523,235,8887,134,0.0150782041183752,0.570212765957447,"GO:1903047","GO:BP","mitotic cell cycle process",21625,22408,"GO:0000278,GO:0022402"
"query_1",TRUE,0.000337310714482573,204,8887,118,0.0132778215370766,0.57843137254902,"GO:0048285","GO:BP","organelle fission",21625,12460,"GO:0006996"
"query_1",TRUE,0.000337310714482573,659,8887,331,0.0372454146506133,0.502276176024279,"GO:0007049","GO:BP","cell cycle",21625,2636,"GO:0009987"
"query_1",TRUE,0.000480576707903049,328,8887,177,0.0199167323056149,0.539634146341463,"GO:0000278","GO:BP","mitotic cell cycle",21625,76,"GO:0007049"
"query_1",TRUE,0.00061429227989015,166,8887,98,0.0110273433104535,0.590361445783133,"GO:0000280","GO:BP","nuclear division",21625,78,"GO:0048285"
"query_1",TRUE,0.00061429227989015,88,8887,58,0.00652638685720716,0.659090909090909,"GO:0006099","GO:BP","tricarboxylic acid cycle",21625,1955,"GO:0009060,GO:0044238"
"query_1",TRUE,0.000999622707849672,258,8887,142,0.0159783954090244,0.550387596899225,"GO:0006631","GO:BP","fatty acid metabolic process",21625,2335,"GO:0006629,GO:0032787"
"query_1",TRUE,0.00163613236489982,660,8887,326,0.0366827950939575,0.493939393939394,"GO:0006091","GO:BP","generation of precursor metabolites and energy",21625,1950,"GO:0008152"
"query_1",TRUE,0.00163613236489982,79,8887,52,0.00585124338922021,0.658227848101266,"GO:0042255","GO:BP","ribosome assembly",21625,9968,"GO:0042254,GO:0140694"
