"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.91862443461418e-14,225,2127,185,0.0869769628584861,0.822222222222222,"KEGG:03010","KEGG","Ribosome",3709,208,"KEGG:00000"
"query_1",TRUE,2.79124932275602e-06,205,2127,154,0.0724024447578749,0.751219512195122,"KEGG:01200","KEGG","Carbon metabolism",3709,184,"KEGG:00000"
"query_1",TRUE,9.51373642100398e-05,65,2127,55,0.0258580159849553,0.846153846153846,"KEGG:04814","KEGG","Motor proteins",3709,366,"KEGG:00000"
"query_1",TRUE,0.000101373786705925,57,2127,49,0.0230371415138693,0.859649122807018,"KEGG:00020","KEGG","Citrate cycle (TCA cycle)",3709,3,"KEGG:00000"
"query_1",TRUE,0.000486518376228271,49,2127,42,0.0197461212976023,0.857142857142857,"KEGG:00710","KEGG","Carbon fixation in photosynthetic organisms",3709,116,"KEGG:00000"
"query_1",TRUE,0.000486518376228271,182,2127,131,0.0615890926187118,0.71978021978022,"KEGG:01230","KEGG","Biosynthesis of amino acids",3709,188,"KEGG:00000"
"query_1",TRUE,0.00823751258739856,27,2127,24,0.0112834978843441,0.888888888888889,"KEGG:00785","KEGG","Lipoic acid metabolism",3709,124,"KEGG:00000"
"query_1",TRUE,0.0102193950170197,89,2127,66,0.0310296191819464,0.741573033707865,"KEGG:00190","KEGG","Oxidative phosphorylation",3709,18,"KEGG:00000"
"query_1",TRUE,0.0102193950170197,53,2127,42,0.0197461212976023,0.792452830188679,"KEGG:00630","KEGG","Glyoxylate and dicarboxylate metabolism",3709,107,"KEGG:00000"
"query_1",TRUE,0.0183923173460354,69,2127,52,0.0244475787494123,0.753623188405797,"KEGG:01210","KEGG","2-Oxocarboxylic acid metabolism",3709,185,"KEGG:00000"
"query_1",TRUE,0.0408888624627011,42,2127,33,0.0155148095909732,0.785714285714286,"KEGG:00260","KEGG","Glycine, serine and threonine metabolism",3709,28,"KEGG:00000"
