"term_id","term_name","source","p_value","intersection_size","query_size","term_size","precision","recall"
"GO:2001141","regulation of RNA biosynthetic process","GO:BP",3.70118351350478e-14,578,3260,2811,0.177300613496933,0.205620775524724
"GO:0006355","regulation of DNA-templated transcription","GO:BP",3.70118351350478e-14,578,3260,2811,0.177300613496933,0.205620775524724
"GO:0050896","response to stimulus","GO:BP",4.34255579161411e-13,869,3260,4589,0.266564417177914,0.189365874918283
"GO:0042221","response to chemical","GO:BP",4.34255579161411e-13,367,3260,1652,0.112576687116564,0.222154963680387
"GO:0051252","regulation of RNA metabolic process","GO:BP",1.17616646499411e-11,585,3260,2944,0.179447852760736,0.198709239130435
"GO:0019219","regulation of nucleobase-containing compound metabolic process","GO:BP",1.64638414116939e-11,592,3260,2993,0.18159509202454,0.197794854660875
"GO:0065007","biological regulation","GO:BP",1.81839407060018e-11,1042,3260,5742,0.319631901840491,0.181469871125044
"GO:0050789","regulation of biological process","GO:BP",6.77474474588107e-10,979,3260,5424,0.300306748466258,0.180494100294985
"GO:1901700","response to oxygen-containing compound","GO:BP",8.75791082715984e-10,154,3260,595,0.047239263803681,0.258823529411765
"GO:0009408","response to heat","GO:BP",8.789971036376e-10,53,3260,133,0.0162576687116564,0.398496240601504
"GO:0009266","response to temperature stimulus","GO:BP",8.80588588616771e-10,80,3260,245,0.0245398773006135,0.326530612244898
"GO:0006351","DNA-templated transcription","GO:BP",1.56915363878947e-08,589,3260,3098,0.180674846625767,0.190122659780504
"GO:0009889","regulation of biosynthetic process","GO:BP",5.06636245929086e-08,650,3260,3492,0.199386503067485,0.186139747995418
"GO:0050794","regulation of cellular process","GO:BP",5.06636245929086e-08,923,3260,5181,0.283128834355828,0.17815093611272
"GO:0080090","regulation of primary metabolic process","GO:BP",5.06636245929086e-08,628,3260,3358,0.192638036809816,0.187016081000596
"GO:0010556","regulation of macromolecule biosynthetic process","GO:BP",6.25050129906057e-08,645,3260,3468,0.197852760736196,0.18598615916955
"GO:0010468","regulation of gene expression","GO:BP",8.10792634810192e-08,642,3260,3456,0.196932515337423,0.185763888888889
"GO:0009628","response to abiotic stimulus","GO:BP",1.88136653918245e-07,168,3260,716,0.0515337423312883,0.23463687150838
"GO:0009725","response to hormone","GO:BP",2.28653653113755e-07,199,3260,885,0.0610429447852761,0.224858757062147
"GO:0009719","response to endogenous stimulus","GO:BP",2.39303917774472e-07,199,3260,886,0.0610429447852761,0.224604966139955
"GO:0042542","response to hydrogen peroxide","GO:BP",3.81735512443085e-07,22,3260,39,0.00674846625766871,0.564102564102564
"GO:0006457","protein folding","GO:BP",5.39594076131522e-07,105,3260,401,0.0322085889570552,0.261845386533666
"GO:0009651","response to salt stress","GO:BP",7.27072827938189e-07,37,3260,93,0.0113496932515337,0.397849462365591
"GO:0006468","protein phosphorylation","GO:BP",1.24021137714007e-06,318,3260,1579,0.0975460122699387,0.201393286890437
"GO:0060255","regulation of macromolecule metabolic process","GO:BP",2.16852665039679e-06,665,3260,3674,0.20398773006135,0.181001633097441
"GO:0051259","protein complex oligomerization","GO:BP",2.16852665039679e-06,21,3260,39,0.00644171779141104,0.538461538461538
"GO:0007165","signal transduction","GO:BP",2.6156211805748e-06,303,3260,1505,0.0929447852760736,0.201328903654485
"GO:0019222","regulation of metabolic process","GO:BP",3.28835584293303e-06,678,3260,3766,0.207975460122699,0.180031864046734
"GO:0007154","cell communication","GO:BP",3.9144231911827e-06,306,3260,1530,0.0938650306748466,0.2
"GO:0023052","signaling","GO:BP",3.9144231911827e-06,304,3260,1518,0.0932515337423313,0.200263504611331
"GO:0009755","hormone-mediated signaling pathway","GO:BP",8.76124274587225e-06,143,3260,624,0.0438650306748466,0.229166666666667
"GO:0032870","cellular response to hormone stimulus","GO:BP",2.08920599465173e-05,143,3260,633,0.0438650306748466,0.225908372827804
"GO:0071495","cellular response to endogenous stimulus","GO:BP",2.23395490743949e-05,143,3260,634,0.0438650306748466,0.225552050473186
"GO:0070887","cellular response to chemical stimulus","GO:BP",2.36331341389847e-05,209,3260,1001,0.0641104294478528,0.208791208791209
"GO:0016310","phosphorylation","GO:BP",3.36076497993321e-05,445,3260,2396,0.136503067484663,0.185726210350584
"GO:0006970","response to osmotic stress","GO:BP",3.46382635220121e-05,40,3260,120,0.0122699386503067,0.333333333333333
"GO:0043207","response to external biotic stimulus","GO:BP",6.98500823260964e-05,123,3260,539,0.0377300613496932,0.228200371057514
"GO:0051707","response to other organism","GO:BP",6.98500823260964e-05,123,3260,539,0.0377300613496932,0.228200371057514
"GO:0044419","biological process involved in interspecies interaction between organisms","GO:BP",8.47527182741329e-05,125,3260,552,0.0383435582822086,0.226449275362319
"GO:2000022","regulation of jasmonic acid mediated signaling pathway","GO:BP",8.47527182741329e-05,19,3260,40,0.00582822085889571,0.475
"GO:0009607","response to biotic stimulus","GO:BP",0.000134763049244961,129,3260,579,0.0395705521472393,0.22279792746114
"GO:0009873","ethylene-activated signaling pathway","GO:BP",0.000135464484513587,33,3260,96,0.0101226993865031,0.34375
"GO:0061077","chaperone-mediated protein folding","GO:BP",0.000144641161146209,31,3260,88,0.00950920245398773,0.352272727272727
"GO:0006952","defense response","GO:BP",0.000144641161146209,148,3260,685,0.045398773006135,0.216058394160584
"GO:0071369","cellular response to ethylene stimulus","GO:BP",0.000272231591359033,33,3260,99,0.0101226993865031,0.333333333333333
"GO:0000302","response to reactive oxygen species","GO:BP",0.000308800053673653,31,3260,91,0.00950920245398773,0.340659340659341
"GO:0031347","regulation of defense response","GO:BP",0.000319468016130096,36,3260,113,0.0110429447852761,0.31858407079646
"GO:0000165","MAPK cascade","GO:BP",0.000517227263623531,22,3260,56,0.00674846625766871,0.392857142857143
"GO:0009723","response to ethylene","GO:BP",0.000531558655531814,37,3260,120,0.0113496932515337,0.308333333333333
"GO:0048583","regulation of response to stimulus","GO:BP",0.000679612240916855,82,3260,345,0.0251533742331288,0.23768115942029
"GO:0009605","response to external stimulus","GO:BP",0.000679612240916855,135,3260,633,0.0414110429447853,0.213270142180095
"GO:0051604","protein maturation","GO:BP",0.00100115796631873,119,3260,549,0.0365030674846626,0.216757741347905
"GO:0033993","response to lipid","GO:BP",0.00106858912983739,84,3260,360,0.0257668711656442,0.233333333333333
"GO:0034605","cellular response to heat","GO:BP",0.00122114811138753,21,3260,55,0.00644171779141104,0.381818181818182
"GO:0009611","response to wounding","GO:BP",0.00204273902379967,27,3260,82,0.00828220858895706,0.329268292682927
"GO:0046351","disaccharide biosynthetic process","GO:BP",0.00213621809584515,22,3260,61,0.00674846625766871,0.360655737704918
"GO:0080134","regulation of response to stress","GO:BP",0.0024896029685633,46,3260,172,0.0141104294478528,0.267441860465116
"GO:0009312","oligosaccharide biosynthetic process","GO:BP",0.00356118754863654,22,3260,63,0.00674846625766871,0.349206349206349
