"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,2.18951137224815e-12,133,3389,60,0.0177043375627029,0.451127819548872,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,1.63783896636136e-11,716,3389,191,0.0563588079079374,0.266759776536313,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,1.63783896636136e-11,1652,3389,372,0.109766892888758,0.225181598062954,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,3.43564676162137e-11,245,3389,86,0.0253762171732074,0.351020408163265,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,3.43564676162137e-11,4589,3389,885,0.261138979049867,0.192852473305731,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,4.8041922107144e-11,595,3389,163,0.0480967837120094,0.273949579831933,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,4.26185663656765e-10,39,3389,26,0.00767187961050457,0.666666666666667,"GO:0042542","GO:BP","response to hydrogen peroxide",21625,10141,"GO:0000302"
"query_1",TRUE,1.17204352622749e-09,93,3389,43,0.0126881085866037,0.462365591397849,"GO:0009651","GO:BP","response to salt stress",21625,3555,"GO:0006970"
"query_1",TRUE,2.87827624657872e-09,401,3389,116,0.0342283859545589,0.28927680798005,"GO:0006457","GO:BP","protein folding",21625,2195,"GO:0009987,GO:0051604"
"query_1",TRUE,7.59870752734475e-09,91,3389,41,0.0120979640011803,0.450549450549451,"GO:0000302","GO:BP","response to reactive oxygen species",21625,88,"GO:0006979,GO:1901700"
"query_1",TRUE,7.59870752734475e-09,120,3389,49,0.014458542342874,0.408333333333333,"GO:0006970","GO:BP","response to osmotic stress",21625,2586,"GO:0006950,GO:0009628"
"query_1",TRUE,1.76601767375717e-07,39,3389,23,0.00678666273236943,0.58974358974359,"GO:0051259","GO:BP","protein complex oligomerization",21625,13424,"GO:0065003"
"query_1",TRUE,1.76601767375717e-07,2811,3389,552,0.162879905576866,0.196371398078975,"GO:0006355","GO:BP","regulation of DNA-templated transcription",21625,2124,"GO:0006351,GO:0010468,GO:2001141"
"query_1",TRUE,1.76601767375717e-07,2811,3389,552,0.162879905576866,0.196371398078975,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",21625,25908,"GO:0010556,GO:0032774,GO:0051252"
"query_1",TRUE,9.06021810962478e-07,885,3389,203,0.059899675420478,0.229378531073446,"GO:0009725","GO:BP","response to hormone",21625,3608,"GO:0009719,GO:0042221"
"query_1",TRUE,9.34687125817994e-07,886,3389,203,0.059899675420478,0.229119638826185,"GO:0009719","GO:BP","response to endogenous stimulus",21625,3602,"GO:0050896"
"query_1",TRUE,1.49185081498633e-06,1775,3389,364,0.107406314547064,0.205070422535211,"GO:0055085","GO:BP","transmembrane transport",21625,14029,"GO:0006810,GO:0009987"
"query_1",TRUE,1.80198554335511e-06,1001,3389,223,0.0658011212747123,0.222777222777223,"GO:0070887","GO:BP","cellular response to chemical stimulus",21625,16130,"GO:0042221,GO:0051716"
"query_1",TRUE,2.07157498577988e-05,2944,3389,558,0.164650339333137,0.189538043478261,"GO:0051252","GO:BP","regulation of RNA metabolic process",21625,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,2.15099215226367e-05,2993,3389,566,0.16701091767483,0.189107918476445,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21625,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,5.63612724671534e-05,336,3389,88,0.0259663617586309,0.261904761904762,"GO:0006979","GO:BP","response to oxidative stress",21625,2591,"GO:0006950"
