"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.000222029220977866,1652,1301,151,0.116064565718678,0.0914043583535109,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,0.000303568921755661,2811,1301,229,0.176018447348194,0.0814656705798648,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",21625,25908,"GO:0010556,GO:0032774,GO:0051252"
"query_1",TRUE,0.000303568921755661,595,1301,67,0.0514988470407379,0.112605042016807,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,0.000303568921755661,2811,1301,229,0.176018447348194,0.0814656705798648,"GO:0006355","GO:BP","regulation of DNA-templated transcription",21625,2124,"GO:0006351,GO:0010468,GO:2001141"
"query_1",TRUE,0.00060504048679719,4589,1301,345,0.265180630284397,0.0751797777293528,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,0.000715539884625032,2944,1301,234,0.179861644888547,0.0794836956521739,"GO:0051252","GO:BP","regulation of RNA metabolic process",21625,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,0.000715539884625032,5424,1301,397,0.305149884704074,0.073193215339233,"GO:0050789","GO:BP","regulation of biological process",21625,13086,"GO:0008150,GO:0065007"
"query_1",TRUE,0.000715539884625032,3492,1301,271,0.208301306687164,0.0776059564719359,"GO:0009889","GO:BP","regulation of biosynthetic process",21625,3734,"GO:0009058,GO:0019222"
"query_1",TRUE,0.000785224552073707,5742,1301,416,0.319754035357417,0.0724486241727621,"GO:0065007","GO:BP","biological regulation",21625,15666,"GO:0008150"
"query_1",TRUE,0.000785224552073707,133,1301,23,0.0176787086856264,0.172932330827068,"GO:0009408","GO:BP","response to heat",21625,3459,"GO:0006950,GO:0009266"
"query_1",TRUE,0.000785224552073707,245,1301,34,0.0261337432744043,0.138775510204082,"GO:0009266","GO:BP","response to temperature stimulus",21625,3417,"GO:0009628"
"query_1",TRUE,0.000785224552073707,2993,1301,236,0.181398923904689,0.0788506515202138,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21625,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,0.00102026261271097,716,1301,73,0.0561106840891622,0.10195530726257,"GO:0009628","GO:BP","response to abiotic stimulus",21625,3535,"GO:0050896"
"query_1",TRUE,0.00102026261271097,886,1301,86,0.0661029976940815,0.0970654627539503,"GO:0009719","GO:BP","response to endogenous stimulus",21625,3602,"GO:0050896"
"query_1",TRUE,0.00102026261271097,885,1301,86,0.0661029976940815,0.0971751412429379,"GO:0009725","GO:BP","response to hormone",21625,3608,"GO:0009719,GO:0042221"
"query_1",TRUE,0.00106032209862409,3468,1301,266,0.20445810914681,0.0767012687427912,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",21625,4192,"GO:0009059,GO:0009889,GO:0060255"
"query_1",TRUE,0.00148257041057253,3456,1301,264,0.202920830130669,0.0763888888888889,"GO:0010468","GO:BP","regulation of gene expression",21625,4145,"GO:0010467,GO:0010556"
"query_1",TRUE,0.00164857702292316,3358,1301,257,0.197540353574174,0.0765336509827278,"GO:0080090","GO:BP","regulation of primary metabolic process",21625,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,0.00210098991580678,3766,1301,283,0.217524980784012,0.0751460435475305,"GO:0019222","GO:BP","regulation of metabolic process",21625,5569,"GO:0008152,GO:0050794"
