"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,4.4492056955707e-05,595,280,26,0.0928571428571429,0.0436974789915966,"GO:1901700","GO:BP","response to oxygen-containing compound",21625,21371,"GO:0042221"
"query_1",TRUE,4.4492056955707e-05,885,280,32,0.114285714285714,0.0361581920903955,"GO:0009725","GO:BP","response to hormone",21625,3608,"GO:0009719,GO:0042221"
"query_1",TRUE,4.4492056955707e-05,886,280,32,0.114285714285714,0.036117381489842,"GO:0009719","GO:BP","response to endogenous stimulus",21625,3602,"GO:0050896"
"query_1",TRUE,4.95578789720793e-05,1652,280,47,0.167857142857143,0.0284503631961259,"GO:0042221","GO:BP","response to chemical",21625,9956,"GO:0050896"
"query_1",TRUE,0.000112325222562323,40,280,7,0.025,0.175,"GO:2000022","GO:BP","regulation of jasmonic acid mediated signaling pathway",21625,24948,"GO:0009867,GO:0009966"
"query_1",TRUE,0.000154292687569107,360,280,18,0.0642857142857143,0.05,"GO:0033993","GO:BP","response to lipid",21625,8310,"GO:0042221"
"query_1",TRUE,0.000723277884933211,2811,280,63,0.225,0.0224119530416222,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",21625,25908,"GO:0010556,GO:0032774,GO:0051252"
"query_1",TRUE,0.000723277884933211,2811,280,63,0.225,0.0224119530416222,"GO:0006355","GO:BP","regulation of DNA-templated transcription",21625,2124,"GO:0006351,GO:0010468,GO:2001141"
"query_1",TRUE,0.00161994757724244,2993,280,64,0.228571428571429,0.0213832275309054,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21625,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,0.00161994757724244,5424,280,101,0.360714285714286,0.0186209439528024,"GO:0050789","GO:BP","regulation of biological process",21625,13086,"GO:0008150,GO:0065007"
"query_1",TRUE,0.00161994757724244,67,280,7,0.025,0.104477611940299,"GO:0009414","GO:BP","response to water deprivation",21625,3464,"GO:0006950,GO:0009415"
"query_1",TRUE,0.00161994757724244,633,280,22,0.0785714285714286,0.0347551342812006,"GO:0032870","GO:BP","cellular response to hormone stimulus",21625,7810,"GO:0009725,GO:0070887,GO:0071495"
"query_1",TRUE,0.00161994757724244,634,280,22,0.0785714285714286,0.0347003154574132,"GO:0071495","GO:BP","cellular response to endogenous stimulus",21625,16497,"GO:0009719"
"query_1",TRUE,0.00161994757724244,624,280,22,0.0785714285714286,0.0352564102564103,"GO:0009755","GO:BP","hormone-mediated signaling pathway",21625,3637,"GO:0007165,GO:0032870"
"query_1",TRUE,0.00162097218002142,2944,280,63,0.225,0.0213994565217391,"GO:0051252","GO:BP","regulation of RNA metabolic process",21625,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,0.00162097218002142,70,280,7,0.025,0.1,"GO:0009415","GO:BP","response to water",21625,3465,"GO:0001101,GO:0009628,GO:1901700"
"query_1",TRUE,0.00189479064200891,73,280,7,0.025,0.0958904109589041,"GO:0001101","GO:BP","response to acid chemical",21625,285,"GO:0042221"
"query_1",TRUE,0.00189479064200891,73,280,7,0.025,0.0958904109589041,"GO:0009867","GO:BP","jasmonic acid mediated signaling pathway",21625,3722,"GO:0009755,GO:0071395"
"query_1",TRUE,0.00210841966868303,76,280,7,0.025,0.0921052631578947,"GO:0071398","GO:BP","cellular response to fatty acid",21625,16420,"GO:0070542,GO:0071396,GO:1901701"
"query_1",TRUE,0.00210841966868303,76,280,7,0.025,0.0921052631578947,"GO:0071395","GO:BP","cellular response to jasmonic acid stimulus",21625,16417,"GO:0009753,GO:0032870,GO:0071398"
"query_1",TRUE,0.00210841966868303,5181,280,96,0.342857142857143,0.0185292414591778,"GO:0050794","GO:BP","regulation of cellular process",21625,13090,"GO:0009987,GO:0050789"
"query_1",TRUE,0.00327649439937336,82,280,7,0.025,0.0853658536585366,"GO:0009611","GO:BP","response to wounding",21625,3525,"GO:0006950"
"query_1",TRUE,0.00343060038133356,113,280,8,0.0285714285714286,0.0707964601769911,"GO:0031347","GO:BP","regulation of defense response",21625,7099,"GO:0006952,GO:0080134"
"query_1",TRUE,0.00343060038133356,86,280,7,0.025,0.0813953488372093,"GO:0070542","GO:BP","response to fatty acid",21625,15943,"GO:0033993,GO:1901700"
"query_1",TRUE,0.00343060038133356,177,280,10,0.0357142857142857,0.0564971751412429,"GO:0009737","GO:BP","response to abscisic acid",21625,3619,"GO:0009725,GO:0033993,GO:0097305"
"query_1",TRUE,0.00343060038133356,249,280,12,0.0428571428571429,0.0481927710843374,"GO:0071396","GO:BP","cellular response to lipid",21625,16418,"GO:0033993,GO:0070887"
"query_1",TRUE,0.00343060038133356,1505,280,37,0.132142857142857,0.0245847176079734,"GO:0007165","GO:BP","signal transduction",21625,2716,"GO:0007154,GO:0009987,GO:0023052,GO:0050794,GO:0051716"
"query_1",TRUE,0.00343060038133356,180,280,10,0.0357142857142857,0.0555555555555556,"GO:0097305","GO:BP","response to alcohol",21625,18345,"GO:1901700"
"query_1",TRUE,0.00343060038133356,86,280,7,0.025,0.0813953488372093,"GO:0009753","GO:BP","response to jasmonic acid",21625,3635,"GO:0009725,GO:0070542"
"query_1",TRUE,0.0037020533202989,3098,280,63,0.225,0.0203357004519045,"GO:0006351","GO:BP","DNA-templated transcription",21625,2120,"GO:0010467,GO:0032774"
"query_1",TRUE,0.00381123099791596,1518,280,37,0.132142857142857,0.0243741765480896,"GO:0023052","GO:BP","signaling",21625,6607,"GO:0050789"
"query_1",TRUE,0.00396513983975383,5742,280,102,0.364285714285714,0.0177638453500522,"GO:0065007","GO:BP","biological regulation",21625,15666,"GO:0008150"
"query_1",TRUE,0.00418544150219927,1530,280,37,0.132142857142857,0.0241830065359477,"GO:0007154","GO:BP","cell communication",21625,2705,"GO:0009987"
"query_1",TRUE,0.00960070487549515,75,280,6,0.0214285714285714,0.08,"GO:0046777","GO:BP","protein autophosphorylation",21625,12198,"GO:0006468"
"query_1",TRUE,0.0115931534324967,4589,280,83,0.296428571428571,0.0180867291348878,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,0.0161887529129959,3358,280,64,0.228571428571429,0.0190589636688505,"GO:0080090","GO:BP","regulation of primary metabolic process",21625,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,0.0201112536019621,3456,280,65,0.232142857142857,0.0188078703703704,"GO:0010468","GO:BP","regulation of gene expression",21625,4145,"GO:0010467,GO:0010556"
"query_1",TRUE,0.0208862598762459,35,280,4,0.0142857142857143,0.114285714285714,"GO:0006568","GO:BP","L-tryptophan metabolic process",21625,2279,"GO:0006586,GO:0009072,GO:1902221"
"query_1",TRUE,0.0208862598762459,3468,280,65,0.232142857142857,0.0187427912341407,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",21625,4192,"GO:0009059,GO:0009889,GO:0060255"
"query_1",TRUE,0.0215316892979561,324,280,12,0.0428571428571429,0.037037037037037,"GO:1901701","GO:BP","cellular response to oxygen-containing compound",21625,21372,"GO:0070887,GO:1901700"
"query_1",TRUE,0.0218768805859189,36,280,4,0.0142857142857143,0.111111111111111,"GO:0006586","GO:BP","indolalkylamine metabolic process",21625,2297,"GO:0006576,GO:0042430"
"query_1",TRUE,0.0231813628060154,3492,280,65,0.232142857142857,0.0186139747995418,"GO:0009889","GO:BP","regulation of biosynthetic process",21625,3734,"GO:0009058,GO:0019222"
"query_1",TRUE,0.024201773437333,1001,280,25,0.0892857142857143,0.024975024975025,"GO:0070887","GO:BP","cellular response to chemical stimulus",21625,16130,"GO:0042221,GO:0051716"
"query_1",TRUE,0.0250237581244048,64,280,5,0.0178571428571429,0.078125,"GO:0070588","GO:BP","calcium ion transmembrane transport",21625,15965,"GO:0006816,GO:0098655,GO:0098662"
"query_1",TRUE,0.031582091449045,172,280,8,0.0285714285714286,0.0465116279069767,"GO:0080134","GO:BP","regulation of response to stress",21625,17581,"GO:0006950,GO:0048583"
"query_1",TRUE,0.0318685050101033,41,280,4,0.0142857142857143,0.0975609756097561,"GO:0042430","GO:BP","indole-containing compound metabolic process",21625,10078,"GO:0008152"
"query_1",TRUE,0.0349234456172955,70,280,5,0.0178571428571429,0.0714285714285714,"GO:0006816","GO:BP","calcium ion transport",21625,2487,"GO:0030001"
"query_1",TRUE,0.0350389188808257,6,280,2,0.00714285714285714,0.333333333333333,"GO:0009269","GO:BP","response to desiccation",21625,3420,"GO:0009414"
"query_1",TRUE,0.0350389188808257,6,280,2,0.00714285714285714,0.333333333333333,"GO:0055062","GO:BP","phosphate ion homeostasis",21625,14018,"GO:0098771"
"query_1",TRUE,0.0350389188808257,6,280,2,0.00714285714285714,0.333333333333333,"GO:0006569","GO:BP","L-tryptophan catabolic process",21625,2280,"GO:0006568,GO:0009074,GO:0042436,GO:1902222"
"query_1",TRUE,0.0350389188808257,6,280,2,0.00714285714285714,0.333333333333333,"GO:0019441","GO:BP","L-tryptophan catabolic process to kynurenine",21625,5760,"GO:0006569,GO:0070189"
"query_1",TRUE,0.0350389188808257,6,280,2,0.00714285714285714,0.333333333333333,"GO:0042436","GO:BP","indole-containing compound catabolic process",21625,10083,"GO:0009056,GO:0042430"
"query_1",TRUE,0.0350389188808257,21,280,3,0.0107142857142857,0.142857142857143,"GO:0009631","GO:BP","cold acclimation",21625,3538,"GO:0009409"
"query_1",TRUE,0.0402534325448973,3674,280,66,0.235714285714286,0.0179640718562874,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",21625,14264,"GO:0019222,GO:0043170"
"query_1",TRUE,0.0423800127699049,147,280,7,0.025,0.0476190476190476,"GO:0006470","GO:BP","protein dephosphorylation",21625,2201,"GO:0016311,GO:0036211"
"query_1",TRUE,0.0423800127699049,76,280,5,0.0178571428571429,0.0657894736842105,"GO:1902221","GO:BP","erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",21625,21829,"GO:0170033,GO:0170039"
"query_1",TRUE,0.0428428966142299,230,280,9,0.0321428571428571,0.0391304347826087,"GO:0006720","GO:BP","isoprenoid metabolic process",21625,2418,"GO:0006629"
"query_1",TRUE,7.06600784241106e-06,1623,304,48,0.157894736842105,0.0295748613678373,"GO:0003700","GO:MF","DNA-binding transcription factor activity",24540,326,"GO:0140110"
"query_1",TRUE,3.50971252666687e-05,1806,304,49,0.161184210526316,0.0271317829457364,"GO:0140110","GO:MF","transcription regulator activity",24540,9303,"GO:0003674"
"query_1",TRUE,0.00041527353630141,401,304,18,0.0592105263157895,0.0448877805486284,"GO:0005509","GO:MF","calcium ion binding",24540,1461,"GO:0046872"
"query_1",TRUE,0.0247703594694507,1150,304,29,0.0953947368421053,0.0252173913043478,"GO:0043565","GO:MF","sequence-specific DNA binding",24540,5280,"GO:0003677"
"query_1",TRUE,0.0308267697570641,52,304,5,0.0164473684210526,0.0961538461538462,"GO:0015085","GO:MF","calcium ion transmembrane transporter activity",24540,2255,"GO:0046873"
"query_1",TRUE,0.0308267697570641,1184,304,29,0.0953947368421053,0.0244932432432432,"GO:0004674","GO:MF","protein serine/threonine kinase activity",24540,949,"GO:0004672"
