"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:Zm00001eb010530",34182.4895566973,10.8730458167512,0.176447034292644,61.622151147737,0,0
"gene:Zm00001eb033390",14346.5305373759,-4.09901876020412,0.0835795346759971,-49.0433307159977,0,0
"gene:Zm00001eb034050",3482.86206089092,6.70542475700535,0.15686411087611,42.7467106373441,0,0
"gene:Zm00001eb035340",3573.3903245404,-4.80909322244511,0.124820367340044,-38.5281130389871,0,0
"gene:Zm00001eb049640",211240.927842124,-4.08267765818779,0.0958917164234249,-42.5759159441895,0,0
"gene:Zm00001eb087350",13365.5883368939,10.3108349615037,0.252939196827235,40.7640851668645,0,0
"gene:Zm00001eb124940",13891.4013697521,9.47926326402387,0.175157154818375,54.1186186419457,0,0
"gene:Zm00001eb124960",22811.7227675063,6.70252960313065,0.112530641869757,59.5618179347823,0,0
"gene:Zm00001eb140540",54604.0375162329,-5.03867751015771,0.119519714568665,-42.1577103688862,0,0
"gene:Zm00001eb161410",149950.860489499,-9.5368464870603,0.149531761821317,-63.778065415001,0,0
"gene:Zm00001eb234390",29035.681475223,-4.09577652376396,0.104484342316307,-39.1999072106399,0,0
"gene:Zm00001eb280560",17717.5632216313,-3.61617497627599,0.0868203766479786,-41.6512242389608,0,0
"gene:Zm00001eb303190",27630.0046433137,5.95135992595912,0.125462258578391,47.4354598218924,0,0
"gene:Zm00001eb315880",20326.218906,3.44101140945064,0.0829942861736966,41.4608230047191,0,0
"gene:Zm00001eb319770",10166.924956734,-3.64921191511888,0.0902512367390062,-40.4339269684679,0,0
"gene:Zm00001eb332050",53689.1877145477,7.94790409545598,0.191716543871209,41.4565375265434,0,0
"gene:Zm00001eb343910",10136.2590075367,-4.80277047022819,0.106520659736846,-45.0876898631044,0,0
"gene:Zm00001eb357740",99527.3779216881,-8.1191256918446,0.165046476662269,-49.1929658605107,0,0
"gene:Zm00001eb378030",22927.4965488108,-2.62500958381431,0.067045144651828,-39.1528662880249,0,0
"gene:Zm00001eb395230",2704.82400464729,-4.54096446058312,0.104304064109688,-43.5358343832871,0,0
"gene:Zm00001eb397600",25850.190763101,10.538311018478,0.197668149854338,53.3131464337764,0,0
"gene:Zm00001eb406810",6597.70112358493,-3.25386538972898,0.0797209645391885,-40.815680148093,0,0
"gene:Zm00001eb418610",14786.1984177925,10.4836398423685,0.238687100581914,43.9221047840862,0,0
"gene:Zm00001eb431800",22790.0385879535,-3.56975605824504,0.0912553977150334,-39.1183003704882,0,0
"gene:Zm00001eb433540",63043.1969377705,-4.18107955792037,0.101597401294773,-41.1534104675518,0,0
"gene:Zm00001eb244840",17243.5362548099,-2.79549731458607,0.0731040690132691,-38.2399687502848,6.10566325130612e-320,6.29940071894421e-317
"gene:Zm00001eb433610",68740.6329614761,-3.90500567550801,0.103785851128443,-37.6256072773856,8.19919507764363e-310,8.14605214658483e-307
"gene:Zm00001eb226060",27445.0613237822,-4.30041255765514,0.114678686596606,-37.4996669850456,9.32653327618141e-308,8.93515196905594e-305
"gene:Zm00001eb404690",1282.69245433866,-4.98792306610342,0.134188465459631,-37.1710269509266,2.00577872513482e-302,1.85534532074971e-299
"gene:Zm00001eb260410",39634.1589156526,-2.89238598373785,0.0785169044932085,-36.8377485384442,4.5945183255953e-297,4.10826513613647e-294
"gene:Zm00001eb193940",2830.24789615421,6.96520789106866,0.189535762328438,36.7487792567556,1.21601427952018e-295,1.05224461445577e-292
"gene:Zm00001eb325410",118434.557109096,-4.28700685375676,0.117268096708818,-36.5573158776645,1.3644556003519e-292,1.14379754623249e-289
"gene:Zm00001eb101660",9362.83414216796,-3.1018409236397,0.0860680185364399,-36.0394136682307,2.02045892705129e-284,1.64238820358033e-281
"gene:Zm00001eb144530",2107.59845898317,-4.25347122091327,0.119255914945759,-35.6667526541376,1.29594290886268e-278,1.02246083912475e-275
"gene:Zm00001eb357090",3456.95998106412,-3.11384264020316,0.0873846911845341,-35.633731698239,4.20960330218569e-278,3.22636024517518e-275
"gene:Zm00001eb034740",3809.23765806434,-4.48243181812143,0.126548185190762,-35.4207514818524,8.18414001377254e-275,6.09832099637357e-272
"gene:Zm00001eb207130",24434.1409887953,-3.8863345262686,0.11048785378318,-35.1743145802714,4.94038373389117e-271,3.5817782070711e-268
"gene:Zm00001eb148420",2188.66892250476,6.61723239184055,0.188623148678805,35.0817619056324,1.27902387255755e-269,9.02889878456747e-267
"gene:Zm00001eb301210",6916.60371008505,-3.65877581237449,0.10437679229135,-35.0535375925487,3.4440946291324e-269,2.36891893401222e-266
"gene:Zm00001eb410630",1921.81837009798,-3.684353342832,0.10630889297217,-34.6570568070585,3.49719997125903e-263,2.34530973072559e-260
"gene:Zm00001eb081060",3489.04580833201,-4.1961257897179,0.12124091964341,-34.609814921063,1.79838342709433e-262,1.17662525443428e-259
"gene:Zm00001eb367650",2659.28757365547,3.4111793697391,0.098943926984577,34.4758842073332,1.84400021705427e-260,1.17774537672573e-257
